line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_2___buf_split_39849 /0 undetected,output,,__tpi_op_2___buf_split_39849,__tpi_op_2___buf_split_39849,0,undetected,__tpi_op_2___buf_split_39849,__tpi_op_2___buf_split_39849,__tpi_op_2___buf_split_39849,sa0,1
2,__tpi_not_test_en->__tpi_cp_1___aig_not_62966 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_1___aig_not_62966,__tpi_cp_1___aig_not_62966,1,undetected,__tpi_cp_1___aig_not_62966,__tpi_cp_1___aig_not_62966,__tpi_cp_1___aig_not_62966,sa1,1
3,__tpi_not_test_en->__tpi_cp_6___aig_and_34003 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,1,undetected,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,sa1,1
4,__tpi_not_test_en->__tpi_cp_11___buf_split_40826 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___buf_split_40826,__tpi_cp_11___buf_split_40826,1,undetected,__tpi_cp_11___buf_split_40826,__tpi_cp_11___buf_split_40826,__tpi_cp_11___buf_split_40826,sa1,1
5,__tpi_not_test_en->__tpi_cp_14___aig_not_62957 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,1,undetected,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,sa1,1
6,__tpi_not_test_en->__tpi_cp_2___aig_and_62955 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_2___aig_and_62955,__tpi_cp_2___aig_and_62955,1,undetected,__tpi_cp_2___aig_and_62955,__tpi_cp_2___aig_and_62955,__tpi_cp_2___aig_and_62955,sa1,1
7,__tpi_not_test_en->__tpi_cp_12___aig_not_62513 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12___aig_not_62513,__tpi_cp_12___aig_not_62513,1,undetected,__tpi_cp_12___aig_not_62513,__tpi_cp_12___aig_not_62513,__tpi_cp_12___aig_not_62513,sa1,1
8,__tpi_not_test_en->__tpi_cp_5___aig_and_34071 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_5___aig_and_34071,__tpi_cp_5___aig_and_34071,1,undetected,__tpi_cp_5___aig_and_34071,__tpi_cp_5___aig_and_34071,__tpi_cp_5___aig_and_34071,sa1,1
9,__tpi_not_test_en->__tpi_cp_16___buf_split_40498 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_16___buf_split_40498,__tpi_cp_16___buf_split_40498,1,undetected,__tpi_cp_16___buf_split_40498,__tpi_cp_16___buf_split_40498,__tpi_cp_16___buf_split_40498,sa1,1
10,__tpi_not_test_en->__tpi_cp_13___aig_not_62510 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13___aig_not_62510,__tpi_cp_13___aig_not_62510,1,undetected,__tpi_cp_13___aig_not_62510,__tpi_cp_13___aig_not_62510,__tpi_cp_13___aig_not_62510,sa1,1
11,__tpi_not_test_en->__tpi_cp_17___aig_not_62484 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_17___aig_not_62484,__tpi_cp_17___aig_not_62484,1,undetected,__tpi_cp_17___aig_not_62484,__tpi_cp_17___aig_not_62484,__tpi_cp_17___aig_not_62484,sa1,1
