node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_13992,1,0,1,0,0
__buf_split_15394,1,0,1,0,0
__buf_split_15395,1,0,1,0,0
__buf_split_15396,1,0,1,0,0
__buf_split_15397,1,0,1,0,0
__buf_split_15398,1,0,1,0,0
__buf_split_15426,1,0,1,0,0
__buf_split_37778,1,0,1,0,0
__buf_split_37790,1,0,1,0,0
new_n48566_,1,0,1,0,0
new_n48576_,1,0,1,0,0
new_n50718_,1,0,1,0,0
new_n50719_,1,0,1,0,0
new_n50720_,1,0,1,0,0
new_n50721_,1,1,0,0,0
new_n61176_,1,1,0,0,0
new_n61176__PO,1,0,0,1,0
new_n83284_,1,1,0,0,0
new_n83284__PO,1,0,0,1,0
new_n83301_,1,0,1,0,0
