line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_2_new_n48575_ /0 undetected,output,,__tpi_op_2_new_n48575_,__tpi_op_2_new_n48575_,0,undetected,__tpi_op_2_new_n48575_,__tpi_op_2_new_n48575_,__tpi_op_2_new_n48575_,sa0,1
2,new_n83301_ /1 undetected,output,,new_n83301_,new_n83301_,1,undetected,new_n83301_,new_n83301_,new_n83301_,sa1,1
3,new_n83284_->__tpi_cp_2_new_n83284_ /0 undetected,input_edge,new_n83284_,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,0,undetected,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,sa0,1
4,test_en->__tpi_cp_2_new_n83284_ /0 undetected,input_edge,test_en,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,0,undetected,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,__tpi_cp_2_new_n83284_,sa0,1
5,__buf_split_37790 /1 undetected,output,,__buf_split_37790,__buf_split_37790,1,undetected,__buf_split_37790,__buf_split_37790,__buf_split_37790,sa1,1
6,new_n83284_->new_n83284__PO /0 undetected,input_edge,new_n83284_,new_n83284__PO,new_n83284__PO,0,undetected,new_n83284__PO,new_n83284__PO,new_n83284__PO,sa0,1
7,ys__n17526->ys__n17526_PO /0 undetected,input_edge,ys__n17526,ys__n17526_PO,ys__n17526_PO,0,undetected,ys__n17526_PO,ys__n17526_PO,ys__n17526_PO,sa0,1
8,new_n50740_->new_n50740__PO /0 undetected,input_edge,new_n50740_,new_n50740__PO,new_n50740__PO,0,undetected,new_n50740__PO,new_n50740__PO,new_n50740__PO,sa0,1
9,new_n50723_->new_n50723__PO /0 undetected,input_edge,new_n50723_,new_n50723__PO,new_n50723__PO,0,undetected,new_n50723__PO,new_n50723__PO,new_n50723__PO,sa0,1
10,new_n50722_->new_n50722__PO /0 undetected,input_edge,new_n50722_,new_n50722__PO,new_n50722__PO,0,undetected,new_n50722__PO,new_n50722__PO,new_n50722__PO,sa0,1
11,new_n83284_ /0 undetected,output,,new_n83284_,new_n83284_,0,undetected,new_n83284_,new_n83284_,new_n83284_,sa0,1
12,ys__n17526->__tpi_cp_3_ys__n17526 /0 undetected,input_edge,ys__n17526,__tpi_cp_3_ys__n17526,__tpi_cp_3_ys__n17526,0,undetected,__tpi_cp_3_ys__n17526,__tpi_cp_3_ys__n17526,__tpi_cp_3_ys__n17526,sa0,1
13,ys__n17526 /0 undetected,output,,ys__n17526,ys__n17526,0,undetected,ys__n17526,ys__n17526,ys__n17526,sa0,1
14,__tpi_not_test_en->__tpi_cp_13___buf_split_15426 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,1,undetected,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,sa1,1
15,__tpi_cp_13___buf_split_15426 /1 undetected,output,,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,1,undetected,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,__tpi_cp_13___buf_split_15426,sa1,1
16,__buf_split_15426 /1 undetected,output,,__buf_split_15426,__buf_split_15426,1,undetected,__buf_split_15426,__buf_split_15426,__buf_split_15426,sa1,1
17,__tpi_not_test_en->__tpi_cp_21_new_n48732_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_21_new_n48732_,__tpi_cp_21_new_n48732_,1,undetected,__tpi_cp_21_new_n48732_,__tpi_cp_21_new_n48732_,__tpi_cp_21_new_n48732_,sa1,1
18,new_n50734_ /1 undetected,output,,new_n50734_,new_n50734_,1,undetected,new_n50734_,new_n50734_,new_n50734_,sa1,1
19,__tpi_not_test_en->__tpi_cp_9_new_n50732_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,1,undetected,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,sa1,1
20,__tpi_cp_9_new_n50732_ /1 undetected,output,,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,1,undetected,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,__tpi_cp_9_new_n50732_,sa1,1
21,new_n50732_ /1 undetected,output,,new_n50732_,new_n50732_,1,undetected,new_n50732_,new_n50732_,new_n50732_,sa1,1
22,new_n50730_ /1 undetected,output,,new_n50730_,new_n50730_,1,undetected,new_n50730_,new_n50730_,new_n50730_,sa1,1
23,__buf_split_15409 /1 undetected,output,,__buf_split_15409,__buf_split_15409,1,undetected,__buf_split_15409,__buf_split_15409,__buf_split_15409,sa1,1
24,__buf_split_15408 /1 undetected,output,,__buf_split_15408,__buf_split_15408,1,undetected,__buf_split_15408,__buf_split_15408,__buf_split_15408,sa1,1
25,__buf_split_15410 /1 undetected,output,,__buf_split_15410,__buf_split_15410,1,undetected,__buf_split_15410,__buf_split_15410,__buf_split_15410,sa1,1
26,new_n48576_ /1 undetected,output,,new_n48576_,new_n48576_,1,undetected,new_n48576_,new_n48576_,new_n48576_,sa1,1
27,__buf_split_13986 /1 undetected,output,,__buf_split_13986,__buf_split_13986,1,undetected,__buf_split_13986,__buf_split_13986,__buf_split_13986,sa1,1
