step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N672,control1,1.0980182886123657,5.136997238621116,3.446591019630432,0.6880083834379912,3.3390482051037256,5.268069151469925,5.205854981267743,5.136997238621116,0.4369063761626967,0.3,2,2,1,0.22952580882209214,0.6382247410899896,1,1,0,0.0,1.0980182886123657,0.34300780296325684,4.8440920021384954,3.751600134372711,0.0034300780296325686,0.2812556326389313,0.03306104987859726,1.004794716835022,2.1265900135040283,0.1454007253050804,0.11501003801822662,0.1757914125919342,0.03306104987859726,1.516254510655999,0.0635467991232872,0.1500834971666336,0.038350366055965424,29567.458984375,11984.048828125,17583.41015625,30237.36328125,12846.8115234375,17390.552734375,-0.02265680953860283,-0.07199259102344513,0.010968146845698357,-2.265680953860283,6.730748765170574,3.459342250972986,6.448697125539184,3.2335609771311282,4.506405261531472,3.2766873059235513,5.268069151469925,5.268069151469925,5.268069151469925,greedy,5.268069151469925,0.0,hard_fault_cluster,,False
2,N2155,observe,1.4524345397949219,4.370495263859629,2.8554621696472164,0.8387898113578558,2.840821921508759,4.581830829317057,4.370495263859629,4.370495263859629,0.7498851280056799,0.28182391884404273,3,2,1,0.0,0.4382721945209318,2,1,1,0.0,1.4524345397949219,0.42528533935546875,4.32707574442029,3.2709599137306213,0.004252853393554687,0.32830312848091125,0.025875898078083992,1.2088403701782227,1.9882307052612305,0.32135289907455444,0.2783360481262207,0.3643697500228882,0.025875898078083992,1.372510045170784,0.06906095892190933,0.15581390261650085,0.046470701694488525,30239.3203125,12849.1953125,17390.125,30637.09765625,13186.5595703125,17450.537109375,-0.013154308311641216,-0.026255672797560692,-0.003473931923508644,-1.3154308311641216,7.357257129624486,4.5099002844095235,7.018886201549321,4.43727829515934,3.896034923195839,3.1234267850220205,4.581830829317057,9.849899980786983,9.849899980786983,greedy,4.581830829317057,0.0,hard_fault_cluster,,False
3,N502,control1,1.1368939876556396,2.010180476605892,2.020667839050293,-0.017011639475822404,1.30661730979383,2.078539870647198,2.010180476605892,2.010180476605892,0.2582044720349712,0.2647490707753786,3,2,1,0.0,0.7352411596229108,2,1,1,0.0,1.1368939876556396,0.3740989565849304,1.5897946178913116,1.8578876137733458,0.003740989565849304,0.3406562805175781,0.019277269020676613,0.821114718914032,2.188292980194092,-0.006133630871772766,-0.2723444104194641,0.2600771486759186,0.019277269020676613,-3.122121364474297,0.05882614478468895,0.1400596648454666,0.03618519753217697,30632.041015625,13179.69140625,17452.349609375,30642.701171875,13158.962890625,17483.73828125,-0.0003480067243799567,0.001572761801071465,-0.0017985355807468295,-0.03480067243799567,6.275990704074502,2.7010154032707216,5.980958534870297,2.689286425113678,2.4760507583618163,2.1650562395155433,2.078539870647198,11.928439851434181,11.928439851434181,greedy,2.078539870647198,0.0,hard_fault_cluster,,False
4,N762,control1,0.9183143377304077,1.8195776259899141,1.612662601470947,0.15484702706336975,1.1827254568934442,1.7331455144076071,1.8195776259899141,1.8195776259899141,-0.34752342503969375,0.2487087354541201,3,2,1,0.0,0.2970364035473382,2,1,1,0.0,0.9183143377304077,0.32422977685928345,1.4014541178941726,1.7438428401947021,0.0032422977685928347,0.36238211393356323,0.019804822281003,0.7089242339134216,2.107175588607788,0.006962314248085022,-0.20499728620052338,0.21892191469669342,0.019804822281003,-0.7614472442865372,0.05198969319462776,0.13177835941314697,0.029978789389133453,30647.4453125,13164.9345703125,17482.51171875,30570.513671875,13098.408203125,17472.10546875,0.0025102137587964535,0.0050533004105091095,0.0005952377105131745,0.25102137587964535,5.543003918603063,1.4811805081367493,5.284977969247848,1.3382190895080568,1.7269956231117247,1.8136040702462197,1.7331455144076071,13.661585365841788,13.661585365841788,greedy,1.7331455144076071,0.0,hard_fault_cluster,,False
5,N3644,control0,0.804537832736969,1.1349207316339016,2.8358957052230833,-0.17904106825590127,0.737698475562036,1.18974001370044,1.1349207316339016,1.1349207316339016,0.23463117166003203,0.23364023492142144,3,3,1,0.0,-0.6983358116970894,2,2,1,0.0,0.804537832736969,0.30424702167510986,0.5690946251153947,2.2721435248851773,0.0030424702167510987,0.3800566792488098,0.018866674974560738,0.28709912300109863,2.2891387939453125,0.05954866483807564,-0.0666765496134758,0.18577387928962708,0.018866674974560738,-2.3150283643603324,0.04781921207904816,0.12834540009498596,0.02616475149989128,30571.4765625,13099.56640625,17471.91015625,30396.46484375,12966.869140625,17429.595703125,0.005724673625081778,0.010129897855222225,0.0024218561593443155,0.5724673625081778,5.105034904554486,0.12181174457073216,4.862699632067233,0.0024284232174978104,1.3688525527715683,2.695410058572888,1.18974001370044,14.851325379542228,14.851325379542228,greedy,1.18974001370044,0.0,hard_fault_cluster,,False
6,N3756,control0,0.6970027089118958,1.059133939370513,2.4340107560157773,0.15525825195014478,0.6884370605908335,1.0586384366502564,1.059133939370513,1.059133939370513,-0.002257573060005352,0.21948468868399254,3,3,1,0.0,0.16258604647204647,2,2,1,0.0,0.6970027089118958,0.30958276987075806,0.9266125358641147,2.364477705955505,0.0030958276987075807,0.39887991547584534,0.021940426900982857,0.5299979448318481,2.3575439453125,0.03355236351490021,-0.08468058705329895,0.15178531408309937,0.021940426900982857,0.0029646354913711037,0.04703707993030548,0.13165459036827087,0.025880325585603714,30396.60546875,12967.0244140625,17429.58203125,30326.6484375,12894.015625,17432.6328125,0.0023014750331640244,0.0056303427554667,-0.00017503467097412795,0.23014750331640244,5.035231189802289,0.9933580714464187,4.786588792223483,1.015007306933403,0.9830458521842956,2.518490640595555,1.0586384366502564,15.909963816192484,15.909963816192484,greedy,1.0586384366502564,0.0,hard_fault_cluster,,False
7,N557,control1,0.6586860418319702,0.9665417388081551,1.8118486523628234,0.045439280569553375,0.6282521302253008,0.96979222417043,0.9665417388081551,0.9665417388081551,0.015764760984840243,0.20618678363729168,3,2,1,0.0,-0.28102485525925835,2,1,1,0.0,0.6586860418319702,0.2456938773393631,0.4081506751477718,1.1392749845981598,0.002456938773393631,0.40302884578704834,0.022958004847168922,0.7533199787139893,1.8974969387054443,0.08122949302196503,-0.16794869303703308,0.33040767908096313,0.022958004847168922,-0.1438845154643059,0.044451165944337845,0.12813766300678253,0.023676086217164993,30330.98046875,12894.5791015625,17436.40234375,30255.849609375,12828.865234375,17426.984375,0.0024770337622612715,0.005096239969134331,0.0005401325761340559,0.24770337622612715,4.7137684766203165,0.5734708598256111,4.5122795649804175,0.6180980730056762,0.7490194350481034,1.559505218565464,0.96979222417043,16.879756040362913,16.879756040362913,greedy,0.96979222417043,0.0,hard_fault_cluster,,False
8,N5143,observe,0.37258392572402954,1.0332253044843673,1.1784235656261444,0.36334976732730856,0.6715964479148387,1.150847119003803,1.0332253044843673,1.0332253044843673,0.6072541003600868,0.19369455792836762,3,2,1,0.0,0.539292717480949,2,1,1,0.0,0.37258392572402954,0.23303978145122528,1.1162129788100719,1.9058659195899963,0.002330397814512253,0.41606494784355164,0.02645680494606495,0.9059259295463562,2.30183744430542,0.33568284660577774,0.23355935513973236,0.4378063380718231,0.02645680494606495,1.6580209089815616,0.042340829968452454,0.1293931007385254,0.0219145268201828,30250.12109375,12827.3037109375,17422.818359375,30298.94921875,12839.6513671875,17459.296875,-0.001614146400243044,-0.000962607329711318,-0.002093720715492964,-0.1614146400243044,4.493579583242536,0.9760376751422881,4.298957143444568,0.9932553708553313,0.7495246946811676,1.748062016069889,1.150847119003803,18.030603159366716,18.030603159366716,greedy,1.150847119003803,0.0,hard_fault_cluster,,False
9,N507,control1,0.3746859133243561,0.946077908873558,1.2526043176651,0.011922640204429657,0.6149506407678127,0.9620073205592974,0.946077908873558,0.946077908873558,0.08754386625339197,0.18195919791379003,3,2,1,0.0,0.051563830475368416,2,1,1,0.0,0.3746859133243561,0.22649748623371124,0.6735344633460045,1.0699986577033997,0.0022649748623371126,0.4175059497356415,0.02479679323732853,0.7118916511535645,2.250765800476074,0.05362429469823837,-0.22833697497844696,0.3355855643749237,0.02479679323732853,-0.14937936812639238,0.0409221351146698,0.12605303525924683,0.020635612308979034,30302.962890625,12836.775390625,17466.1875,30205.33203125,12786.7802734375,17418.55078125,0.0032218254636973143,0.00389467878267169,0.002727367915213108,0.3221825463697314,4.34350779093802,0.6939353424310685,4.15503708133474,0.6710194069147111,0.9387982919812202,1.2089407185465098,0.9620073205592974,18.992610479926014,18.992610479926014,greedy,0.9620073205592974,0.0,hard_fault_cluster,,False
10,N3742,control0,0.25976893305778503,1.0840110620856287,2.476074969768524,0.13667297333478928,0.7046071903556587,1.0840110620856287,1.0840110620856287,1.0840110620856287,0.0,0.1709348474192769,3,3,1,0.0,0.20903074700749616,2,2,1,0.0,0.25976893305778503,0.2228214591741562,1.0175932362675666,2.478400248289108,0.002228214591741562,0.4230059087276459,0.024399084970355034,0.5122672915458679,2.353440046310425,0.022713303565979004,-0.09257994592189789,0.1380065530538559,0.024399084970355034,-0.38561628013849264,0.04068920388817787,0.12892301380634308,0.02043243870139122,30201.587890625,12790.27734375,17411.310546875,30176.1328125,12759.046875,17417.0859375,0.0008428390719927847,0.0024417350068688393,-0.0003317033697385341,0.08428390719927847,4.316140932962298,1.0220695710182188,4.130725524853915,1.0379774844646452,1.1084662944078447,2.7081911082565786,1.0840110620856287,20.076621542011644,20.076621542011644,greedy,1.0840110620856287,0.0,hard_fault_cluster,,False
