[b15-r6-local/a0.30/d8] [gmean] 2026-07-21T10:38:25 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p30_decay_8
[b15-r6-local/a0.30/d8] [gmean] 2026-07-21T10:38:25 budgets=iscas99__b15_1:278
[b15-r6-local/a0.30/d8] [gmean] 2026-07-21T10:38:25 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.30/d8] [gmean] 2026-07-21T10:38:25 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_typed_residual_context=5.268069 sequence=5.268069
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.569027 sequence=9.837096
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.070507 sequence=11.907603
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.747923 sequence=13.655526
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.177614 sequence=14.833140
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058771 sequence=15.891912
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.968776 sequence=16.860687
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.109168 sequence=17.969855
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.955740 sequence=18.925595
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.084011 sequence=20.009606
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.424318 sequence=22.433923
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.186186 sequence=23.620109
[b15-r6-local/a0.30/d8] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.115682 sequence=26.735791
