[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.225930 sequence=5.225930
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.695501 sequence=9.921431
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.014185 sequence=11.935616
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.691463 sequence=13.627078
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.231205 sequence=14.858283
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.059043 sequence=15.917326
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977226 sequence=16.894552
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.067203 sequence=17.961755
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.934190 sequence=18.895945
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124523 sequence=20.020468
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.291226 sequence=22.311694
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.588035 sequence=23.899729
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.291162 sequence=27.190891
