epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.950906937696824,0.357356176564568,0.12594743072986603,0.009565119165927172,0.09764210958229869,0.0,0.2785345606113735,1.0,0.04595233098064598,0.010000997086057109,1.1435764666438397,1.1435764666438397,0.0,2.041785529124019,1.8755977555127556,2.0066781943471717,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.40838453397154806,0.32217309176921843,0.1224907785654068,0.0090756144374609,0.09091699346899987,0.0,0.28877846598625184,1.0,0.04752400703728199,0.01045397658017464,0.4671712331153685,0.4671712331153685,0.0,1.1717886991798878,0.7675139799714088,1.0137893345206976,0.0,1.0,1.0,5.0
2,2,1.128797653451329,0.3931914944397776,0.12695385260801567,0.009283115229520359,0.09990772810813628,0.0,0.28388329163977977,1.0,0.04642442197195793,0.036726847350971516,1.2412248546368478,1.2412248546368478,0.0,3.917224132774496,1.896714423107728,3.701118671034285,0.0,1.0,2.0,0.5126686645181555,0.6613514956675077,0.4269712763397317,2.3018123099678443,2.2921167674817537,0.6885911194901717,0.6358561923629359,0.057405704926503334,212.42105263157896,8.0,0.14999999999999997,19.0,19.0,0.4521689645946026,0.3467340752482414,0.12464117780327796,0.008810549229383468,0.09241337887942791,0.0,0.29344055205583575,1.0,0.042510640993714335,0.02764436992292758,0.5918576279174885,0.5918576279174885,0.0,2.4686237420421095,0.6067522325752179,2.094680631160736,0.0,1.0,2.0,5.0
3,4,1.407047437690811,0.4569604724253479,0.12684942183918074,0.009268306183481687,0.10550185180220165,0.0,0.2915391078905055,1.0,0.047576487137887036,0.045922544408325085,1.3747244437301358,1.3747244437301358,0.0,7.413858304780565,1.7910801848409297,6.9061534144020875,0.0,1.0,4.0,0.9681368407450224,0.5575459583809501,0.4297246113419533,2.335059780823557,2.236625081614444,0.5953636357658788,0.48838081485346746,0.05313229747116566,237.0,8.0,0.29999999999999993,19.0,19.0,0.6106345817446709,0.41166298985481264,0.12649458758533,0.00866099731065333,0.09339183419942856,0.0,0.29540715739130974,1.0,0.03900737864896655,0.03528659422445344,0.8372053548873737,0.8372053548873737,0.0,4.692012914544938,0.49301062346526126,4.134303162246942,0.0,1.0,4.0,5.0
4,8,1.8159911785853757,0.5275175075389837,0.128134588073743,0.009186374492281558,0.11065550599443286,0.0,0.29432713456059756,1.0,0.04541564024494667,0.03726834182738888,1.3907941852678625,1.3907941852678625,0.0,12.648555099795646,1.5922585795437714,11.790877217008529,0.0,1.0,8.0,1.3649864196777344,0.5304907372123316,0.4586406240337773,2.233004519813939,2.0714651848140515,0.5618227594777158,0.42522899414363663,0.034270257345939935,220.31578947368422,8.0,0.45,19.0,19.0,0.8881535519845783,0.5120613940060139,0.128623329102993,0.008684139349497855,0.09633783530443907,0.0,0.29734468273818493,1.0,0.03702849210239947,0.04803083593687916,1.122609831833597,1.122609831833597,0.0,7.828962185927594,0.4264048146543075,7.175916220352519,0.0,1.0,8.0,5.0
5,16,2.4066146355456257,0.5835229115266549,0.1310363211423943,0.00933917475049384,0.12007397124053616,0.0,0.3015035529081759,1.0,0.045670347563971425,0.028419175332732187,1.446632376285092,1.446632376285092,0.0,18.857715404353495,1.5405567752486304,17.903918856787616,0.0,1.0,16.0,1.3209051082008763,0.4862993328194869,0.5579921681629983,2.212178613010206,1.9897631783234446,0.5095174155737224,0.40699392400289836,0.03702455371814339,215.6315789473684,8.0,0.45,19.0,19.0,1.3116729293265963,0.613075426965952,0.13290433352813125,0.008970211230916902,0.10168937826529145,0.0,0.30040903855115175,1.0,0.03635909454897046,0.05035376180840103,1.2251290955907734,1.2251290955907734,0.0,10.857288912845252,0.6556690215813432,10.494053172769418,0.0,1.0,16.0,5.0
6,32,3.915784618092259,0.6792374445909732,0.1371921071978776,0.009550579699479337,0.13904750064064406,0.0,0.31309844043694046,1.0,0.045707705850394346,0.020757521782117275,1.8963785992251712,1.8963785992251712,0.0,31.89877839829873,1.9251361727595029,31.457300833355013,0.0,1.0,32.0,1.3370054646542198,0.5063742069821608,0.6252072602510452,2.238442947990016,2.001286870554874,0.5113125647369184,0.37407770125489487,0.02578164769434615,239.89473684210526,8.0,0.45,19.0,19.0,3.7630631359979363,0.6974053984507919,0.13954771477729083,0.009682937042089178,0.11862594103440642,0.0,0.2999788189306855,1.0,0.03657963101286441,0.03255981645297652,2.002179389840194,2.002179389840194,0.0,30.380384182698435,1.7037815554268492,30.81550450426439,0.0,1.0,32.0,5.0
7,32,3.9174298421122855,0.6693518290198163,0.13782057182030066,0.009473100327580286,0.14428615899707534,0.0,0.3153182688463283,1.0,0.04628622114021135,0.020474375168298028,1.843605344514891,1.843605344514891,0.0,31.89782763775394,1.9460426702152123,31.390127069740245,0.0,1.0,32.0,1.3329436088863171,0.48280122405604314,0.5526022440508792,2.2256929874420166,2.0190044829719946,0.5420987778588345,0.41655839116949783,0.03261023701021546,212.94736842105263,8.0,0.45,19.0,19.0,3.7462585392087933,0.6974054027348757,0.13954771524295212,0.009682937007164582,0.11862594024278224,0.0,0.29997881799936293,1.0,0.03657963066361845,0.03255981609418086,2.002179358242574,2.002179358242574,0.0,30.380384197599597,1.6598643207554011,30.82312751690988,0.0,1.0,32.0,5.0
8,32,3.9061636683702665,0.6695934994342295,0.13777291007634057,0.009399929127539508,0.14224268036502363,0.0,0.3153586043044925,1.0,0.04653873599109877,0.020620625560066753,1.7760879128962153,1.7760879128962153,0.0,31.89577857440427,1.9232340681607125,31.368699662426433,0.0,1.0,32.0,1.2635911389401084,0.47724172316099467,0.5650409052246496,2.093362067875109,1.879755133076718,0.49404568891776235,0.40735956555918645,0.030062572736489147,216.1578947368421,8.0,0.45,19.0,19.0,3.743552350738901,0.697405401058495,0.13954771496355534,0.009682937059551477,0.1186259416397661,0.0,0.29997881911695,1.0,0.036579630756750706,0.032559816147340825,2.002179379495692,2.002179379495692,0.0,30.380384197599597,1.6552498512690363,30.814523415149598,0.0,1.0,32.0,5.0
9,32,3.917578899701575,0.6685183902614211,0.13872537842804664,0.009272979391665248,0.14515105326733502,0.0,0.31441562019876745,1.0,0.045441309648786524,0.02077065734643587,1.7933554878943787,1.7933554878943787,0.0,31.898595551781597,1.9580762677687258,31.34348318713832,0.0,1.0,32.0,1.2669817271985506,0.4428739320290716,0.4527444266959241,2.2163327618649133,1.926454970711156,0.4665272737804212,0.3710601141578273,0.028512412388073772,227.1578947368421,8.0,0.45,19.0,19.0,3.751007603055041,0.6974053971469403,0.1395477150566876,0.009682937146862969,0.11862594024278224,0.0,0.2999788194894791,1.0,0.03657963157165796,0.03255981667275591,2.002179380507073,2.002179380507073,0.0,30.380384194619364,1.6726812603322174,30.819350330551924,0.0,1.0,32.0,5.0
10,32,3.907167372993411,0.6745094482443834,0.13751135532450126,0.009544830469837362,0.14464173374060346,0.0,0.31546337270226915,1.0,0.04633823333393881,0.02063062799791868,1.8871505149448338,1.8871505149448338,0.0,31.89519021995157,1.9342474303621742,31.334683428800847,0.0,1.0,32.0,1.267648972963032,0.4593848162575772,0.4796290962319625,2.1621671475862203,1.911605583994012,0.4971920847892761,0.39030046133618607,0.026376129422140748,224.89473684210526,8.0,0.45,19.0,19.0,3.748878117653658,0.6974054034799337,0.13954771514981984,0.009682937001343817,0.11862594014964997,0.0,0.299978818371892,1.0,0.03657963068690151,0.03255981605116176,2.002179353433212,2.002179353433212,0.0,30.380384197599597,1.6665812584118338,30.822455593038832,0.0,1.0,32.0,5.0
