[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist/c80_range_m0p001
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c80__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.189916 sequence=5.189916
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=2 node=N713 type=observe q_typed_residual_context=1.664299 sequence=6.854215
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.826359 sequence=8.680574
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=0.914085 sequence=9.594659
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=5 node=N564 type=control1 q_typed_residual_context=0.606272 sequence=10.200930
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=6 node=N2336 type=control1 q_typed_residual_context=1.321303 sequence=11.522233
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=7 node=N3644 type=control0 q_typed_residual_context=1.012921 sequence=12.535154
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.010234 sequence=13.545387
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.113969 sequence=14.659357
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=10 node=N580 type=control1 q_typed_residual_context=0.732396 sequence=15.391753
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=11 node=N7511 type=control1 q_typed_residual_context=0.668958 sequence=16.060711
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=12 node=N737 type=control1 q_typed_residual_context=0.759210 sequence=16.819922
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=13 node=N2082 type=observe q_typed_residual_context=1.990093 sequence=18.810015
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=14 node=N496 type=control1 q_typed_residual_context=1.823995 sequence=20.634009
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=15 node=N488 type=control1 q_typed_residual_context=1.653580 sequence=22.287589
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=16 node=N5723 type=control0 q_typed_residual_context=0.810484 sequence=23.098073
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=17 node=N1564 type=control1 q_typed_residual_context=1.396150 sequence=24.494224
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=1.151605 sequence=25.645829
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=3.590461 sequence=29.236289
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=1.807484 sequence=31.043773
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=21 node=N1860 type=observe q_typed_residual_context=1.760364 sequence=32.804137
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=22 node=N766 type=control1 q_typed_residual_context=1.430081 sequence=34.234218
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_residual_context=1.562542 sequence=35.796760
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_residual_context=1.021727 sequence=36.818488
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=25 node=N1437 type=control1 q_typed_residual_context=0.409266 sequence=37.227754
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=26 node=N4716 type=control0 q_typed_residual_context=2.980530 sequence=40.208284
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=27 node=N4705 type=control0 q_typed_residual_context=3.094635 sequence=43.302919
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=28 node=N4712 type=control0 q_typed_residual_context=1.925644 sequence=45.228562
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=0.166965 sequence=45.395527
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=0.466851 sequence=45.862378
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=31 node=N4698 type=control0 q_typed_residual_context=1.894288 sequence=47.756666
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=32 node=N6537 type=observe q_typed_residual_context=2.960277 sequence=50.716943
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=33 node=N8470 type=observe q_typed_residual_context=1.542475 sequence=52.259418
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=34 node=N4691 type=control0 q_typed_residual_context=1.494022 sequence=53.753440
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=35 node=N4684 type=control0 q_typed_residual_context=1.345973 sequence=55.099412
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=36 node=N2153 type=observe q_typed_residual_context=3.217881 sequence=58.317293
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=37 node=N4677 type=control0 q_typed_residual_context=1.317013 sequence=59.634306
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=38 node=N7413 type=control1 q_typed_residual_context=1.019136 sequence=60.653442
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=39 node=N4670 type=control0 q_typed_residual_context=1.370736 sequence=62.024178
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=40 node=N4663 type=control0 q_typed_residual_context=1.972826 sequence=63.997004
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=41 node=N724 type=observe q_typed_residual_context=1.858562 sequence=65.855567
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=42 node=N3722 type=control0 q_typed_residual_context=0.859252 sequence=66.714818
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=43 node=N4656 type=control0 q_typed_residual_context=2.230705 sequence=68.945523
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=44 node=N4649 type=control0 q_typed_residual_context=2.074685 sequence=71.020208
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=45 node=N4635 type=control0 q_typed_residual_context=1.900289 sequence=72.920497
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=46 node=N7471 type=control0 q_typed_residual_context=1.325792 sequence=74.246290
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=47 node=N899 type=observe q_typed_residual_context=1.248691 sequence=75.494980
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=48 node=N3911 type=control0 q_typed_residual_context=0.971288 sequence=76.466268
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=49 node=N3904 type=control0 q_typed_residual_context=1.033758 sequence=77.500027
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=50 node=N2083 type=observe q_typed_residual_context=1.143581 sequence=78.643607
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=51 node=N3897 type=control0 q_typed_residual_context=1.044331 sequence=79.687939
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=52 node=N519 type=control1 q_typed_residual_context=1.717395 sequence=81.405334
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=53 node=N3862 type=control0 q_typed_residual_context=1.533008 sequence=82.938342
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=54 node=N3855 type=control0 q_typed_residual_context=1.749576 sequence=84.687918
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_residual_context=1.614859 sequence=86.302777
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=56 node=N3827 type=control0 q_typed_residual_context=1.995422 sequence=88.298199
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=57 node=N3820 type=control0 q_typed_residual_context=1.959852 sequence=90.258051
