[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:48:44 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_rank/epoch_008/q_typed_residual_context/alpha_0p05_weight_0p75
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:48:44 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:48:44 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:48:44 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.207357 sequence=5.207357
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.652416 sequence=9.859773
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.989353 sequence=11.849126
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.700592 sequence=13.549718
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.216467 sequence=14.766185
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.084584 sequence=15.850769
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977931 sequence=16.828700
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.046780 sequence=17.875481
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.943672 sequence=18.819153
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3756 type=control0 q_typed_residual_context=1.138841 sequence=19.957994
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290020 sequence=22.248015
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.589896 sequence=23.837911
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265050 sequence=27.102962
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.105347 sequence=30.208308
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.773335 sequence=32.981643
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.818482 sequence=34.800124
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.704902 sequence=39.505026
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.597818 sequence=44.102844
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.280908 sequence=49.383752
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.790981 sequence=54.174733
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.172335 sequence=58.347068
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.753051 sequence=65.100119
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.117284 sequence=71.217403
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.978645 sequence=77.196048
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.700903 sequence=82.896951
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.917565 sequence=89.814516
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.494034 sequence=95.308551
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.392428 sequence=99.700979
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.363053 sequence=104.064032
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.393606 sequence=108.457638
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.836648 sequence=116.294286
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.917722 sequence=119.212008
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.127073 sequence=125.339081
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.749093 sequence=130.088175
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.230965 sequence=136.319140
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.900610 sequence=142.219749
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.124479 sequence=146.344229
