[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/epoch_008/q_typed_reliable_context/alpha_0p10_weight_1p00
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.218741 sequence=14.764155
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.092454
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_reliable_context=0.908272 sequence=17.000726
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218367 sequence=18.219093
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_reliable_context=1.201416 sequence=19.420509
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.405941 sequence=20.826450
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.179407 sequence=22.005857
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.022725 sequence=23.028582
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=4.178596 sequence=27.207178
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=14 node=N1853 type=observe q_typed_reliable_context=2.441129 sequence=29.648307
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=15 node=N1372 type=observe q_typed_reliable_context=4.130339 sequence=33.778646
