[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/epoch_008/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.303090 sequence=5.303090
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.771674 sequence=10.074764
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.988210 sequence=12.062974
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.654327 sequence=13.717301
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.223511 sequence=14.940812
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.129378 sequence=16.070189
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977934 sequence=17.048124
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.090070 sequence=18.138194
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.945917 sequence=19.084111
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.180810 sequence=20.264921
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.555245
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.538473 sequence=24.093718
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265034 sequence=27.358752
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.061297 sequence=30.420049
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.730203 sequence=33.150252
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.878109 sequence=35.028361
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.746318 sequence=39.774679
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.639859 sequence=44.414538
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.340356 sequence=49.754894
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.836940 sequence=54.591834
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.215015 sequence=58.806850
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.713263 sequence=65.520112
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.089368 sequence=71.609480
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=5.944400 sequence=77.553880
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.135336 sequence=81.689215
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.856907 sequence=88.546122
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.325567 sequence=92.871689
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.484738 sequence=97.356427
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.835027 sequence=102.191454
