line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_9_N893 /0 undetected,output,,__tpi_op_9_N893,__tpi_op_9_N893,0,undetected,__tpi_op_9_N893,__tpi_op_9_N893,__tpi_op_9_N893,sa0,1
2,N5879 /1 undetected,output,,N5879,N5879,1,undetected,N5879,N5879,N5879,sa1,1
3,N13571 /1 undetected,output,,N13571,N13571,1,undetected,N13571,N13571,N13571,sa1,1
4,N13570 /1 undetected,output,,N13570,N13570,1,undetected,N13570,N13570,N13570,sa1,1
5,N5873 /1 undetected,output,,N5873,N5873,1,undetected,N5873,N5873,N5873,sa1,1
6,N5872 /1 undetected,output,,N5872,N5872,1,undetected,N5872,N5872,N5872,sa1,1
7,N19268 /1 undetected,output,,N19268,N19268,1,undetected,N19268,N19268,N19268,sa1,1
8,N19259 /1 undetected,output,,N19259,N19259,1,undetected,N19259,N19259,N19259,sa1,1
9,N1372->N14640 /1 undetected,input_edge,N1372,N14640,N14640,1,undetected,N14640,N14640,N14640,sa1,1
10,N5870 /1 undetected,output,,N5870,N5870,1,undetected,N5870,N5870,N5870,sa1,1
11,N5869 /1 undetected,output,,N5869,N5869,1,undetected,N5869,N5869,N5869,sa1,1
12,N1532->N14638 /1 undetected,input_edge,N1532,N14638,N14638,1,undetected,N14638,N14638,N14638,sa1,1
13,N17034 /1 undetected,output,,N17034,N17034,1,undetected,N17034,N17034,N17034,sa1,1
14,N14636 /1 undetected,output,,N14636,N14636,1,undetected,N14636,N14636,N14636,sa1,1
15,N14635 /1 undetected,output,,N14635,N14635,1,undetected,N14635,N14635,N14635,sa1,1
16,N23209 /1 undetected,output,,N23209,N23209,1,undetected,N23209,N23209,N23209,sa1,1
17,N1586 /0 undetected,output,,N1586,N1586,0,undetected,N1586,N1586,N1586,sa0,1
18,N22756 /1 undetected,output,,N22756,N22756,1,undetected,N22756,N22756,N22756,sa1,1
19,N18326 /1 undetected,output,,N18326,N18326,1,undetected,N18326,N18326,N18326,sa1,1
20,N18341 /1 undetected,output,,N18341,N18341,1,undetected,N18341,N18341,N18341,sa1,1
21,N3701 /1 undetected,output,,N3701,N3701,1,undetected,N3701,N3701,N3701,sa1,1
22,N27722 /1 undetected,output,,N27722,N27722,1,undetected,N27722,N27722,N27722,sa1,1
23,N18359 /1 undetected,output,,N18359,N18359,1,undetected,N18359,N18359,N18359,sa1,1
24,N3722 /1 undetected,output,,N3722,N3722,1,undetected,N3722,N3722,N3722,sa1,1
25,N8736 /1 undetected,output,,N8736,N8736,1,undetected,N8736,N8736,N8736,sa1,1
26,N8803 /1 undetected,output,,N8803,N8803,1,undetected,N8803,N8803,N8803,sa1,1
27,N27785 /1 undetected,output,,N27785,N27785,1,undetected,N27785,N27785,N27785,sa1,1
