[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/alpha_boundary/alpha_0p25
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 budgets=iscas99__b15_1:278
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.270490 sequence=8.128554
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.320661
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.766755
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.945663 sequence=12.712418
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.201482
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.112422
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.210364
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.341677 sequence=17.552041
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.109765
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.435342
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.885935
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.141257
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.539926
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.140302
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.962468 sequence=29.102770
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.847812
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.240387
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.238945
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.395641
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.095395
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.297979 sequence=41.393374
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.933654 sequence=43.327028
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.806877 sequence=45.133905
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.726836 sequence=46.860741
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.794514 sequence=48.655255
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.801846 sequence=49.457101
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.842343 sequence=50.299444
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985167 sequence=53.284610
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.609273
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.081387
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=32 node=N4677 type=control0 q_typed_reliable_context=2.806337 sequence=57.887724
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746178 sequence=58.633902
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978282 sequence=59.612185
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=35 node=N4670 type=control0 q_typed_reliable_context=1.831360 sequence=61.443545
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134401 sequence=63.577946
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615069 sequence=65.193015
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712282 sequence=65.905298
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829881 sequence=66.735178
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600772 sequence=67.335950
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496965 sequence=67.832915
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458814 sequence=69.291729
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684615 sequence=72.976345
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.737793 sequence=78.714138
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062804 sequence=81.776942
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_reliable_context=1.937052 sequence=83.713994
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140052 sequence=84.854045
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=48 node=N4635 type=control0 q_typed_reliable_context=1.496885 sequence=86.350931
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=49 node=N8470 type=observe q_typed_reliable_context=1.668286 sequence=88.019217
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.264247 sequence=89.283464
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943601 sequence=90.227065
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.943842 sequence=91.170907
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.962507 sequence=92.133414
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=54 node=N4716 type=control0 q_typed_reliable_context=0.978309 sequence=93.111723
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=55 node=N3897 type=control0 q_typed_reliable_context=0.942597 sequence=94.054320
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.958834 sequence=95.013153
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.960231 sequence=95.973384
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=58 node=N3701 type=control0 q_typed_reliable_context=0.959320 sequence=96.932704
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.908343 sequence=97.841047
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=60 node=N5603 type=control0 q_typed_reliable_context=0.923330 sequence=98.764377
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=0.905959 sequence=99.670336
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=62 node=N2083 type=observe q_typed_reliable_context=1.013958 sequence=100.684294
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.406135 sequence=102.090429
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=64 node=N3805 type=control0 q_typed_reliable_context=0.854117 sequence=102.944546
