[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.866948 sequence=4.866948
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.253097 sequence=8.120045
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.192087 sequence=10.312132
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.377440 sequence=11.689572
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.968230 sequence=12.657801
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.563456 sequence=14.221258
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=1.006690 sequence=15.227947
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.193556 sequence=16.421504
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N3756 type=control0 q_typed_residual_context=1.245730 sequence=17.667234
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.512842 sequence=19.180076
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N5866 type=observe q_typed_residual_context=3.498254 sequence=22.678330
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N737 type=control1 q_typed_residual_context=2.900284 sequence=25.578614
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_residual_context=1.763847 sequence=27.342461
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N564 type=control1 q_typed_residual_context=1.126531 sequence=28.468992
