[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/epoch_010/q_typed_reliable_context/alpha_0p10_weight_0p75
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.257160 sequence=8.115225
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.307332
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.753426
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.887674 sequence=12.641100
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.130164
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.041104
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.139046
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.340358 sequence=17.479404
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.037128
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.362705
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.813298
