[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_toplist/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 budgets=iscas99__b15_1:278
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.957590 sequence=4.957590
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.253097 sequence=8.210686
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.178343 sequence=10.389029
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.417484 sequence=11.806513
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N4520 type=control0 q_typed_residual_context=1.368677 sequence=13.175190
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.346443 sequence=14.521633
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N3756 type=control0 q_typed_residual_context=1.132109 sequence=15.653742
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.122035 sequence=16.775777
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.182243 sequence=17.958020
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.538568 sequence=19.496588
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_residual_context=1.322870 sequence=20.819459
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_residual_context=1.798264 sequence=22.617723
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5723 type=control0 q_typed_residual_context=0.918967 sequence=23.536690
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N7511 type=control1 q_typed_residual_context=1.438388 sequence=24.975078
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N2082 type=observe q_typed_residual_context=2.096284 sequence=27.071362
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N496 type=control1 q_typed_residual_context=1.357558 sequence=28.428919
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N5234 type=observe q_typed_residual_context=0.678169 sequence=29.107088
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=1.797321 sequence=30.904409
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=1.550096 sequence=32.454505
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=2.407525 sequence=34.862030
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_residual_context=2.225058 sequence=37.087088
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_residual_context=2.230254 sequence=39.317342
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_residual_context=1.775695 sequence=41.093037
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_residual_context=1.529443 sequence=42.622480
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N583 type=control1 q_typed_residual_context=1.429123 sequence=44.051602
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=1.071836 sequence=45.123438
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=0.785303 sequence=45.908741
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_residual_context=1.766584 sequence=47.675326
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N576 type=observe q_typed_residual_context=1.782632 sequence=49.457957
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.469758 sequence=49.927715
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N7413 type=control1 q_typed_residual_context=0.157473 sequence=50.085188
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7882 type=control1 q_typed_residual_context=1.035157 sequence=51.120344
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N7883 type=control1 q_typed_residual_context=0.569963 sequence=51.690308
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7881 type=control1 q_typed_residual_context=0.278254 sequence=51.968561
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N7884 type=control1 q_typed_residual_context=0.511749 sequence=52.480311
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N7885 type=control1 q_typed_residual_context=0.454173 sequence=52.934483
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4691 type=control0 q_typed_residual_context=1.579294 sequence=54.513777
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4663 type=control0 q_typed_residual_context=1.262513 sequence=55.776291
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N4684 type=control0 q_typed_residual_context=0.829375 sequence=56.605666
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N4670 type=control0 q_typed_residual_context=0.910064 sequence=57.515730
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=0.898918 sequence=58.414648
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N4649 type=control0 q_typed_residual_context=1.195645 sequence=59.610293
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N704 type=observe q_typed_residual_context=1.330505 sequence=60.940798
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_residual_context=2.772141 sequence=63.712939
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N4677 type=control0 q_typed_residual_context=2.402860 sequence=66.115799
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N724 type=observe q_typed_residual_context=2.230631 sequence=68.346431
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N4635 type=control0 q_typed_residual_context=1.601675 sequence=69.948106
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_residual_context=1.051332 sequence=70.999438
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_residual_context=1.048294 sequence=72.047732
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N3911 type=control0 q_typed_residual_context=0.837837 sequence=72.885570
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N3904 type=control0 q_typed_residual_context=0.840414 sequence=73.725984
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N3897 type=control0 q_typed_residual_context=0.826823 sequence=74.552807
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N3862 type=control0 q_typed_residual_context=0.827109 sequence=75.379915
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N3855 type=control0 q_typed_residual_context=0.833148 sequence=76.213063
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_residual_context=0.848328 sequence=77.061391
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3701 type=control0 q_typed_residual_context=0.900788 sequence=77.962179
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3742 type=control0 q_typed_residual_context=0.925786 sequence=78.887965
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_residual_context=0.958674 sequence=79.846639
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N2083 type=observe q_typed_residual_context=0.967656 sequence=80.814295
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N5603 type=control0 q_typed_residual_context=0.992978 sequence=81.807273
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_residual_context=0.850631 sequence=82.657904
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N7471 type=control0 q_typed_residual_context=1.029165 sequence=83.687070
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_residual_context=1.836409 sequence=85.523479
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N4712 type=control0 q_typed_residual_context=1.098992 sequence=86.622471
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4705 type=control0 q_typed_residual_context=1.217149 sequence=87.839620
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_residual_context=1.375818 sequence=89.215438
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_residual_context=1.032785 sequence=90.248224
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N3805 type=control0 q_typed_residual_context=0.802770 sequence=91.050994
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_residual_context=1.234636 sequence=92.285630
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N519 type=control1 q_typed_residual_context=1.509009 sequence=93.794640
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N504 type=control1 q_typed_residual_context=1.639624 sequence=95.434264
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N899 type=observe q_typed_residual_context=1.540000 sequence=96.974264
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N513 type=control1 q_typed_residual_context=1.551490 sequence=98.525754
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7532 type=observe q_typed_residual_context=1.263054 sequence=99.788808
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N516 type=control1 q_typed_residual_context=1.842458 sequence=101.631266
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N7537 type=observe q_typed_residual_context=1.623414 sequence=103.254680
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N520 type=control1 q_typed_residual_context=1.715814 sequence=104.970494
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N7535 type=observe q_typed_residual_context=1.800907 sequence=106.771401
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N7534 type=observe q_typed_residual_context=2.393694 sequence=109.165096
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N7875 type=control1 q_typed_residual_context=1.167134 sequence=110.332230
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N4585 type=control0 q_typed_residual_context=1.027704 sequence=111.359934
