[b15-long-decay/d32/a0.20] [gmean] 2026-07-21T14:37:17 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/long_decay/decay_32/alpha_0p20
[b15-long-decay/d32/a0.20] [gmean] 2026-07-21T14:37:17 budgets=iscas99__b15_1:278
[b15-long-decay/d32/a0.20] [gmean] 2026-07-21T14:37:17 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-long-decay/d32/a0.20] [gmean] 2026-07-21T14:37:17 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.267453 sequence=8.125517
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.317624
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.763718
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.938128 sequence=12.701846
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.190910
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.101850
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.199791
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.342638 sequence=17.542429
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.100153
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.425730
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.876323
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.131645
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.530314
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.130690
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.990524 sequence=29.121214
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.866256
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=18 node=N3605 type=observe q_typed_reliable_context=1.482635 sequence=32.348891
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=2.415941 sequence=34.764832
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=1.909421 sequence=36.674252
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=2.983196 sequence=39.657448
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=22 node=N1853 type=observe q_typed_reliable_context=1.938518 sequence=41.595967
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=1.900413 sequence=43.496380
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_reliable_context=2.001304 sequence=45.497684
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=25 node=N1532 type=observe q_typed_reliable_context=1.815353 sequence=47.313037
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.149615 sequence=48.462652
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=27 node=N5723 type=control0 q_typed_reliable_context=0.940753 sequence=49.403405
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.744278 sequence=50.147683
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.901967 sequence=51.049650
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.926025 sequence=51.975675
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.405544 sequence=52.381219
[b15-long-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=1.863454 sequence=54.244673
