node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_10635,1,0,1,0,0
__buf_split_10685,1,0,1,0,0
__buf_split_10688,1,0,1,0,0
__buf_split_10690,1,0,1,0,0
__buf_split_6977,1,0,1,0,0
__buf_split_6981,1,0,1,0,0
__buf_split_6985,1,0,1,0,0
__buf_split_6989,1,0,1,0,0
__buf_split_7006,1,0,1,0,0
__buf_split_7010,1,0,1,0,0
__buf_split_7034,1,0,1,0,0
__buf_split_7035,1,0,1,0,0
__buf_split_7036,1,0,1,0,0
__tpi_cp_0_new_n16225_,1,0,0,0,1
__tpi_cp_11_new_n14148_,1,0,0,1,0
__tpi_cp_12_new_n21564_,1,0,0,0,1
__tpi_cp_15_new_n14959_,1,0,0,0,1
__tpi_cp_17_new_n14969_,1,0,0,1,0
__tpi_cp_19_new_n14559_,1,0,0,0,1
__tpi_cp_1_new_n21572_,1,0,0,1,0
__tpi_cp_22_new_n14405_,1,0,0,1,0
__tpi_cp_24_new_n14394_,1,0,0,0,1
__tpi_cp_25_new_n14526_,1,0,0,0,1
__tpi_cp_2_new_n21592_,1,0,0,0,1
__tpi_cp_3_new_n16245_,1,0,0,0,1
__tpi_cp_4_new_n21532_,1,0,0,0,1
__tpi_cp_5_new_n16272_,1,0,0,0,1
__tpi_cp_6_new_n13596_,1,0,0,0,1
__tpi_cp_7_new_n13603_,1,0,0,1,0
new_n16221_,1,0,1,0,0
new_n16228_,1,0,1,0,0
new_n16230_,1,0,1,0,0
new_n16233_,1,0,1,0,0
new_n16236_,1,0,1,0,0
new_n16237_,1,0,1,0,0
new_n16247_,1,0,1,0,0
new_n16249_,1,0,1,0,0
new_n16254_,1,0,1,0,0
new_n16257_,1,0,1,0,0
new_n16270_,1,0,1,0,0
new_n16276_,1,1,0,0,0
new_n16277_,1,0,1,0,0
new_n16278_,1,0,1,0,0
new_n16280_,1,0,1,0,0
new_n16282_,1,0,1,0,0
new_n16286_,1,0,1,0,0
new_n21543_,1,0,1,0,0
new_n21548_,1,0,1,0,0
new_n21550_,1,0,1,0,0
new_n21551_,1,0,1,0,0
new_n21553_,1,0,1,0,0
new_n21556_,1,0,1,0,0
new_n21557_,1,0,1,0,0
new_n21569_,1,0,1,0,0
new_n21574_,1,0,1,0,0
new_n21577_,1,0,1,0,0
new_n21579_,1,0,1,0,0
new_n21580_,1,0,1,0,0
new_n21583_,1,0,1,0,0
new_n21585_,1,0,1,0,0
new_n21586_,1,0,1,0,0
new_n21588_,1,0,1,0,0
new_n21599_,1,0,1,0,0
new_n21603_,1,0,1,0,0
new_n21605_,1,0,1,0,0
ys__n4535,1,0,0,0,1
