line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_48___aig_not_23022 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_48___aig_not_23022,__tpi_cp_48___aig_not_23022,1,undetected,__tpi_cp_48___aig_not_23022,__tpi_cp_48___aig_not_23022,__tpi_cp_48___aig_not_23022,sa1,1
2,test_en->__tpi_cp_24___aig_and_24173 /0 undetected,input_edge,test_en,__tpi_cp_24___aig_and_24173,__tpi_cp_24___aig_and_24173,0,undetected,__tpi_cp_24___aig_and_24173,__tpi_cp_24___aig_and_24173,__tpi_cp_24___aig_and_24173,sa0,1
3,__tpi_not_test_en->__tpi_cp_37___aig_and_24170 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_37___aig_and_24170,__tpi_cp_37___aig_and_24170,1,undetected,__tpi_cp_37___aig_and_24170,__tpi_cp_37___aig_and_24170,__tpi_cp_37___aig_and_24170,sa1,1
4,test_en->__tpi_cp_23___aig_and_25368 /0 undetected,input_edge,test_en,__tpi_cp_23___aig_and_25368,__tpi_cp_23___aig_and_25368,0,undetected,__tpi_cp_23___aig_and_25368,__tpi_cp_23___aig_and_25368,__tpi_cp_23___aig_and_25368,sa0,1
5,test_en->__tpi_cp_29___aig_and_25361 /0 undetected,input_edge,test_en,__tpi_cp_29___aig_and_25361,__tpi_cp_29___aig_and_25361,0,undetected,__tpi_cp_29___aig_and_25361,__tpi_cp_29___aig_and_25361,__tpi_cp_29___aig_and_25361,sa0,1
6,test_en->__tpi_cp_54___aig_and_25358 /0 undetected,input_edge,test_en,__tpi_cp_54___aig_and_25358,__tpi_cp_54___aig_and_25358,0,undetected,__tpi_cp_54___aig_and_25358,__tpi_cp_54___aig_and_25358,__tpi_cp_54___aig_and_25358,sa0,1
7,__tpi_not_test_en->__tpi_cp_44___aig_not_22999 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_44___aig_not_22999,__tpi_cp_44___aig_not_22999,1,undetected,__tpi_cp_44___aig_not_22999,__tpi_cp_44___aig_not_22999,__tpi_cp_44___aig_not_22999,sa1,1
8,__tpi_not_test_en->__tpi_cp_27___aig_and_22996 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_27___aig_and_22996,__tpi_cp_27___aig_and_22996,1,undetected,__tpi_cp_27___aig_and_22996,__tpi_cp_27___aig_and_22996,__tpi_cp_27___aig_and_22996,sa1,1
9,__tpi_not_test_en->__tpi_cp_49___aig_and_21844 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_49___aig_and_21844,__tpi_cp_49___aig_and_21844,1,undetected,__tpi_cp_49___aig_and_21844,__tpi_cp_49___aig_and_21844,__tpi_cp_49___aig_and_21844,sa1,1
10,test_en->__tpi_cp_28___aig_and_24135 /0 undetected,input_edge,test_en,__tpi_cp_28___aig_and_24135,__tpi_cp_28___aig_and_24135,0,undetected,__tpi_cp_28___aig_and_24135,__tpi_cp_28___aig_and_24135,__tpi_cp_28___aig_and_24135,sa0,1
11,__tpi_not_test_en->__tpi_cp_51___aig_not_21840 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_51___aig_not_21840,__tpi_cp_51___aig_not_21840,1,undetected,__tpi_cp_51___aig_not_21840,__tpi_cp_51___aig_not_21840,__tpi_cp_51___aig_not_21840,sa1,1
12,test_en->__tpi_cp_46___aig_and_21818 /0 undetected,input_edge,test_en,__tpi_cp_46___aig_and_21818,__tpi_cp_46___aig_and_21818,0,undetected,__tpi_cp_46___aig_and_21818,__tpi_cp_46___aig_and_21818,__tpi_cp_46___aig_and_21818,sa0,1
13,__aig_not_12743 /1 undetected,output,,__aig_not_12743,__aig_not_12743,1,undetected,__aig_not_12743,__aig_not_12743,__aig_not_12743,sa1,1
14,__tpi_not_test_en->__tpi_cp_14___aig_not_12745 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_14___aig_not_12745,__tpi_cp_14___aig_not_12745,1,undetected,__tpi_cp_14___aig_not_12745,__tpi_cp_14___aig_not_12745,__tpi_cp_14___aig_not_12745,sa1,1
15,__tpi_not_test_en->__tpi_cp_13___aig_not_12684 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13___aig_not_12684,__tpi_cp_13___aig_not_12684,1,undetected,__tpi_cp_13___aig_not_12684,__tpi_cp_13___aig_not_12684,__tpi_cp_13___aig_not_12684,sa1,1
16,test_en->__tpi_cp_36_new_n5587 /0 undetected,input_edge,test_en,__tpi_cp_36_new_n5587,__tpi_cp_36_new_n5587,0,undetected,__tpi_cp_36_new_n5587,__tpi_cp_36_new_n5587,__tpi_cp_36_new_n5587,sa0,1
17,__tpi_not_test_en->__tpi_cp_20___aig_not_12679 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_20___aig_not_12679,__tpi_cp_20___aig_not_12679,1,undetected,__tpi_cp_20___aig_not_12679,__tpi_cp_20___aig_not_12679,__tpi_cp_20___aig_not_12679,sa1,1
18,__tpi_not_test_en->__tpi_cp_18___aig_not_12657 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_18___aig_not_12657,__tpi_cp_18___aig_not_12657,1,undetected,__tpi_cp_18___aig_not_12657,__tpi_cp_18___aig_not_12657,__tpi_cp_18___aig_not_12657,sa1,1
19,__tpi_not_test_en->__tpi_cp_17___aig_not_12696 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_17___aig_not_12696,__tpi_cp_17___aig_not_12696,1,undetected,__tpi_cp_17___aig_not_12696,__tpi_cp_17___aig_not_12696,__tpi_cp_17___aig_not_12696,sa1,1
20,__tpi_not_test_en->__tpi_cp_16___aig_not_12692 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_16___aig_not_12692,__tpi_cp_16___aig_not_12692,1,undetected,__tpi_cp_16___aig_not_12692,__tpi_cp_16___aig_not_12692,__tpi_cp_16___aig_not_12692,sa1,1
21,__tpi_not_test_en->__tpi_cp_0_asqrt_35_ /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_0_asqrt_35_,__tpi_cp_0_asqrt_35_,1,undetected,__tpi_cp_0_asqrt_35_,__tpi_cp_0_asqrt_35_,__tpi_cp_0_asqrt_35_,sa1,1
