node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_0___aig_and_1027,1,0,0,1,0
__tpi_cp_10___aig_not_7191,1,0,0,0,1
__tpi_cp_11___aig_not_7129,1,0,0,0,1
__tpi_cp_12___buf_split_4117,1,0,0,0,1
__tpi_cp_13___aig_and_7142,1,0,0,0,1
__tpi_cp_15___buf_split_4111,1,0,0,0,1
__tpi_cp_1___aig_and_991,1,0,0,1,0
__tpi_cp_20___aig_not_968,1,0,0,0,1
__tpi_cp_21_new_n1139,1,0,0,1,0
__tpi_cp_22___aig_not_1022,1,0,0,0,1
__tpi_cp_23___aig_not_1004,1,0,0,0,1
__tpi_cp_24_new_n819,1,0,0,1,0
__tpi_cp_25___buf_split_692,1,0,0,0,1
__tpi_cp_2___aig_and_1045,1,0,0,1,0
__tpi_cp_32___aig_not_7165,1,0,0,0,1
__tpi_cp_34_new_n822,1,0,0,0,1
__tpi_cp_38_new_n826,1,0,0,1,0
__tpi_cp_39_new_n842,1,0,0,1,0
__tpi_cp_3___aig_and_1009,1,0,0,1,0
__tpi_cp_40___aig_not_7169,1,0,0,0,1
__tpi_cp_41___aig_not_974,1,0,0,0,1
__tpi_cp_42___aig_not_1010,1,0,0,0,1
__tpi_cp_43___aig_not_1040,1,0,0,1,0
__tpi_cp_44___aig_and_1695,1,0,0,1,0
__tpi_cp_46___aig_not_1046,1,0,0,0,1
__tpi_cp_47___aig_not_986,1,0,0,1,0
__tpi_cp_49___aig_not_972,1,0,0,0,1
__tpi_cp_4___aig_and_973,1,0,0,1,0
__tpi_cp_50___aig_not_963,1,0,0,0,1
__tpi_cp_51___aig_not_990,1,0,0,0,1
__tpi_cp_52___aig_not_1026,1,0,0,0,1
__tpi_cp_53___aig_not_1044,1,0,0,0,1
__tpi_cp_54___aig_not_954,1,0,0,0,1
__tpi_cp_55___aig_not_1008,1,0,0,0,1
__tpi_cp_56___aig_and_7138,1,0,0,0,1
__tpi_cp_57___aig_not_7187,1,0,0,0,1
__tpi_cp_58___aig_not_7189,1,0,0,0,1
__tpi_cp_59___aig_not_7193,1,0,0,0,1
__tpi_cp_60___aig_not_7197,1,0,0,0,1
__tpi_cp_61___aig_and_1698,1,0,0,0,1
__tpi_cp_62___aig_not_7149,1,0,0,0,1
__tpi_cp_63___buf_split_756,1,0,0,0,1
__tpi_cp_64___aig_not_992,1,0,0,0,1
__tpi_cp_65___aig_not_947,1,0,0,0,1
__tpi_cp_66___aig_not_1028,1,0,0,0,1
__tpi_cp_67___aig_not_1694,1,0,0,0,1
__tpi_cp_69___buf_split_707,1,0,0,0,1
__tpi_cp_6___aig_and_7126,1,0,0,0,1
__tpi_cp_72___buf_split_716,1,0,0,0,1
__tpi_cp_73___buf_split_742,1,0,0,0,1
__tpi_cp_74___aig_not_7201,1,0,0,0,1
__tpi_cp_75___buf_split_1222,1,0,0,0,1
__tpi_cp_76___buf_split_703,1,0,0,0,1
__tpi_cp_77___buf_split_702,1,0,0,0,1
__tpi_cp_78___aig_and_7196,1,0,0,1,0
__tpi_cp_79___buf_split_730,1,0,0,0,1
__tpi_cp_7___aig_not_7199,1,0,0,0,1
__tpi_cp_80___buf_split_729,1,0,0,0,1
__tpi_cp_8___aig_not_7195,1,0,0,0,1
