node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_10___aig_not_12009,1,0,0,0,1
__tpi_cp_11___aig_not_12013,1,0,0,0,1
__tpi_cp_12___aig_not_11945,1,0,0,0,1
__tpi_cp_13___buf_split_6553,1,0,0,0,1
__tpi_cp_20___aig_not_1888,1,0,0,0,1
__tpi_cp_21___aig_not_1906,1,0,0,0,1
__tpi_cp_22___aig_not_1924,1,0,0,0,1
__tpi_cp_24_new_n1252,1,0,0,1,0
__tpi_cp_25_new_n1228,1,0,0,1,0
__tpi_cp_26_new_n543,1,0,0,1,0
__tpi_cp_27_new_n1244,1,0,0,1,0
__tpi_cp_28_new_n1236,1,0,0,1,0
__tpi_cp_29_new_n1220,1,0,0,1,0
__tpi_cp_37___aig_not_1876,1,0,0,0,1
__tpi_cp_38_new_n1247,1,0,0,1,0
__tpi_cp_40___aig_not_1960,1,0,0,1,0
__tpi_cp_5___aig_and_1875,1,0,0,1,0
__tpi_cp_6___aig_and_11942,1,0,0,0,1
__tpi_cp_7___aig_not_12001,1,0,0,0,1
__tpi_cp_9___aig_not_12005,1,0,0,0,1
