line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,I1_7->I1_7_PO /0 undetected,input_edge,I1.7,I1_7_PO,I1_7_PO,0,undetected,I1_7_PO,I1_7_PO,I1_7_PO,sa0,1
2,I1_6->I1_6_PO /0 undetected,input_edge,I1.6,I1_6_PO,I1_6_PO,0,undetected,I1_6_PO,I1_6_PO,I1_6_PO,sa0,1
3,I1_8->__tpi_cp_5_I1_8 /0 undetected,input_edge,I1.8,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,0,undetected,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,sa0,1
4,test_en->__tpi_cp_5_I1_8 /0 undetected,input_edge,test_en,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,0,undetected,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,__tpi_cp_5_I1_8,sa0,1
5,I2_7->I1_8 /1 undetected,input_edge,I2.7,I1.8,I1.8,1,undetected,I1.8,I1.8,I1_8,sa1,1
6,I1_7->__tpi_cp_50_I1_7 /0 undetected,input_edge,I1.7,__tpi_cp_50_I1_7,__tpi_cp_50_I1_7,0,undetected,__tpi_cp_50_I1_7,__tpi_cp_50_I1_7,__tpi_cp_50_I1_7,sa0,1
7,I1_7 /0 undetected,output,,I1.7,I1.7,0,undetected,I1.7,I1.7,I1_7,sa0,1
8,I2_6 /1 undetected,output,,I2.6,I2.6,1,undetected,I2.6,I2.6,I2_6,sa1,1
9,__tpi_not_test_en->__tpi_cp_43___aig_not_345 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_43___aig_not_345,__tpi_cp_43___aig_not_345,1,undetected,__tpi_cp_43___aig_not_345,__tpi_cp_43___aig_not_345,__tpi_cp_43___aig_not_345,sa1,1
10,__aig_not_345 /1 undetected,output,,__aig_not_345,__aig_not_345,1,undetected,__aig_not_345,__aig_not_345,__aig_not_345,sa1,1
