line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_2___aig_not_62966 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_2___aig_not_62966,__tpi_cp_2___aig_not_62966,1,undetected,__tpi_cp_2___aig_not_62966,__tpi_cp_2___aig_not_62966,__tpi_cp_2___aig_not_62966,sa1,1
2,__tpi_not_test_en->__tpi_cp_20___aig_not_34401 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_20___aig_not_34401,__tpi_cp_20___aig_not_34401,1,undetected,__tpi_cp_20___aig_not_34401,__tpi_cp_20___aig_not_34401,__tpi_cp_20___aig_not_34401,sa1,1
3,__tpi_not_test_en->__tpi_cp_6___aig_and_34003 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,1,undetected,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,__tpi_cp_6___aig_and_34003,sa1,1
4,__tpi_not_test_en->__tpi_cp_23___aig_and_63449 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_23___aig_and_63449,__tpi_cp_23___aig_and_63449,1,undetected,__tpi_cp_23___aig_and_63449,__tpi_cp_23___aig_and_63449,__tpi_cp_23___aig_and_63449,sa1,1
5,__tpi_not_test_en->__tpi_cp_7___buf_split_40826 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_7___buf_split_40826,__tpi_cp_7___buf_split_40826,1,undetected,__tpi_cp_7___buf_split_40826,__tpi_cp_7___buf_split_40826,__tpi_cp_7___buf_split_40826,sa1,1
6,__tpi_not_test_en->__tpi_cp_25___aig_not_62963 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_25___aig_not_62963,__tpi_cp_25___aig_not_62963,1,undetected,__tpi_cp_25___aig_not_62963,__tpi_cp_25___aig_not_62963,__tpi_cp_25___aig_not_62963,sa1,1
7,__tpi_not_test_en->__tpi_cp_14___aig_not_62957 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,1,undetected,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,__tpi_cp_14___aig_not_62957,sa1,1
8,__tpi_not_test_en->__tpi_cp_1___aig_and_62955 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_1___aig_and_62955,__tpi_cp_1___aig_and_62955,1,undetected,__tpi_cp_1___aig_and_62955,__tpi_cp_1___aig_and_62955,__tpi_cp_1___aig_and_62955,sa1,1
9,__tpi_not_test_en->__tpi_cp_36___aig_not_62526 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_36___aig_not_62526,__tpi_cp_36___aig_not_62526,1,undetected,__tpi_cp_36___aig_not_62526,__tpi_cp_36___aig_not_62526,__tpi_cp_36___aig_not_62526,sa1,1
10,__tpi_not_test_en->__tpi_cp_34___aig_not_34099 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_34___aig_not_34099,__tpi_cp_34___aig_not_34099,1,undetected,__tpi_cp_34___aig_not_34099,__tpi_cp_34___aig_not_34099,__tpi_cp_34___aig_not_34099,sa1,1
11,__tpi_not_test_en->__tpi_cp_11___aig_not_62513 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___aig_not_62513,__tpi_cp_11___aig_not_62513,1,undetected,__tpi_cp_11___aig_not_62513,__tpi_cp_11___aig_not_62513,__tpi_cp_11___aig_not_62513,sa1,1
12,test_en->__tpi_cp_18___aig_and_62953 /0 undetected,input_edge,test_en,__tpi_cp_18___aig_and_62953,__tpi_cp_18___aig_and_62953,0,undetected,__tpi_cp_18___aig_and_62953,__tpi_cp_18___aig_and_62953,__tpi_cp_18___aig_and_62953,sa0,1
