node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
I223,1,0,1,0,0
I293,1,0,1,0,0
I300,1,0,1,0,0
I307,1,0,1,0,0
I314,1,0,1,0,0
I342,1,0,1,0,0
I349,1,0,1,0,0
__aig_and_123,1,0,0,0,1
__aig_and_142,1,0,0,0,1
__aig_and_144,1,1,0,0,0
__aig_and_145,1,1,0,0,0
__buf_split_235,1,0,1,0,0
__buf_split_243,1,0,1,0,0
__buf_split_265,1,0,1,0,0
__tpi_cp_0_I547,1,0,0,0,1
__tpi_cp_14_G88,1,0,0,1,0
__tpi_cp_1___buf_split_240,1,0,0,0,1
__tpi_cp_21___aig_not_84,1,0,0,0,1
__tpi_cp_26_I449,1,0,0,0,1
__tpi_cp_29___aig_and_7,1,0,0,1,0
__tpi_cp_30___aig_and_2,1,0,0,1,0
__tpi_cp_34_G259,1,0,0,1,0
__tpi_cp_35_G258,1,0,0,1,0
__tpi_cp_36_G395,1,0,0,0,1
__tpi_cp_39_I324,1,0,0,0,1
__tpi_cp_3_G137,1,0,0,1,0
__tpi_cp_40_G226,1,0,0,1,0
__tpi_cp_4___buf_split_55,1,0,0,1,0
__tpi_cp_5___buf_split_30,1,0,0,1,0
__tpi_cp_8___aig_not_114,1,0,0,0,1
__tpi_cp_9___aig_not_109,1,0,0,0,1
__tpi_op_2___aig_and_145,1,1,0,0,0
__tpi_op_3___aig_and_144,1,1,0,0,0
__tpi_op_6_I293,1,0,1,0,0
