line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_5___buf_split_168 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,1,undetected,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,sa1,1
2,__tpi_not_test_en->__tpi_cp_11___buf_split_172 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,1,undetected,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,sa1,1
3,R248_U51 /1 undetected,output,,R248_U51,R248_U51,1,undetected,R248_U51,R248_U51,R248_U51,sa1,1
4,__tpi_not_test_en->__tpi_cp_13___buf_split_761 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,1,undetected,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,sa1,1
5,__tpi_not_test_en->__tpi_cp_12___buf_split_311 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12___buf_split_311,__tpi_cp_12___buf_split_311,1,undetected,__tpi_cp_12___buf_split_311,__tpi_cp_12___buf_split_311,__tpi_cp_12___buf_split_311,sa1,1
6,R248_U49 /1 undetected,output,,R248_U49,R248_U49,1,undetected,R248_U49,R248_U49,R248_U49,sa1,1
7,__buf_split_526 /1 undetected,output,,__buf_split_526,__buf_split_526,1,undetected,__buf_split_526,__buf_split_526,__buf_split_526,sa1,1
8,test_en->__tpi_cp_15___buf_split_525 /0 undetected,input_edge,test_en,__tpi_cp_15___buf_split_525,__tpi_cp_15___buf_split_525,0,undetected,__tpi_cp_15___buf_split_525,__tpi_cp_15___buf_split_525,__tpi_cp_15___buf_split_525,sa0,1
9,__buf_split_525 /0 undetected,output,,__buf_split_525,__buf_split_525,0,undetected,__buf_split_525,__buf_split_525,__buf_split_525,sa0,1
10,test_en->__tpi_cp_7___aig_and_282 /0 undetected,input_edge,test_en,__tpi_cp_7___aig_and_282,__tpi_cp_7___aig_and_282,0,undetected,__tpi_cp_7___aig_and_282,__tpi_cp_7___aig_and_282,__tpi_cp_7___aig_and_282,sa0,1
11,R229_U82 /1 undetected,output,,R229_U82,R229_U82,1,undetected,R229_U82,R229_U82,R229_U82,sa1,1
12,R248_U101 /1 undetected,output,,R248_U101,R248_U101,1,undetected,R248_U101,R248_U101,R248_U101,sa1,1
13,R254_U82 /1 undetected,output,,R254_U82,R254_U82,1,undetected,R254_U82,R254_U82,R254_U82,sa1,1
14,__buf_split_808 /1 undetected,output,,__buf_split_808,__buf_split_808,1,undetected,__buf_split_808,__buf_split_808,__buf_split_808,sa1,1
15,__buf_split_810 /1 undetected,output,,__buf_split_810,__buf_split_810,1,undetected,__buf_split_810,__buf_split_810,__buf_split_810,sa1,1
16,R248_U23 /1 undetected,output,,R248_U23,R248_U23,1,undetected,R248_U23,R248_U23,R248_U23,sa1,1
17,__buf_split_803 /1 undetected,output,,__buf_split_803,__buf_split_803,1,undetected,__buf_split_803,__buf_split_803,__buf_split_803,sa1,1
18,R254_U81 /1 undetected,output,,R254_U81,R254_U81,1,undetected,R254_U81,R254_U81,R254_U81,sa1,1
19,__buf_split_805 /1 undetected,output,,__buf_split_805,__buf_split_805,1,undetected,__buf_split_805,__buf_split_805,__buf_split_805,sa1,1
