line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,test_en->__tpi_cp_68_U388 /0 undetected,input_edge,test_en,__tpi_cp_68_U388,__tpi_cp_68_U388,0,undetected,__tpi_cp_68_U388,__tpi_cp_68_U388,__tpi_cp_68_U388,sa0,1
2,__tpi_not_test_en->__tpi_cp_38_R229_U52 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,1,undetected,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,sa1,1
3,__tpi_not_test_en->__tpi_cp_72_R229_U83 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,1,undetected,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,sa1,1
4,test_en->__tpi_cp_22___aig_and_267 /0 undetected,input_edge,test_en,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,0,undetected,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,sa0,1
5,__tpi_not_test_en->__tpi_cp_44_R248_U104 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,1,undetected,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,sa1,1
6,__tpi_not_test_en->__tpi_cp_9___aig_and_297 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,1,undetected,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,sa1,1
7,__tpi_not_test_en->__tpi_cp_49_R229_U46 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_49_R229_U46,__tpi_cp_49_R229_U46,1,undetected,__tpi_cp_49_R229_U46,__tpi_cp_49_R229_U46,__tpi_cp_49_R229_U46,sa1,1
8,test_en->__tpi_cp_45___buf_split_387 /0 undetected,input_edge,test_en,__tpi_cp_45___buf_split_387,__tpi_cp_45___buf_split_387,0,undetected,__tpi_cp_45___buf_split_387,__tpi_cp_45___buf_split_387,__tpi_cp_45___buf_split_387,sa0,1
9,__tpi_not_test_en->__tpi_cp_5___buf_split_168 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,1,undetected,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,__tpi_cp_5___buf_split_168,sa1,1
10,__tpi_not_test_en->__tpi_cp_11___buf_split_172 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,1,undetected,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,__tpi_cp_11___buf_split_172,sa1,1
11,__tpi_not_test_en->__tpi_cp_52_R248_U44 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_52_R248_U44,__tpi_cp_52_R248_U44,1,undetected,__tpi_cp_52_R248_U44,__tpi_cp_52_R248_U44,__tpi_cp_52_R248_U44,sa1,1
12,__tpi_not_test_en->__tpi_cp_51___buf_split_764 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_51___buf_split_764,__tpi_cp_51___buf_split_764,1,undetected,__tpi_cp_51___buf_split_764,__tpi_cp_51___buf_split_764,__tpi_cp_51___buf_split_764,sa1,1
13,__buf_split_529 /1 undetected,output,,__buf_split_529,__buf_split_529,1,undetected,__buf_split_529,__buf_split_529,__buf_split_529,sa1,1
14,R248_U50->__tpi_cp_61_R248_U50 /0 undetected,input_edge,R248_U50,__tpi_cp_61_R248_U50,__tpi_cp_61_R248_U50,0,undetected,__tpi_cp_61_R248_U50,__tpi_cp_61_R248_U50,__tpi_cp_61_R248_U50,sa0,1
15,test_en->__tpi_cp_6_U350 /0 undetected,input_edge,test_en,__tpi_cp_6_U350,__tpi_cp_6_U350,0,undetected,__tpi_cp_6_U350,__tpi_cp_6_U350,__tpi_cp_6_U350,sa0,1
16,__tpi_not_test_en->__tpi_cp_59___buf_split_532 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_59___buf_split_532,__tpi_cp_59___buf_split_532,1,undetected,__tpi_cp_59___buf_split_532,__tpi_cp_59___buf_split_532,__tpi_cp_59___buf_split_532,sa1,1
17,__tpi_not_test_en->__tpi_cp_13___buf_split_761 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,1,undetected,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,__tpi_cp_13___buf_split_761,sa1,1
18,__tpi_not_test_en->__tpi_cp_66___buf_split_749 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_66___buf_split_749,__tpi_cp_66___buf_split_749,1,undetected,__tpi_cp_66___buf_split_749,__tpi_cp_66___buf_split_749,__tpi_cp_66___buf_split_749,sa1,1
19,test_en->__tpi_cp_36___aig_and_348 /0 undetected,input_edge,test_en,__tpi_cp_36___aig_and_348,__tpi_cp_36___aig_and_348,0,undetected,__tpi_cp_36___aig_and_348,__tpi_cp_36___aig_and_348,__tpi_cp_36___aig_and_348,sa0,1
20,__tpi_not_test_en->__tpi_cp_40_R229_U110 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_40_R229_U110,__tpi_cp_40_R229_U110,1,undetected,__tpi_cp_40_R229_U110,__tpi_cp_40_R229_U110,__tpi_cp_40_R229_U110,sa1,1
21,test_en->__tpi_cp_71_R229_U9 /0 undetected,input_edge,test_en,__tpi_cp_71_R229_U9,__tpi_cp_71_R229_U9,0,undetected,__tpi_cp_71_R229_U9,__tpi_cp_71_R229_U9,__tpi_cp_71_R229_U9,sa0,1
22,test_en->__tpi_cp_33___aig_and_299 /0 undetected,input_edge,test_en,__tpi_cp_33___aig_and_299,__tpi_cp_33___aig_and_299,0,undetected,__tpi_cp_33___aig_and_299,__tpi_cp_33___aig_and_299,__tpi_cp_33___aig_and_299,sa0,1
23,__tpi_not_test_en->__tpi_cp_35_R229_U5 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_35_R229_U5,__tpi_cp_35_R229_U5,1,undetected,__tpi_cp_35_R229_U5,__tpi_cp_35_R229_U5,__tpi_cp_35_R229_U5,sa1,1
24,__tpi_not_test_en->__tpi_cp_20_R229_U45 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_20_R229_U45,__tpi_cp_20_R229_U45,1,undetected,__tpi_cp_20_R229_U45,__tpi_cp_20_R229_U45,__tpi_cp_20_R229_U45,sa1,1
25,test_en->__tpi_cp_1___buf_split_428 /0 undetected,input_edge,test_en,__tpi_cp_1___buf_split_428,__tpi_cp_1___buf_split_428,0,undetected,__tpi_cp_1___buf_split_428,__tpi_cp_1___buf_split_428,__tpi_cp_1___buf_split_428,sa0,1
