line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,test_en->__tpi_cp_68_U388 /0 undetected,input_edge,test_en,__tpi_cp_68_U388,__tpi_cp_68_U388,0,undetected,__tpi_cp_68_U388,__tpi_cp_68_U388,__tpi_cp_68_U388,sa0,1
2,test_en->__tpi_cp_70_U453 /0 undetected,input_edge,test_en,__tpi_cp_70_U453,__tpi_cp_70_U453,0,undetected,__tpi_cp_70_U453,__tpi_cp_70_U453,__tpi_cp_70_U453,sa0,1
3,__tpi_not_test_en->__tpi_cp_38_R229_U52 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,1,undetected,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,__tpi_cp_38_R229_U52,sa1,1
4,__tpi_not_test_en->__tpi_cp_75_R229_U8 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_75_R229_U8,__tpi_cp_75_R229_U8,1,undetected,__tpi_cp_75_R229_U8,__tpi_cp_75_R229_U8,__tpi_cp_75_R229_U8,sa1,1
5,__tpi_not_test_en->__tpi_cp_72_R229_U83 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,1,undetected,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,__tpi_cp_72_R229_U83,sa1,1
6,test_en->__tpi_cp_22___aig_and_267 /0 undetected,input_edge,test_en,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,0,undetected,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,__tpi_cp_22___aig_and_267,sa0,1
7,__tpi_not_test_en->__tpi_cp_44_R248_U104 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,1,undetected,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,__tpi_cp_44_R248_U104,sa1,1
8,__tpi_not_test_en->__tpi_cp_9___aig_and_297 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,1,undetected,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,__tpi_cp_9___aig_and_297,sa1,1
9,__tpi_not_test_en->__tpi_cp_87_R229_U48 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_87_R229_U48,__tpi_cp_87_R229_U48,1,undetected,__tpi_cp_87_R229_U48,__tpi_cp_87_R229_U48,__tpi_cp_87_R229_U48,sa1,1
10,test_en->__tpi_cp_92___aig_and_302 /0 undetected,input_edge,test_en,__tpi_cp_92___aig_and_302,__tpi_cp_92___aig_and_302,0,undetected,__tpi_cp_92___aig_and_302,__tpi_cp_92___aig_and_302,__tpi_cp_92___aig_and_302,sa0,1
