line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_73_II961 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_73_II961,__tpi_cp_73_II961,1,undetected,__tpi_cp_73_II961,__tpi_cp_73_II961,__tpi_cp_73_II961,sa1,1
2,__tpi_cp_73_II961 /1 undetected,output,,__tpi_cp_73_II961,__tpi_cp_73_II961,1,undetected,__tpi_cp_73_II961,__tpi_cp_73_II961,__tpi_cp_73_II961,sa1,1
3,II961 /1 undetected,output,,II961,II961,1,undetected,II961,II961,II961,sa1,1
4,test_en->__tpi_cp_66___aig_and_81 /0 undetected,input_edge,test_en,__tpi_cp_66___aig_and_81,__tpi_cp_66___aig_and_81,0,undetected,__tpi_cp_66___aig_and_81,__tpi_cp_66___aig_and_81,__tpi_cp_66___aig_and_81,sa0,1
5,__aig_and_81 /0 undetected,output,,__aig_and_81,__aig_and_81,0,undetected,__aig_and_81,__aig_and_81,__aig_and_81,sa0,1
6,C_14 /1 undetected,output,,C_14,C_14,1,undetected,C_14,C_14,C_14,sa1,1
7,__tpi_not_test_en->__tpi_cp_77_II814 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_77_II814,__tpi_cp_77_II814,1,undetected,__tpi_cp_77_II814,__tpi_cp_77_II814,__tpi_cp_77_II814,sa1,1
8,II814 /1 undetected,output,,II814,II814,1,undetected,II814,II814,II814,sa1,1
9,test_en->__tpi_cp_68___aig_and_75 /0 undetected,input_edge,test_en,__tpi_cp_68___aig_and_75,__tpi_cp_68___aig_and_75,0,undetected,__tpi_cp_68___aig_and_75,__tpi_cp_68___aig_and_75,__tpi_cp_68___aig_and_75,sa0,1
10,__aig_and_75 /0 undetected,output,,__aig_and_75,__aig_and_75,0,undetected,__aig_and_75,__aig_and_75,__aig_and_75,sa0,1
11,II846->__tpi_cp_71_II846 /0 undetected,input_edge,II846,__tpi_cp_71_II846,__tpi_cp_71_II846,0,undetected,__tpi_cp_71_II846,__tpi_cp_71_II846,__tpi_cp_71_II846,sa0,1
12,test_en->__tpi_cp_71_II846 /0 undetected,input_edge,test_en,__tpi_cp_71_II846,__tpi_cp_71_II846,0,undetected,__tpi_cp_71_II846,__tpi_cp_71_II846,__tpi_cp_71_II846,sa0,1
13,__tpi_not_test_en->__tpi_cp_43___buf_split_148 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_43___buf_split_148,__tpi_cp_43___buf_split_148,1,undetected,__tpi_cp_43___buf_split_148,__tpi_cp_43___buf_split_148,__tpi_cp_43___buf_split_148,sa1,1
14,__tpi_not_test_en->__tpi_cp_29___aig_not_219 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_29___aig_not_219,__tpi_cp_29___aig_not_219,1,undetected,__tpi_cp_29___aig_not_219,__tpi_cp_29___aig_not_219,__tpi_cp_29___aig_not_219,sa1,1
15,test_en->__tpi_cp_3___aig_and_218 /0 undetected,input_edge,test_en,__tpi_cp_3___aig_and_218,__tpi_cp_3___aig_and_218,0,undetected,__tpi_cp_3___aig_and_218,__tpi_cp_3___aig_and_218,__tpi_cp_3___aig_and_218,sa0,1
16,__tpi_not_test_en->__tpi_cp_46___aig_not_217 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_46___aig_not_217,__tpi_cp_46___aig_not_217,1,undetected,__tpi_cp_46___aig_not_217,__tpi_cp_46___aig_not_217,__tpi_cp_46___aig_not_217,sa1,1
17,__tpi_not_test_en->__tpi_cp_47___buf_split_189 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_47___buf_split_189,__tpi_cp_47___buf_split_189,1,undetected,__tpi_cp_47___buf_split_189,__tpi_cp_47___buf_split_189,__tpi_cp_47___buf_split_189,sa1,1
18,test_en->__tpi_cp_62___aig_not_216 /0 undetected,input_edge,test_en,__tpi_cp_62___aig_not_216,__tpi_cp_62___aig_not_216,0,undetected,__tpi_cp_62___aig_not_216,__tpi_cp_62___aig_not_216,__tpi_cp_62___aig_not_216,sa0,1
19,__tpi_not_test_en->__tpi_cp_11___buf_split_188 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_11___buf_split_188,__tpi_cp_11___buf_split_188,1,undetected,__tpi_cp_11___buf_split_188,__tpi_cp_11___buf_split_188,__tpi_cp_11___buf_split_188,sa1,1
20,__tpi_not_test_en->__tpi_cp_33_II849 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_33_II849,__tpi_cp_33_II849,1,undetected,__tpi_cp_33_II849,__tpi_cp_33_II849,__tpi_cp_33_II849,sa1,1
21,test_en->__tpi_cp_2_II611_3 /0 undetected,input_edge,test_en,__tpi_cp_2_II611_3,__tpi_cp_2_II611_3,0,undetected,__tpi_cp_2_II611_3,__tpi_cp_2_II611_3,__tpi_cp_2_II611_3,sa0,1
22,__tpi_not_test_en->__tpi_cp_21___buf_split_38 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_21___buf_split_38,__tpi_cp_21___buf_split_38,1,undetected,__tpi_cp_21___buf_split_38,__tpi_cp_21___buf_split_38,__tpi_cp_21___buf_split_38,sa1,1
23,__tpi_not_test_en->__tpi_cp_31_II776 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_31_II776,__tpi_cp_31_II776,1,undetected,__tpi_cp_31_II776,__tpi_cp_31_II776,__tpi_cp_31_II776,sa1,1
24,__tpi_not_test_en->__tpi_cp_40_II808 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_40_II808,__tpi_cp_40_II808,1,undetected,__tpi_cp_40_II808,__tpi_cp_40_II808,__tpi_cp_40_II808,sa1,1
25,__tpi_not_test_en->__tpi_cp_38___buf_split_45 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_38___buf_split_45,__tpi_cp_38___buf_split_45,1,undetected,__tpi_cp_38___buf_split_45,__tpi_cp_38___buf_split_45,__tpi_cp_38___buf_split_45,sa1,1
26,test_en->__tpi_cp_1___buf_split_146 /0 undetected,input_edge,test_en,__tpi_cp_1___buf_split_146,__tpi_cp_1___buf_split_146,0,undetected,__tpi_cp_1___buf_split_146,__tpi_cp_1___buf_split_146,__tpi_cp_1___buf_split_146,sa0,1
27,test_en->__tpi_cp_74_II781 /0 undetected,input_edge,test_en,__tpi_cp_74_II781,__tpi_cp_74_II781,0,undetected,__tpi_cp_74_II781,__tpi_cp_74_II781,__tpi_cp_74_II781,sa0,1
28,__tpi_not_test_en->__tpi_cp_41_II743 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_41_II743,__tpi_cp_41_II743,1,undetected,__tpi_cp_41_II743,__tpi_cp_41_II743,__tpi_cp_41_II743,sa1,1
29,__tpi_not_test_en->__tpi_cp_22___buf_split_43 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_22___buf_split_43,__tpi_cp_22___buf_split_43,1,undetected,__tpi_cp_22___buf_split_43,__tpi_cp_22___buf_split_43,__tpi_cp_22___buf_split_43,sa1,1
30,test_en->__tpi_cp_86_P_10 /0 undetected,input_edge,test_en,__tpi_cp_86_P_10,__tpi_cp_86_P_10,0,undetected,__tpi_cp_86_P_10,__tpi_cp_86_P_10,__tpi_cp_86_P_10,sa0,1
31,__tpi_not_test_en->__tpi_cp_20___aig_not_197 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_20___aig_not_197,__tpi_cp_20___aig_not_197,1,undetected,__tpi_cp_20___aig_not_197,__tpi_cp_20___aig_not_197,__tpi_cp_20___aig_not_197,sa1,1
32,test_en->__tpi_cp_85___aig_and_196 /0 undetected,input_edge,test_en,__tpi_cp_85___aig_and_196,__tpi_cp_85___aig_and_196,0,undetected,__tpi_cp_85___aig_and_196,__tpi_cp_85___aig_and_196,__tpi_cp_85___aig_and_196,sa0,1
33,test_en->__tpi_cp_87___aig_not_195 /0 undetected,input_edge,test_en,__tpi_cp_87___aig_not_195,__tpi_cp_87___aig_not_195,0,undetected,__tpi_cp_87___aig_not_195,__tpi_cp_87___aig_not_195,__tpi_cp_87___aig_not_195,sa0,1
34,__tpi_not_test_en->__tpi_cp_9___buf_split_181 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9___buf_split_181,__tpi_cp_9___buf_split_181,1,undetected,__tpi_cp_9___buf_split_181,__tpi_cp_9___buf_split_181,__tpi_cp_9___buf_split_181,sa1,1
35,__tpi_not_test_en->__tpi_cp_18_II742 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_18_II742,__tpi_cp_18_II742,1,undetected,__tpi_cp_18_II742,__tpi_cp_18_II742,__tpi_cp_18_II742,sa1,1
36,__tpi_not_test_en->__tpi_cp_84___buf_split_42 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_84___buf_split_42,__tpi_cp_84___buf_split_42,1,undetected,__tpi_cp_84___buf_split_42,__tpi_cp_84___buf_split_42,__tpi_cp_84___buf_split_42,sa1,1
37,__tpi_not_test_en->__tpi_cp_12___aig_not_201 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12___aig_not_201,__tpi_cp_12___aig_not_201,1,undetected,__tpi_cp_12___aig_not_201,__tpi_cp_12___aig_not_201,__tpi_cp_12___aig_not_201,sa1,1
38,test_en->__tpi_cp_36___aig_and_200 /0 undetected,input_edge,test_en,__tpi_cp_36___aig_and_200,__tpi_cp_36___aig_and_200,0,undetected,__tpi_cp_36___aig_and_200,__tpi_cp_36___aig_and_200,__tpi_cp_36___aig_and_200,sa0,1
39,test_en->__tpi_cp_54___aig_not_199 /0 undetected,input_edge,test_en,__tpi_cp_54___aig_not_199,__tpi_cp_54___aig_not_199,0,undetected,__tpi_cp_54___aig_not_199,__tpi_cp_54___aig_not_199,__tpi_cp_54___aig_not_199,sa0,1
40,__tpi_not_test_en->__tpi_cp_32___buf_split_183 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_32___buf_split_183,__tpi_cp_32___buf_split_183,1,undetected,__tpi_cp_32___buf_split_183,__tpi_cp_32___buf_split_183,__tpi_cp_32___buf_split_183,sa1,1
41,__tpi_not_test_en->__tpi_cp_42___aig_not_198 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_42___aig_not_198,__tpi_cp_42___aig_not_198,1,undetected,__tpi_cp_42___aig_not_198,__tpi_cp_42___aig_not_198,__tpi_cp_42___aig_not_198,sa1,1
