line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_15___buf_split_259 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_15___buf_split_259,__tpi_cp_15___buf_split_259,1,undetected,__tpi_cp_15___buf_split_259,__tpi_cp_15___buf_split_259,__tpi_cp_15___buf_split_259,sa1,1
2,__tpi_not_test_en->__tpi_cp_17___buf_split_249 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_17___buf_split_249,__tpi_cp_17___buf_split_249,1,undetected,__tpi_cp_17___buf_split_249,__tpi_cp_17___buf_split_249,__tpi_cp_17___buf_split_249,sa1,1
3,__tpi_not_test_en->__tpi_cp_3_n_425 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_3_n_425,__tpi_cp_3_n_425,1,undetected,__tpi_cp_3_n_425,__tpi_cp_3_n_425,__tpi_cp_3_n_425,sa1,1
4,__tpi_not_test_en->__tpi_cp_4___buf_split_260 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_4___buf_split_260,__tpi_cp_4___buf_split_260,1,undetected,__tpi_cp_4___buf_split_260,__tpi_cp_4___buf_split_260,__tpi_cp_4___buf_split_260,sa1,1
5,test_en->__tpi_cp_31___aig_and_329 /0 undetected,input_edge,test_en,__tpi_cp_31___aig_and_329,__tpi_cp_31___aig_and_329,0,undetected,__tpi_cp_31___aig_and_329,__tpi_cp_31___aig_and_329,__tpi_cp_31___aig_and_329,sa0,1
6,__tpi_not_test_en->__tpi_cp_13_n_393 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_13_n_393,__tpi_cp_13_n_393,1,undetected,__tpi_cp_13_n_393,__tpi_cp_13_n_393,__tpi_cp_13_n_393,sa1,1
7,test_en->__tpi_cp_7___aig_and_310 /0 undetected,input_edge,test_en,__tpi_cp_7___aig_and_310,__tpi_cp_7___aig_and_310,0,undetected,__tpi_cp_7___aig_and_310,__tpi_cp_7___aig_and_310,__tpi_cp_7___aig_and_310,sa0,1
8,test_en->__tpi_cp_24___aig_and_309 /0 undetected,input_edge,test_en,__tpi_cp_24___aig_and_309,__tpi_cp_24___aig_and_309,0,undetected,__tpi_cp_24___aig_and_309,__tpi_cp_24___aig_and_309,__tpi_cp_24___aig_and_309,sa0,1
9,__tpi_not_test_en->__tpi_cp_9_n_373 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9_n_373,__tpi_cp_9_n_373,1,undetected,__tpi_cp_9_n_373,__tpi_cp_9_n_373,__tpi_cp_9_n_373,sa1,1
10,__tpi_not_test_en->__tpi_cp_23_n_411 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_23_n_411,__tpi_cp_23_n_411,1,undetected,__tpi_cp_23_n_411,__tpi_cp_23_n_411,__tpi_cp_23_n_411,sa1,1
11,test_en->__tpi_cp_28___aig_and_315 /0 undetected,input_edge,test_en,__tpi_cp_28___aig_and_315,__tpi_cp_28___aig_and_315,0,undetected,__tpi_cp_28___aig_and_315,__tpi_cp_28___aig_and_315,__tpi_cp_28___aig_and_315,sa0,1
12,__buf_split_105 /1 undetected,output,,__buf_split_105,__buf_split_105,1,undetected,__buf_split_105,__buf_split_105,__buf_split_105,sa1,1
13,__buf_split_104 /1 undetected,output,,__buf_split_104,__buf_split_104,1,undetected,__buf_split_104,__buf_split_104,__buf_split_104,sa1,1
14,__tpi_not_test_en->__tpi_cp_22_n_203 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_22_n_203,__tpi_cp_22_n_203,1,undetected,__tpi_cp_22_n_203,__tpi_cp_22_n_203,__tpi_cp_22_n_203,sa1,1
15,test_en->__tpi_cp_25___aig_and_82 /0 undetected,input_edge,test_en,__tpi_cp_25___aig_and_82,__tpi_cp_25___aig_and_82,0,undetected,__tpi_cp_25___aig_and_82,__tpi_cp_25___aig_and_82,__tpi_cp_25___aig_and_82,sa0,1
16,__tpi_not_test_en->__tpi_cp_2___buf_split_70 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_2___buf_split_70,__tpi_cp_2___buf_split_70,1,undetected,__tpi_cp_2___buf_split_70,__tpi_cp_2___buf_split_70,__tpi_cp_2___buf_split_70,sa1,1
17,__tpi_not_test_en->__tpi_cp_19_n_174 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_19_n_174,__tpi_cp_19_n_174,1,undetected,__tpi_cp_19_n_174,__tpi_cp_19_n_174,__tpi_cp_19_n_174,sa1,1
18,__tpi_not_test_en->__tpi_cp_29___buf_split_19 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_29___buf_split_19,__tpi_cp_29___buf_split_19,1,undetected,__tpi_cp_29___buf_split_19,__tpi_cp_29___buf_split_19,__tpi_cp_29___buf_split_19,sa1,1
