node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_105,1,0,1,0,0
__tpi_cp_0___buf_split_214,1,0,0,1,0
__tpi_cp_11___aig_and_177,1,0,0,1,0
__tpi_cp_15___buf_split_259,1,0,0,0,1
__tpi_cp_17___buf_split_249,1,0,0,0,1
__tpi_cp_19_n_174,1,0,0,0,1
__tpi_cp_1___buf_split_73,1,0,0,1,0
__tpi_cp_20___buf_split_31,1,0,0,0,1
__tpi_cp_21___buf_split_30,1,0,0,0,1
__tpi_cp_22_n_203,1,0,0,0,1
__tpi_cp_23_n_411,1,0,0,0,1
__tpi_cp_24___aig_and_309,1,0,0,1,0
__tpi_cp_25___aig_and_82,1,0,0,1,0
__tpi_cp_28___aig_and_315,1,0,0,1,0
__tpi_cp_29___buf_split_19,1,0,0,0,1
__tpi_cp_2___buf_split_70,1,0,0,0,1
__tpi_cp_30___aig_and_141,1,0,0,1,0
__tpi_cp_31___aig_and_329,1,0,0,1,0
__tpi_cp_33___buf_split_27,1,0,0,0,1
__tpi_cp_34_n_122,1,0,0,0,1
__tpi_cp_35___buf_split_26,1,0,0,0,1
__tpi_cp_36___aig_not_61,1,0,0,0,1
__tpi_cp_37___aig_and_324,1,0,0,1,0
__tpi_cp_38_n_399,1,0,0,0,1
__tpi_cp_40_n_386,1,0,0,0,1
__tpi_cp_41___aig_not_143,1,0,0,0,1
__tpi_cp_42___aig_and_306,1,0,0,1,0
__tpi_cp_43_n_360,1,0,0,0,1
__tpi_cp_44___buf_split_72,1,0,0,0,1
__tpi_cp_45___buf_split_253,1,0,0,0,1
__tpi_cp_47___buf_split_71,1,0,0,0,1
__tpi_cp_48___buf_split_102,1,0,0,0,1
__tpi_cp_49___buf_split_251,1,0,0,0,1
__tpi_cp_4___buf_split_260,1,0,0,0,1
__tpi_cp_50_n_171,1,0,0,1,0
__tpi_cp_52___aig_and_290,1,0,0,1,0
__tpi_cp_53_n_199,1,0,0,1,0
__tpi_cp_54___aig_and_291,1,0,0,1,0
__tpi_cp_55___buf_split_17,1,0,0,1,0
__tpi_cp_56___buf_split_15,1,0,0,1,0
__tpi_cp_59___buf_split_11,1,0,0,0,1
__tpi_cp_60___aig_and_328,1,0,0,0,1
__tpi_cp_61___aig_and_83,1,0,0,1,0
__tpi_cp_6___aig_and_286,1,0,0,1,0
__tpi_cp_7___aig_and_310,1,0,0,1,0
__tpi_cp_9_n_373,1,0,0,0,1
