node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_77_new_n559_,3,1,0,2,0
__tpi_cp_78_quotient_15_,2,0,0,2,0
__tpi_cp_83_new_n30208_,2,0,0,0,2
__buf_split_25700,1,1,0,0,0
__buf_split_25870,1,0,1,0,0
__buf_split_25875,1,1,0,0,0
__buf_split_25878,1,0,1,0,0
__buf_split_26100,1,0,1,0,0
__tpi_cp_0___buf_split_384,1,0,0,1,0
__tpi_cp_10_new_n29633_,1,0,0,0,1
__tpi_cp_14_new_n29858_,1,0,0,0,1
__tpi_cp_16_new_n29627_,1,0,0,0,1
__tpi_cp_17_new_n30201_,1,0,0,0,1
__tpi_cp_1___buf_split_375,1,0,0,1,0
__tpi_cp_22_new_n550_,1,0,0,0,1
__tpi_cp_23_new_n30196_,1,0,0,0,1
__tpi_cp_24___buf_split_27184,1,0,0,0,1
__tpi_cp_26_new_n30206_,1,1,0,0,0
__tpi_cp_28_new_n29009_,1,0,0,1,0
__tpi_cp_29___buf_split_25342,1,0,0,1,0
__tpi_cp_2___buf_split_25700,1,0,0,1,0
__tpi_cp_31_new_n29040_,1,0,0,1,0
__tpi_cp_32_new_n556_,1,0,0,1,0
__tpi_cp_33___buf_split_25875,1,0,0,1,0
__tpi_cp_34_new_n29014_,1,0,0,1,0
__tpi_cp_39_new_n29620_,1,0,0,0,1
__tpi_cp_3___buf_split_24710,1,0,0,0,1
__tpi_cp_42_new_n33306_,1,0,0,0,1
__tpi_cp_44_new_n33287_,1,0,0,0,1
__tpi_cp_45___buf_split_28268,1,0,0,0,1
__tpi_cp_47___buf_split_25344,1,0,0,0,1
__tpi_cp_48_new_n329_,1,0,0,0,1
__tpi_cp_49_new_n30203_,1,0,0,1,0
__tpi_cp_51_new_n29649_,1,0,0,0,1
__tpi_cp_52_new_n370_,1,0,0,0,1
__tpi_cp_53_new_n29623_,1,0,0,0,1
__tpi_cp_54_new_n31985_,1,0,0,1,0
__tpi_cp_55_new_n29008_,1,0,0,0,1
__tpi_cp_56_new_n28985_,1,0,0,0,1
__tpi_cp_57_new_n29038_,1,0,0,0,1
__tpi_cp_58_new_n368_,1,0,0,0,1
__tpi_cp_59_new_n33305_,1,0,0,0,1
__tpi_cp_5___buf_split_28250,1,0,0,1,0
__tpi_cp_60_new_n380_,1,0,0,0,1
__tpi_cp_62_new_n33312_,1,0,0,0,1
__tpi_cp_63_new_n379_,1,0,0,0,1
__tpi_cp_64_new_n31987_,1,0,0,0,1
__tpi_cp_65_new_n376_,1,0,0,0,1
__tpi_cp_66_new_n375_,1,0,0,0,1
__tpi_cp_67_new_n29632_,1,0,0,1,0
__tpi_cp_68_new_n29857_,1,0,0,1,0
__tpi_cp_69_new_n29855_,1,0,0,1,0
__tpi_cp_6_new_n33286_,1,0,0,1,0
__tpi_cp_70_new_n30199_,1,0,0,1,0
__tpi_cp_72_new_n29629_,1,0,0,1,0
__tpi_cp_75_new_n29621_,1,0,0,1,0
__tpi_cp_79_new_n558_,1,0,0,1,0
__tpi_cp_7_new_n33302_,1,0,0,1,0
__tpi_cp_8_new_n33304_,1,0,0,1,0
__tpi_cp_9_new_n27832_,1,0,0,1,0
__tpi_op_11___buf_split_25878,1,0,1,0,0
__tpi_op_1___buf_split_26100,1,0,1,0,0
new_n30444_,1,0,1,0,0
new_n30445_,1,0,0,0,1
new_n30700_,1,0,0,0,1
quotient[15],1,1,0,0,0
quotient_15__PO,1,0,0,1,0
