[b15-moe-decay/d64/a0.05] [gmean] 2026-07-21T15:31:40 out_dir=autoresearch/loop-260720-0945/model_training_round8/b15_selection/moe_long_decay/decay_64/alpha_0p05
[b15-moe-decay/d64/a0.05] [gmean] 2026-07-21T15:31:40 budgets=iscas99__b15_1:278
[b15-moe-decay/d64/a0.05] [gmean] 2026-07-21T15:31:40 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-moe-decay/d64/a0.05] [gmean] 2026-07-21T15:31:40 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254944 sequence=8.113009
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.305116
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.751210
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.881503 sequence=12.632713
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.121777
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.032717
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.130658
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.335875 sequence=17.466533
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.024256
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.349833
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.800427
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.055748
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.454417
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.054793
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.904992 sequence=28.959785
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.704828
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.097403
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.095961
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.252657
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.952410
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.288816 sequence=41.241226
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866227 sequence=44.107454
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.491594 sequence=46.599047
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.788706 sequence=48.387753
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.507451 sequence=49.895204
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330602 sequence=51.225806
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.721041 sequence=51.946847
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.783984
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.720148
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.817177 sequence=54.537325
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.296532 sequence=57.833857
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.488515
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=58.846964
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=60.912075
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006384 sequence=63.918459
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.636193
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=38 node=N713 type=observe q_typed_reliable_context=1.566752 sequence=67.202946
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=39 node=N7881 type=control1 q_typed_reliable_context=0.480196 sequence=67.683142
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=40 node=N7882 type=control1 q_typed_reliable_context=0.688931 sequence=68.372072
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=41 node=N7883 type=control1 q_typed_reliable_context=0.369877 sequence=68.741949
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=42 node=N7884 type=control1 q_typed_reliable_context=0.406215 sequence=69.148165
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=43 node=N7885 type=control1 q_typed_reliable_context=0.474367 sequence=69.622532
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_reliable_context=2.688829 sequence=72.311361
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=45 node=N4691 type=control0 q_typed_reliable_context=2.360533 sequence=74.671894
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=46 node=N724 type=observe q_typed_reliable_context=2.492014 sequence=77.163908
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.330836 sequence=78.494744
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=48 node=N4670 type=control0 q_typed_reliable_context=1.351933 sequence=79.846678
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295066 sequence=81.141743
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=50 node=N8470 type=observe q_typed_reliable_context=1.569474 sequence=82.711218
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.919409 sequence=83.630627
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=52 node=N4705 type=control0 q_typed_reliable_context=0.927999 sequence=84.558625
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=53 node=N3904 type=control0 q_typed_reliable_context=0.949067 sequence=85.507692
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.936644 sequence=86.444336
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.930934 sequence=87.375270
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.879555 sequence=88.254824
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.874523 sequence=89.129347
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=58 node=N3701 type=control0 q_typed_reliable_context=0.873026 sequence=90.002373
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=59 node=N5603 type=control0 q_typed_reliable_context=0.895060 sequence=90.897434
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=60 node=N3889 type=control0 q_typed_reliable_context=0.904872 sequence=91.802306
[b15-moe-decay/d64/a0.05] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=0.886569 sequence=92.688875
