[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p20_decay_64
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.259049 sequence=8.117114
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.309220
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.755314
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.919871 sequence=12.675185
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.164249
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.075189
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.173130
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.408305 sequence=17.581435
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.139159
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.464736
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.915329
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.170651
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.569320
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.169696
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=1.044127 sequence=29.213823
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.958866
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=18 node=N3605 type=observe q_typed_reliable_context=1.500247 sequence=32.459113
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=2.415941 sequence=34.875053
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=1.973360 sequence=36.848413
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=3.058090 sequence=39.906503
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=22 node=N1853 type=observe q_typed_reliable_context=1.939109 sequence=41.845612
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=1.936585 sequence=43.782197
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_reliable_context=2.001304 sequence=45.783501
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=25 node=N1532 type=observe q_typed_reliable_context=1.859493 sequence=47.642994
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.169562 sequence=48.812556
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=27 node=N5723 type=control0 q_typed_reliable_context=0.940753 sequence=49.753308
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.784056 sequence=50.537364
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=29 node=N5234 type=observe q_typed_reliable_context=0.926151 sequence=51.463515
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=30 node=N576 type=observe q_typed_reliable_context=1.212310 sequence=52.675825
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.447690 sequence=54.123516
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=2.373866 sequence=56.497382
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=33 node=N4670 type=control0 q_typed_reliable_context=1.758269 sequence=58.255651
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=34 node=N4663 type=control0 q_typed_reliable_context=2.177005 sequence=60.432655
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.306068 sequence=62.738724
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=36 node=N4649 type=control0 q_typed_reliable_context=2.560311 sequence=65.299035
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=37 node=N4635 type=control0 q_typed_reliable_context=1.984755 sequence=67.283790
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=38 node=N7413 type=control1 q_typed_reliable_context=1.115681 sequence=68.399471
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=39 node=N713 type=observe q_typed_reliable_context=2.457321 sequence=70.856792
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=40 node=N4656 type=control0 q_typed_reliable_context=2.964316 sequence=73.821108
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=41 node=N6537 type=observe q_typed_reliable_context=2.640296 sequence=76.461405
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=42 node=N8470 type=observe q_typed_reliable_context=2.013368 sequence=78.474772
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=43 node=N4684 type=control0 q_typed_reliable_context=1.816851 sequence=80.291624
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=1.556565 sequence=81.848189
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=45 node=N3701 type=control0 q_typed_reliable_context=0.958407 sequence=82.806595
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=46 node=N4698 type=control0 q_typed_reliable_context=2.045044 sequence=84.851640
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=47 node=N3785 type=control0 q_typed_reliable_context=0.997709 sequence=85.849349
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=48 node=N3792 type=control0 q_typed_reliable_context=0.905789 sequence=86.755138
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=49 node=N2083 type=observe q_typed_reliable_context=1.263862 sequence=88.019000
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=2.245547 sequence=90.264547
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=51 node=N4712 type=control0 q_typed_reliable_context=2.132922 sequence=92.397469
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=52 node=N2044 type=observe q_typed_reliable_context=1.115093 sequence=93.512562
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=53 node=N2042 type=observe q_typed_reliable_context=1.402676 sequence=94.915237
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=54 node=N7535 type=observe q_typed_reliable_context=1.547103 sequence=96.462340
