[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 out_dir=autoresearch/loop-260720-0945/typed_winner_round1_five/b20_C
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 budgets=iscas99__b20:616
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_pred_context
[typed-five/b20_C] [plan iscas99__b20] [plan] torch_deterministic=true
[typed-five/b20_C] [plan iscas99__b20] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b20_C/exact_candidate_nodes.txt nodes=19175
[typed-five/b20_C] [plan iscas99__b20] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.929140
[typed-five/b20_C] [plan iscas99__b20] [plan] step=1 node=N10242 type=control1 q_pred_context=8.477838 sequence=8.477838
[typed-five/b20_C] [plan iscas99__b20] [plan] step=2 node=N1665 type=control1 q_pred_context=4.292615 sequence=12.770452
[typed-five/b20_C] [plan iscas99__b20] [plan] step=3 node=N4181 type=observe q_pred_context=6.718582 sequence=19.489035
[typed-five/b20_C] [plan iscas99__b20] [plan] step=4 node=N1710 type=observe q_pred_context=6.075928 sequence=25.564963
[typed-five/b20_C] [plan iscas99__b20] [plan] step=5 node=N3333 type=control0 q_pred_context=4.297295 sequence=29.862257
[typed-five/b20_C] [plan iscas99__b20] [plan] step=6 node=N1911 type=control0 q_pred_context=7.522610 sequence=37.384867
[typed-five/b20_C] [plan iscas99__b20] [plan] step=7 node=N4802 type=observe q_pred_context=4.848928 sequence=42.233795
[typed-five/b20_C] [plan iscas99__b20] [plan] step=8 node=N4577 type=observe q_pred_context=2.258825 sequence=44.492620
[typed-five/b20_C] [plan iscas99__b20] [plan] step=9 node=N4581 type=observe q_pred_context=2.281617 sequence=46.774237
[typed-five/b20_C] [plan iscas99__b20] [plan] step=10 node=N4146 type=observe q_pred_context=2.040070 sequence=48.814307
[typed-five/b20_C] [plan iscas99__b20] [plan] step=11 node=N4145 type=control0 q_pred_context=1.525779 sequence=50.340086
[typed-five/b20_C] [plan iscas99__b20] [plan] step=12 node=N4613 type=control1 q_pred_context=2.260131 sequence=52.600217
[typed-five/b20_C] [plan iscas99__b20] [plan] step=13 node=N3995 type=control0 q_pred_context=2.472195 sequence=55.072412
[typed-five/b20_C] [plan iscas99__b20] [plan] step=14 node=N3408 type=control0 q_pred_context=3.786683 sequence=58.859095
[typed-five/b20_C] [plan iscas99__b20] [plan] step=15 node=N1662 type=control1 q_pred_context=2.960940 sequence=61.820035
[typed-five/b20_C] [plan iscas99__b20] [plan] step=16 node=N4139 type=observe q_pred_context=2.644773 sequence=64.464809
[typed-five/b20_C] [plan iscas99__b20] [plan] step=17 node=N4144 type=observe q_pred_context=1.913568 sequence=66.378377
[typed-five/b20_C] [plan iscas99__b20] [plan] step=18 node=N4141 type=observe q_pred_context=2.168012 sequence=68.546389
[typed-five/b20_C] [plan iscas99__b20] [plan] step=19 node=N4583 type=observe q_pred_context=1.894660 sequence=70.441049
[typed-five/b20_C] [plan iscas99__b20] [plan] step=20 node=N4557 type=observe q_pred_context=2.297908 sequence=72.738957
[typed-five/b20_C] [plan iscas99__b20] [plan] step=21 node=N4136 type=observe q_pred_context=2.893670 sequence=75.632627
[typed-five/b20_C] [plan iscas99__b20] [plan] step=22 node=N4561 type=observe q_pred_context=2.279822 sequence=77.912449
[typed-five/b20_C] [plan iscas99__b20] [plan] step=23 node=N4134 type=observe q_pred_context=2.357819 sequence=80.270268
[typed-five/b20_C] [plan iscas99__b20] [plan] step=24 node=N4138 type=observe q_pred_context=2.192674 sequence=82.462942
[typed-five/b20_C] [plan iscas99__b20] [plan] step=25 node=N4142 type=observe q_pred_context=1.975596 sequence=84.438538
[typed-five/b20_C] [plan iscas99__b20] [plan] step=26 node=N4587 type=observe q_pred_context=2.318238 sequence=86.756776
[typed-five/b20_C] [plan iscas99__b20] [plan] step=27 node=N4133 type=observe q_pred_context=2.293055 sequence=89.049831
[typed-five/b20_C] [plan iscas99__b20] [plan] step=28 node=N4147 type=observe q_pred_context=2.403508 sequence=91.453339
[typed-five/b20_C] [plan iscas99__b20] [plan] step=29 node=N4140 type=control0 q_pred_context=4.218603 sequence=95.671942
[typed-five/b20_C] [plan iscas99__b20] [plan] step=30 node=N4160 type=observe q_pred_context=6.476915 sequence=102.148857
[typed-five/b20_C] [plan iscas99__b20] [plan] step=31 node=N4161 type=observe q_pred_context=8.250116 sequence=110.398972
[typed-five/b20_C] [plan iscas99__b20] [plan] step=32 node=N4162 type=observe q_pred_context=8.406471 sequence=118.805443
[typed-five/b20_C] [plan iscas99__b20] [plan] step=33 node=N4135 type=observe q_pred_context=2.943223 sequence=121.748667
[typed-five/b20_C] [plan iscas99__b20] [plan] step=34 node=N4148 type=observe q_pred_context=2.772641 sequence=124.521308
[typed-five/b20_C] [plan iscas99__b20] [plan] step=35 node=N4166 type=observe q_pred_context=3.708178 sequence=128.229486
[typed-five/b20_C] [plan iscas99__b20] [plan] step=36 node=N2682 type=control0 q_pred_context=1.499427 sequence=129.728913
[typed-five/b20_C] [plan iscas99__b20] [plan] step=37 node=N4170 type=observe q_pred_context=1.443186 sequence=131.172099
[typed-five/b20_C] [plan iscas99__b20] [plan] step=38 node=N4175 type=observe q_pred_context=1.140789 sequence=132.312888
[typed-five/b20_C] [plan iscas99__b20] [plan] step=39 node=N4172 type=observe q_pred_context=1.553507 sequence=133.866395
[typed-five/b20_C] [plan iscas99__b20] [plan] step=40 node=N4173 type=observe q_pred_context=1.330673 sequence=135.197068
[typed-five/b20_C] [plan iscas99__b20] [plan] step=41 node=N4174 type=observe q_pred_context=1.899962 sequence=137.097030
[typed-five/b20_C] [plan iscas99__b20] [plan] step=42 node=N4176 type=observe q_pred_context=2.140005 sequence=139.237035
[typed-five/b20_C] [plan iscas99__b20] [plan] step=43 node=N4137 type=control0 q_pred_context=3.706545 sequence=142.943580
[typed-five/b20_C] [plan iscas99__b20] [plan] step=44 node=N4178 type=observe q_pred_context=1.740628 sequence=144.684208
[typed-five/b20_C] [plan iscas99__b20] [plan] step=45 node=N4169 type=observe q_pred_context=1.439254 sequence=146.123462
[typed-five/b20_C] [plan iscas99__b20] [plan] step=46 node=N4177 type=observe q_pred_context=2.274924 sequence=148.398386
[typed-five/b20_C] [plan iscas99__b20] [plan] step=47 node=N4180 type=observe q_pred_context=2.593401 sequence=150.991787
[typed-five/b20_C] [plan iscas99__b20] [plan] step=48 node=N4574 type=observe q_pred_context=3.773448 sequence=154.765235
[typed-five/b20_C] [plan iscas99__b20] [plan] step=49 node=N4575 type=observe q_pred_context=3.323120 sequence=158.088355
[typed-five/b20_C] [plan iscas99__b20] [plan] step=50 node=N4179 type=observe q_pred_context=3.976013 sequence=162.064368
[typed-five/b20_C] [plan iscas99__b20] [plan] step=51 node=N4579 type=observe q_pred_context=3.870489 sequence=165.934857
[typed-five/b20_C] [plan iscas99__b20] [plan] step=52 node=N4576 type=observe q_pred_context=4.113342 sequence=170.048199
[typed-five/b20_C] [plan iscas99__b20] [plan] step=53 node=N4582 type=observe q_pred_context=3.622362 sequence=173.670561
[typed-five/b20_C] [plan iscas99__b20] [plan] step=54 node=N4578 type=observe q_pred_context=2.297172 sequence=175.967733
[typed-five/b20_C] [plan iscas99__b20] [plan] step=55 node=N4580 type=observe q_pred_context=2.563949 sequence=178.531682
[typed-five/b20_C] [plan iscas99__b20] [plan] step=56 node=N4584 type=observe q_pred_context=2.316002 sequence=180.847684
[typed-five/b20_C] [plan iscas99__b20] [plan] step=57 node=N3403 type=observe q_pred_context=8.021344 sequence=188.869027
[typed-five/b20_C] [plan iscas99__b20] [plan] step=58 node=N3406 type=observe q_pred_context=8.445781 sequence=197.314808
[typed-five/b20_C] [plan iscas99__b20] [plan] step=59 node=N3397 type=observe q_pred_context=8.301012 sequence=205.615820
[typed-five/b20_C] [plan iscas99__b20] [plan] step=60 node=N3400 type=observe q_pred_context=8.359024 sequence=213.974845
[typed-five/b20_C] [plan iscas99__b20] [plan] step=61 node=N3394 type=observe q_pred_context=8.264600 sequence=222.239445
[typed-five/b20_C] [plan iscas99__b20] [plan] step=62 node=N4585 type=observe q_pred_context=5.610549 sequence=227.849994
[typed-five/b20_C] [plan iscas99__b20] [plan] step=63 node=N4586 type=observe q_pred_context=4.030669 sequence=231.880663
[typed-five/b20_C] [plan iscas99__b20] [plan] step=64 node=N3997 type=observe q_pred_context=6.006472 sequence=237.887135
[typed-five/b20_C] [plan iscas99__b20] [plan] step=65 node=N3485 type=control0 q_pred_context=2.053097 sequence=239.940232
[typed-five/b20_C] [plan iscas99__b20] [plan] step=66 node=N1910 type=control0 q_pred_context=1.238053 sequence=241.178284
