node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
N18381,3,1,1,0,1
N24046,3,1,1,0,1
N12713,2,0,1,0,1
N12723,2,0,1,0,1
N12753,2,0,1,0,1
N12773,2,0,1,0,1
N12825,2,1,1,0,0
N12960,2,1,1,0,0
N12967,2,1,1,0,0
N12969,2,1,1,0,0
N12973,2,1,1,0,0
N12975,2,1,1,0,0
N12979,2,1,1,0,0
N12981,2,1,1,0,0
N12983,2,1,1,0,0
N14397,2,0,1,0,1
N14399,2,0,1,0,1
N14401,2,0,1,0,1
N14403,2,0,1,0,1
N18286,2,1,1,0,0
N18288,2,1,1,0,0
N18295,2,1,1,0,0
N18297,2,1,1,0,0
N18384,2,1,1,0,0
N19271,2,1,1,0,0
N19278,2,1,1,0,0
N19280,2,1,1,0,0
N19282,2,1,1,0,0
N19284,2,1,1,0,0
N19286,2,1,1,0,0
N19290,2,1,1,0,0
N19292,2,1,1,0,0
N19294,2,1,1,0,0
N1995,2,0,1,0,1
N23885,2,1,1,0,0
N23961,2,1,1,0,0
N23965,2,1,1,0,0
N24044,2,1,1,0,0
N24045,2,1,1,0,0
N24092,2,1,1,0,0
N24118,2,0,1,0,1
N24121,2,0,1,0,1
N24129,2,0,1,0,1
N24134,2,0,1,0,1
N24136,2,0,1,0,1
N24161,2,1,1,0,0
N24163,2,1,1,0,0
N30498,2,0,1,0,1
N30507,2,0,1,0,1
N30652,2,0,1,0,1
N30656,2,0,1,0,1
N31353,2,0,1,0,1
N31355,2,0,1,0,1
N31357,2,0,1,0,1
N31362,2,0,1,0,1
N31364,2,0,1,0,1
N31366,2,0,1,0,1
N31527,2,0,1,0,1
N31531,2,0,1,0,1
N31532,2,0,1,0,1
N31534,2,0,1,0,1
N31538,2,0,1,0,1
N31540,2,0,1,0,1
N31542,2,0,1,0,1
N31543,2,0,1,0,1
N32302,2,0,1,0,1
N32306,2,0,1,0,1
N32314,2,0,1,0,1
N32411,2,0,1,0,1
N32728,2,0,1,0,1
N32754,2,0,1,0,1
N32766,2,0,1,0,1
N32778,2,0,1,0,1
N32790,2,0,1,0,1
N32802,2,0,1,0,1
N32813,2,0,1,0,1
N32825,2,0,1,0,1
N32836,2,0,1,0,1
N32847,2,0,1,0,1
N32858,2,0,1,0,1
N32869,2,0,1,0,1
N32879,2,0,1,0,1
N32889,2,0,1,0,1
N32899,2,0,1,0,1
N32914,2,0,1,0,1
N33487,2,0,1,0,1
N33532,2,0,1,0,1
N33553,2,0,1,0,1
N33555,2,0,1,0,1
N33560,2,0,1,0,1
N33563,2,0,1,0,1
N33570,2,0,1,0,1
N34017,2,0,1,0,1
N34025,2,0,1,0,1
N4991,2,0,1,0,1
N4993,2,0,1,0,1
N4994,2,0,1,0,1
N4997,2,0,1,0,1
N4998,2,0,1,0,1
N4999,2,0,1,0,1
N5218,2,0,1,0,1
N5221,2,0,1,0,1
N7692,2,1,1,0,0
N8090,2,1,1,0,0
N8141,2,0,1,0,1
N8143,2,0,1,0,1
N8144,2,0,1,0,1
N8147,2,0,1,0,1
N8150,2,0,1,0,1
__tpi_cp_112_N13020,2,0,1,0,1
__tpi_cp_115_N18523,2,0,1,0,1
__tpi_cp_118_N13007,2,1,0,1,0
__tpi_cp_121_N13003,2,1,0,1,0
__tpi_cp_124_N18518,2,0,1,0,1
__tpi_cp_129_N18520,2,0,1,0,1
__tpi_cp_135_N19310,2,1,0,1,0
__tpi_cp_137_N12990,2,1,0,1,0
