node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
N15497,2,0,1,0,1
N20305,2,1,1,0,0
N20307,2,1,1,0,0
N20309,2,1,1,0,0
N20311,2,1,1,0,0
N20315,2,1,1,0,0
N20317,2,1,1,0,0
N22383,2,1,1,0,0
N22436,2,1,1,0,0
N22586,2,1,1,0,0
N23367,2,1,1,0,0
N23369,2,1,1,0,0
N23371,2,1,1,0,0
N23373,2,1,1,0,0
N23375,2,1,1,0,0
N23379,2,1,1,0,0
N23381,2,1,1,0,0
N23383,2,1,1,0,0
N26026,2,1,1,0,0
N26028,2,1,1,0,0
N26030,2,1,1,0,0
N26032,2,1,1,0,0
N26034,2,1,1,0,0
N26036,2,1,1,0,0
N26038,2,1,1,0,0
N26040,2,1,1,0,0
N26042,2,1,1,0,0
N26044,2,1,1,0,0
N26046,2,1,1,0,0
N26048,2,1,1,0,0
N26050,2,1,1,0,0
N26053,2,1,1,0,0
N26055,2,1,1,0,0
N26093,2,1,1,0,0
N27818,2,1,1,0,0
N27820,2,1,1,0,0
N27822,2,1,1,0,0
N27824,2,1,1,0,0
N27828,2,1,1,0,0
N27830,2,1,1,0,0
N27832,2,1,1,0,0
N29697,2,1,1,0,0
N29701,2,1,1,0,0
N30099,2,1,1,0,0
N33733,2,0,1,0,1
N33861,2,0,1,0,1
N35562,2,0,1,0,1
N35575,2,0,1,0,1
N35578,2,0,1,0,1
N35854,2,0,1,0,1
N36352,2,0,1,0,1
N3778,2,0,1,0,1
__tpi_cp_100_N26516,2,1,0,1,0
__tpi_cp_103_N27346,2,1,0,1,0
__tpi_cp_105_N18711,2,0,1,0,1
__tpi_cp_114_N12424,2,0,1,0,1
__tpi_cp_120_N18699,2,0,1,0,1
__tpi_cp_125_N12401,2,0,1,0,1
__tpi_cp_127_N12433,2,0,1,0,1
__tpi_cp_135_N27350,2,1,0,1,0
__tpi_cp_137_N27352,2,1,0,1,0
__tpi_cp_138_N27356,2,1,0,1,0
__tpi_cp_139_N26511,2,1,0,1,0
__tpi_cp_140_N26514,2,1,0,1,0
__tpi_cp_141_N26512,2,1,0,1,0
__tpi_cp_144_N27358,2,1,0,1,0
__tpi_cp_148_N13615,2,0,1,0,1
__tpi_cp_149_N12739,2,0,1,0,1
__tpi_cp_150_N19450,2,0,1,0,1
__tpi_cp_159_N31078,2,1,0,1,0
__tpi_cp_15_N19193,2,0,1,0,1
__tpi_cp_161_N12740,2,0,1,0,1
__tpi_cp_162_N31079,2,1,0,1,0
__tpi_cp_166_N31080,2,1,0,1,0
__tpi_cp_167_N31081,2,1,0,1,0
__tpi_cp_16_N19195,2,0,1,0,1
__tpi_cp_178_N31082,2,1,0,1,0
__tpi_cp_179_N12216,2,0,1,0,1
__tpi_cp_182_N31083,2,1,0,1,0
__tpi_cp_186_N7151,2,0,1,0,1
__tpi_cp_188_N7218,2,0,1,0,1
__tpi_cp_196_N31084,2,1,0,1,0
__tpi_cp_201_N13617,2,0,1,0,1
__tpi_cp_202_N27365,2,1,0,1,0
__tpi_cp_236_N29498,2,0,1,1,0
__tpi_cp_241_N29371,2,0,1,0,1
__tpi_cp_242_N30930,2,0,1,0,1
__tpi_cp_243_N30931,2,0,1,0,1
__tpi_cp_245_N30932,2,0,1,0,1
__tpi_cp_247_N29573,2,1,0,1,0
__tpi_cp_249_N30933,2,0,1,0,1
__tpi_cp_27_N18879,2,0,1,0,1
__tpi_cp_300_N27507,2,0,1,0,1
__tpi_cp_309_N26642,2,0,1,0,1
__tpi_cp_30_N15365,2,0,1,1,0
__tpi_cp_310_N26644,2,0,1,0,1
__tpi_cp_318_N27500,2,0,1,0,1
__tpi_cp_332_N26640,2,0,1,0,1
__tpi_cp_336_N31053,2,0,1,0,1
__tpi_cp_337_N29527,2,0,1,0,1
__tpi_cp_33_N14731,2,0,1,1,0
__tpi_cp_342_N27505,2,0,1,0,1
__tpi_cp_343_N26639,2,0,1,0,1
__tpi_cp_352_N27502,2,0,1,0,1
__tpi_cp_353_N27490,2,0,1,0,1
__tpi_cp_354_N27498,2,0,1,0,1
__tpi_cp_359_N26261,2,0,1,0,1
__tpi_cp_361_N26678,2,0,1,0,1
__tpi_cp_362_N26275,2,0,1,0,1
__tpi_cp_363_N26266,2,0,1,0,1
__tpi_cp_368_N26057,2,0,1,0,1
__tpi_cp_369_N26060,2,0,1,0,1
__tpi_cp_376_N28807,2,0,1,0,1
__tpi_cp_387_N27488,2,0,1,0,1
__tpi_cp_388_N26652,2,0,1,0,1
__tpi_cp_389_N26650,2,0,1,0,1
__tpi_cp_390_N26648,2,0,1,0,1
__tpi_cp_39_N12794,2,0,1,0,1
__tpi_cp_42_N12803,2,0,1,0,1
__tpi_cp_43_N12806,2,0,1,0,1
__tpi_cp_44_N12809,2,0,1,0,1
__tpi_cp_45_N12812,2,0,1,0,1
__tpi_cp_54_N29355,2,1,0,1,0
__tpi_cp_56_N27363,2,1,0,1,0
__tpi_cp_58_N19206,2,0,1,0,1
__tpi_cp_61_N26503,2,1,0,1,0
__tpi_cp_6_N13662,2,0,1,0,1
__tpi_cp_73_N13459,2,0,1,0,1
__tpi_cp_76_N6988,2,0,1,0,1
__tpi_cp_79_N19464,2,0,1,0,1
__tpi_cp_82_N19462,2,0,1,0,1
__tpi_cp_87_N26506,2,1,0,1,0
__tpi_cp_97_N27347,2,1,0,1,0
__tpi_cp_99_N27348,2,1,0,1,0
N11914,1,0,1,0,0
N11923,1,0,1,0,0
N11932,1,0,1,0,0
N11941,1,0,1,0,0
N11950,1,0,1,0,0
N11952,1,0,1,0,0
N11959,1,0,1,0,0
N11967,1,0,1,0,0
N11975,1,0,1,0,0
N11983,1,0,1,0,0
N12015,1,0,1,0,0
N12038,1,0,1,0,0
N12039,1,0,1,0,0
N12055,1,0,1,0,0
N12070,1,0,1,0,0
N12071,1,0,1,0,0
N12095,1,0,1,0,0
N12103,1,0,1,0,0
N12111,1,0,1,0,0
N12119,1,0,1,0,0
N12135,1,0,1,0,0
N12143,1,0,1,0,0
N12158,1,0,1,0,0
N12159,1,0,1,0,0
N12162,1,0,1,0,0
N12166,1,0,1,0,0
N12212,1,0,1,0,0
N12213,1,0,1,0,0
N12215,1,0,1,0,0
N12216,1,0,1,0,0
N12217,1,0,1,0,0
N12222,1,0,1,0,0
