[typed-five-r2/b21_C] [gmean] 2026-07-20T19:28:59 out_dir=autoresearch/loop-260720-0945/typed_winner_round2_five/b21_C
[typed-five-r2/b21_C] [gmean] 2026-07-20T19:28:59 budgets=iscas99__b21:628
[typed-five-r2/b21_C] [gmean] 2026-07-20T19:28:59 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r2/b21_C] [gmean] 2026-07-20T19:28:59 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=q_typed_residual_context
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] torch_deterministic=true
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b21_C/exact_candidate_nodes.txt nodes=19520
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.923500
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=1 node=N12793 type=observe q_typed_residual_context=2.615546 sequence=2.615546
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=2 node=N1674 type=control1 q_typed_residual_context=4.230591 sequence=6.846137
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=3 node=N4167 type=control0 q_typed_residual_context=2.615292 sequence=9.461429
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=4 node=N4025 type=control0 q_typed_residual_context=2.390313 sequence=11.851742
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=5 node=N905 type=observe q_typed_residual_context=1.403184 sequence=13.254926
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=6 node=N3444 type=control0 q_typed_residual_context=1.566463 sequence=14.821389
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=7 node=N3447 type=control0 q_typed_residual_context=1.616392 sequence=16.437781
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=8 node=N2715 type=control0 q_typed_residual_context=1.767798 sequence=18.205578
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=9 node=N4039 type=control0 q_typed_residual_context=2.118295 sequence=20.323873
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=10 node=N4041 type=control0 q_typed_residual_context=4.013610 sequence=24.337483
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=11 node=N4045 type=control0 q_typed_residual_context=3.779238 sequence=28.116721
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=12 node=N3453 type=control0 q_typed_residual_context=3.437385 sequence=31.554106
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=13 node=N4043 type=control0 q_typed_residual_context=2.679681 sequence=34.233787
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=14 node=N1442 type=observe q_typed_residual_context=2.118795 sequence=36.352582
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=15 node=N4245 type=observe q_typed_residual_context=1.765711 sequence=38.118293
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=16 node=N4193 type=observe q_typed_residual_context=1.788307 sequence=39.906600
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=17 node=N4199 type=observe q_typed_residual_context=1.852881 sequence=41.759481
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=18 node=N4197 type=observe q_typed_residual_context=1.841718 sequence=43.601198
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=19 node=N4165 type=observe q_typed_residual_context=1.648736 sequence=45.249934
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=20 node=N4212 type=observe q_typed_residual_context=1.857424 sequence=47.107358
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=21 node=N4047 type=control0 q_typed_residual_context=1.119901 sequence=48.227259
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=22 node=N4049 type=control0 q_typed_residual_context=1.334441 sequence=49.561700
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=23 node=N4009 type=control0 q_typed_residual_context=1.579119 sequence=51.140820
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=24 node=N1680 type=control1 q_typed_residual_context=1.611282 sequence=52.752101
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=25 node=N960 type=observe q_typed_residual_context=2.315640 sequence=55.067741
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=26 node=N4664 type=observe q_typed_residual_context=1.086907 sequence=56.154648
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=27 node=N4159 type=observe q_typed_residual_context=1.178715 sequence=57.333363
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=28 node=N4175 type=control0 q_typed_residual_context=1.340283 sequence=58.673646
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=29 node=N4162 type=observe q_typed_residual_context=0.948589 sequence=59.622235
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=30 node=N4163 type=observe q_typed_residual_context=0.892373 sequence=60.514608
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=31 node=N4174 type=control0 q_typed_residual_context=0.907902 sequence=61.422510
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=32 node=N4194 type=observe q_typed_residual_context=1.228254 sequence=62.650764
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=33 node=N4228 type=observe q_typed_residual_context=0.836981 sequence=63.487745
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=34 node=N4195 type=observe q_typed_residual_context=0.944389 sequence=64.432134
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=35 node=N4168 type=observe q_typed_residual_context=0.868789 sequence=65.300923
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=36 node=N4683 type=control0 q_typed_residual_context=1.831696 sequence=67.132619
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=37 node=N4169 type=observe q_typed_residual_context=1.153487 sequence=68.286106
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=38 node=N4198 type=observe q_typed_residual_context=1.458523 sequence=69.744629
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=39 node=N4171 type=observe q_typed_residual_context=0.902497 sequence=70.647126
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=40 node=N4178 type=observe q_typed_residual_context=0.892456 sequence=71.539582
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=41 node=N4172 type=observe q_typed_residual_context=0.915585 sequence=72.455167
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=42 node=N3550 type=control0 q_typed_residual_context=1.399652 sequence=73.854819
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=43 node=N4205 type=observe q_typed_residual_context=1.038489 sequence=74.893308
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=44 node=N4202 type=observe q_typed_residual_context=1.546042 sequence=76.439350
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=45 node=N4203 type=observe q_typed_residual_context=0.935982 sequence=77.375333
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=46 node=N4166 type=observe q_typed_residual_context=0.842964 sequence=78.218296
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=47 node=N4176 type=observe q_typed_residual_context=0.824142 sequence=79.042438
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=48 node=N1942 type=control0 q_typed_residual_context=0.911174 sequence=79.953612
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=49 node=N4206 type=observe q_typed_residual_context=0.945077 sequence=80.898689
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=50 node=N4667 type=observe q_typed_residual_context=0.962891 sequence=81.861580
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=51 node=N4161 type=observe q_typed_residual_context=0.904165 sequence=82.765745
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=52 node=N4208 type=observe q_typed_residual_context=0.930982 sequence=83.696727
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=53 node=N4209 type=observe q_typed_residual_context=0.908493 sequence=84.605219
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=54 node=N4210 type=observe q_typed_residual_context=0.849070 sequence=85.454290
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=55 node=N4225 type=observe q_typed_residual_context=0.873192 sequence=86.327482
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=56 node=N4227 type=observe q_typed_residual_context=0.866625 sequence=87.194107
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=57 node=N4229 type=observe q_typed_residual_context=0.851620 sequence=88.045727
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=58 node=N4164 type=observe q_typed_residual_context=1.168735 sequence=89.214462
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=59 node=N4230 type=observe q_typed_residual_context=0.995327 sequence=90.209789
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=60 node=N4207 type=observe q_typed_residual_context=0.770794 sequence=90.980583
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=61 node=N4240 type=observe q_typed_residual_context=0.845521 sequence=91.826104
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=62 node=N4177 type=control0 q_typed_residual_context=0.928793 sequence=92.754897
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=63 node=N4173 type=control0 q_typed_residual_context=1.158466 sequence=93.913363
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=64 node=N4170 type=control0 q_typed_residual_context=1.635422 sequence=95.548784
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=65 node=N1249 type=control0 q_typed_residual_context=3.503593 sequence=99.052377
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=66 node=N4233 type=observe q_typed_residual_context=4.335076 sequence=103.387453
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=67 node=N4232 type=observe q_typed_residual_context=3.642653 sequence=107.030106
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=68 node=N4237 type=observe q_typed_residual_context=3.141839 sequence=110.171945
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=69 node=N4200 type=observe q_typed_residual_context=1.510078 sequence=111.682024
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=70 node=N4234 type=observe q_typed_residual_context=0.811768 sequence=112.493791
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=71 node=N4239 type=observe q_typed_residual_context=0.880097 sequence=113.373889
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=72 node=N4213 type=observe q_typed_residual_context=1.217953 sequence=114.591842
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=73 node=N4243 type=observe q_typed_residual_context=1.265313 sequence=115.857155
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=74 node=N4945 type=control1 q_typed_residual_context=0.996652 sequence=116.853807
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=75 node=N4244 type=observe q_typed_residual_context=1.357984 sequence=118.211791
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=76 node=N4943 type=control1 q_typed_residual_context=1.323053 sequence=119.534843
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=77 node=N4941 type=control1 q_typed_residual_context=1.211782 sequence=120.746625
[typed-five-r2/b21_C] [plan iscas99__b21] [plan] step=78 node=N15820 type=control1 q_typed_residual_context=1.551105 sequence=122.297730
