[typed-five-r3/b22_C] [gmean] 2026-07-21T11:09:27 out_dir=autoresearch/loop-260720-0945/typed_winner_round6_adaptive_five/b22_C
[typed-five-r3/b22_C] [gmean] 2026-07-21T11:09:27 budgets=iscas99__b22:915
[typed-five-r3/b22_C] [gmean] 2026-07-21T11:09:27 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b22_C] [gmean] 2026-07-21T11:09:27 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_typed_reliable_context
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] torch_deterministic=true
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b22_C/exact_candidate_nodes.txt nodes=28412
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.953114
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=1 node=N1180 type=control1 q_typed_reliable_context=2.740055 sequence=2.740055
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=2 node=N2076 type=observe q_typed_reliable_context=2.020780 sequence=4.760835
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=3 node=N2080 type=observe q_typed_reliable_context=2.392686 sequence=7.153521
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=4 node=N2075 type=observe q_typed_reliable_context=1.969061 sequence=9.122582
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=5 node=N2078 type=observe q_typed_reliable_context=1.645571 sequence=10.768153
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=6 node=N2079 type=observe q_typed_reliable_context=1.472112 sequence=12.240265
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=7 node=N2081 type=observe q_typed_reliable_context=1.562866 sequence=13.803131
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=8 node=N2077 type=observe q_typed_reliable_context=1.228048 sequence=15.031179
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=9 node=N3861 type=control0 q_typed_reliable_context=0.772744 sequence=15.803922
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=10 node=N5343 type=control0 q_typed_reliable_context=0.926517 sequence=16.730439
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=11 node=N3076 type=control0 q_typed_reliable_context=1.189842 sequence=17.920281
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=12 node=N6279 type=control0 q_typed_reliable_context=1.278896 sequence=19.199177
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=13 node=N3865 type=control0 q_typed_reliable_context=1.259049 sequence=20.458226
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=14 node=N4430 type=control0 q_typed_reliable_context=1.600865 sequence=22.059091
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=15 node=N3910 type=control1 q_typed_reliable_context=1.072240 sequence=23.131331
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=16 node=N3898 type=control0 q_typed_reliable_context=1.310352 sequence=24.441683
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=17 node=N3894 type=control0 q_typed_reliable_context=1.677624 sequence=26.119307
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=18 node=N1253 type=observe q_typed_reliable_context=1.541905 sequence=27.661212
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=19 node=N3819 type=control0 q_typed_reliable_context=1.650927 sequence=29.312138
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=20 node=N3890 type=control0 q_typed_reliable_context=1.233053 sequence=30.545191
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=21 node=N3886 type=control0 q_typed_reliable_context=1.181814 sequence=31.727005
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=22 node=N3715 type=control0 q_typed_reliable_context=1.351491 sequence=33.078496
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=23 node=N2092 type=observe q_typed_reliable_context=1.117653 sequence=34.196149
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=24 node=N3849 type=control0 q_typed_reliable_context=1.258062 sequence=35.454211
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=25 node=N3853 type=control0 q_typed_reliable_context=1.154347 sequence=36.608558
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=26 node=N3736 type=control0 q_typed_reliable_context=1.155635 sequence=37.764194
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=27 node=N3739 type=control0 q_typed_reliable_context=1.165245 sequence=38.929439
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=28 node=N7064 type=control0 q_typed_reliable_context=1.010684 sequence=39.940123
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=29 node=N1169 type=observe q_typed_reliable_context=0.945090 sequence=40.885213
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=30 node=N2104 type=observe q_typed_reliable_context=0.891611 sequence=41.776824
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=31 node=N6887 type=control0 q_typed_reliable_context=1.243190 sequence=43.020014
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=32 node=N6907 type=control0 q_typed_reliable_context=1.254399 sequence=44.274413
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=33 node=N7010 type=control0 q_typed_reliable_context=1.585931 sequence=45.860344
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=34 node=N7022 type=control0 q_typed_reliable_context=1.112083 sequence=46.972427
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=35 node=N7025 type=control0 q_typed_reliable_context=1.288154 sequence=48.260581
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=36 node=N7028 type=control0 q_typed_reliable_context=1.361479 sequence=49.622060
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=37 node=N6964 type=control0 q_typed_reliable_context=1.451973 sequence=51.074033
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=38 node=N6967 type=control0 q_typed_reliable_context=1.629281 sequence=52.703314
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=39 node=N7031 type=control0 q_typed_reliable_context=1.251024 sequence=53.954338
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=40 node=N7034 type=control0 q_typed_reliable_context=1.368850 sequence=55.323188
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=41 node=N2103 type=control1 q_typed_reliable_context=1.870185 sequence=57.193373
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=42 node=N7037 type=control0 q_typed_reliable_context=3.569596 sequence=60.762968
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=43 node=N6885 type=control0 q_typed_reliable_context=2.255427 sequence=63.018396
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=44 node=N7040 type=control0 q_typed_reliable_context=1.657380 sequence=64.675776
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=45 node=N7046 type=control0 q_typed_reliable_context=1.096586 sequence=65.772361
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=46 node=N1254 type=observe q_typed_reliable_context=2.270310 sequence=68.042671
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=47 node=N7043 type=control0 q_typed_reliable_context=4.859862 sequence=72.902533
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=48 node=N7055 type=control0 q_typed_reliable_context=3.604292 sequence=76.506825
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=49 node=N4542 type=control0 q_typed_reliable_context=1.792172 sequence=78.298997
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=50 node=N5219 type=control1 q_typed_reliable_context=2.474069 sequence=80.773066
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=51 node=N7049 type=control0 q_typed_reliable_context=2.064062 sequence=82.837128
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=52 node=N1252 type=observe q_typed_reliable_context=0.999756 sequence=83.836884
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=53 node=N5271 type=observe q_typed_reliable_context=0.824915 sequence=84.661799
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=54 node=N6973 type=control0 q_typed_reliable_context=2.174217 sequence=86.836016
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=55 node=N6970 type=control0 q_typed_reliable_context=1.585258 sequence=88.421274
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=56 node=N6979 type=control0 q_typed_reliable_context=2.381122 sequence=90.802396
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=57 node=N7051 type=control0 q_typed_reliable_context=1.886508 sequence=92.688905
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=58 node=N7019 type=control0 q_typed_reliable_context=2.987725 sequence=95.676629
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=59 node=N2100 type=observe q_typed_reliable_context=2.151494 sequence=97.828123
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=60 node=N4540 type=observe q_typed_reliable_context=1.273202 sequence=99.101325
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=61 node=N2101 type=observe q_typed_reliable_context=1.306226 sequence=100.407551
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=62 node=N3822 type=control0 q_typed_reliable_context=1.340403 sequence=101.747955
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=63 node=N3718 type=control0 q_typed_reliable_context=1.445285 sequence=103.193240
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=64 node=N7123 type=control0 q_typed_reliable_context=1.046374 sequence=104.239614
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=65 node=N7119 type=control0 q_typed_reliable_context=0.831004 sequence=105.070618
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=66 node=N5540 type=observe q_typed_reliable_context=0.884677 sequence=105.955295
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=67 node=N6990 type=observe q_typed_reliable_context=0.879399 sequence=106.834694
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=68 node=N5519 type=control0 q_typed_reliable_context=0.830373 sequence=107.665066
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=69 node=N5499 type=control0 q_typed_reliable_context=0.828802 sequence=108.493869
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=70 node=N5564 type=observe q_typed_reliable_context=0.754683 sequence=109.248552
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=71 node=N2296 type=control0 q_typed_reliable_context=1.071848 sequence=110.320400
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=72 node=N3980 type=control0 q_typed_reliable_context=0.835401 sequence=111.155801
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=73 node=N3836 type=observe q_typed_reliable_context=1.022033 sequence=112.177834
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=74 node=N3976 type=control0 q_typed_reliable_context=1.081736 sequence=113.259569
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=75 node=N4525 type=control0 q_typed_reliable_context=1.353598 sequence=114.613168
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=76 node=N1592 type=control0 q_typed_reliable_context=3.784216 sequence=118.397384
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=77 node=N1989 type=control1 q_typed_reliable_context=1.318914 sequence=119.716298
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=78 node=N18387 type=control1 q_typed_reliable_context=1.218186 sequence=120.934484
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=79 node=N6993 type=observe q_typed_reliable_context=1.132267 sequence=122.066751
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=80 node=N5602 type=observe q_typed_reliable_context=1.000578 sequence=123.067329
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=81 node=N5697 type=observe q_typed_reliable_context=1.035359 sequence=124.102688
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=82 node=N7014 type=observe q_typed_reliable_context=1.441123 sequence=125.543810
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=83 node=N3937 type=control0 q_typed_reliable_context=1.502958 sequence=127.046768
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=84 node=N7002 type=observe q_typed_reliable_context=1.569821 sequence=128.616589
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=85 node=N7005 type=observe q_typed_reliable_context=0.975268 sequence=129.591857
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=86 node=N3881 type=control0 q_typed_reliable_context=1.422116 sequence=131.013973
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=87 node=N6996 type=observe q_typed_reliable_context=1.334670 sequence=132.348643
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=88 node=N6272 type=control0 q_typed_reliable_context=1.360939 sequence=133.709582
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=89 node=N5220 type=control1 q_typed_reliable_context=1.350539 sequence=135.060120
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=90 node=N3877 type=control0 q_typed_reliable_context=0.902142 sequence=135.962262
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=91 node=N3289 type=control0 q_typed_reliable_context=1.241043 sequence=137.203305
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=92 node=N3068 type=control0 q_typed_reliable_context=2.119130 sequence=139.322435
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=93 node=N18516 type=control1 q_typed_reliable_context=1.773337 sequence=141.095772
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=94 node=N1181 type=control1 q_typed_reliable_context=1.706977 sequence=142.802749
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=95 node=N3844 type=observe q_typed_reliable_context=1.529135 sequence=144.331884
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=96 node=N5216 type=control1 q_typed_reliable_context=0.426136 sequence=144.758019
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=97 node=N8335 type=control1 q_typed_reliable_context=2.629713 sequence=147.387732
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=98 node=N12773 type=control1 q_typed_reliable_context=3.916774 sequence=151.304506
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=99 node=N4995 type=control1 q_typed_reliable_context=5.300427 sequence=156.604933
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=100 node=N7008 type=observe q_typed_reliable_context=1.248847 sequence=157.853779
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=101 node=N6999 type=observe q_typed_reliable_context=1.651756 sequence=159.505536
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=102 node=N19319 type=control1 q_typed_reliable_context=0.908377 sequence=160.413913
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=103 node=N19276 type=control0 q_typed_reliable_context=2.934567 sequence=163.348480
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=104 node=N3860 type=observe q_typed_reliable_context=3.411637 sequence=166.760117
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=105 node=N13039 type=control0 q_typed_reliable_context=1.945076 sequence=168.705193
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=106 node=N3848 type=observe q_typed_reliable_context=5.753886 sequence=174.459079
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=107 node=N13043 type=control0 q_typed_reliable_context=1.446560 sequence=175.905639
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=108 node=N13045 type=control0 q_typed_reliable_context=6.023226 sequence=181.928865
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=109 node=N19350 type=control0 q_typed_reliable_context=2.209611 sequence=184.138476
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=110 node=N19352 type=control0 q_typed_reliable_context=2.732991 sequence=186.871467
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=111 node=N3840 type=observe q_typed_reliable_context=2.424788 sequence=189.296255
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=112 node=N2297 type=control1 q_typed_reliable_context=1.441407 sequence=190.737662
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=113 node=N19354 type=control0 q_typed_reliable_context=1.557020 sequence=192.294682
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=114 node=N19356 type=control0 q_typed_reliable_context=1.699874 sequence=193.994556
