step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N1762,control0,2.1264638900756836,6.339325841367245,5.716600656509399,0.8296249982714653,4.120561796888709,6.539325841367245,6.339325841367245,6.339325841367245,1.0,0.2,3,3,1,0.0,1.0,2,2,1,0.0,2.1264638900756836,0.7614136934280396,5.984023520350457,5.999999999999999,0.007614136934280396,0.3882475793361664,0.056486576795578,1.388723373413086,2.790658473968506,0.12625595182180405,0.22281180322170258,0.029700100421905518,0.056486576795578,3.529945758581161,0.08845241367816925,0.21118535101413727,0.07659325748682022,66282.9140625,26567.21875,39715.6953125,69084.1328125,29101.765625,39982.3671875,-0.042261552065610886,-0.09540128707885742,-0.00671452097594738,-4.226155206561089,9.663141638040543,3.1991074055433275,9.04971643537283,3.064336058497429,5.525803023576737,5.260373003329151,6.339325841367245,6.339325841367245,6.339325841367245,greedy,6.339325841367245,0.0,hard_fault_cluster,0.07813664596273297,False
2,N4805,control1,1.5044968128204346,1.7837014953047037,1.8556312084197997,0.31163984246551985,1.1594059719480574,1.9081273300001125,1.7837014953047037,1.7837014953047037,0.6622530578974615,0.18788261256269517,3,2,1,0.0,1.0,2,1,1,0.0,1.5044968128204346,0.6973793506622314,1.6798891566693783,1.8942226052284241,0.006973793506622314,0.3885370194911957,0.03842610865831375,1.1028202772140503,2.405059576034546,-0.11715570837259293,-0.23814816772937775,0.0038367509841918945,0.03842610865831375,0.2750723451375961,0.07244902849197388,0.17896652221679688,0.06221003457903862,69092.03125,29113.689453125,39978.34375,69181.53125,29139.1796875,40042.3515625,-0.0012953736586496234,-0.0008755411836318672,-0.0016010621329769492,-0.12953736586496234,7.980708308517933,1.2514597302675248,7.428854214027524,1.2003740018606186,1.6665672361850739,1.9777618743479253,1.7837014953047037,8.12302733667195,8.12302733667195,greedy,1.7837014953047037,0.0,hard_fault_cluster,0.03710159362549801,False
3,N1911,control0,1.2718425989151,1.8307790911197663,1.6640072107315063,0.3325929176807404,1.1900064092278482,1.8194921014049672,1.8307790911197663,1.8307790911197663,-0.06394917467552963,0.1764993805169191,3,3,1,0.0,-0.6014597848494413,2,2,1,0.0,1.2718425989151,0.6668683886528015,1.6332787603139876,1.6343328118324278,0.006668683886528015,0.36335378885269165,0.03384799510240555,0.6394086480140686,2.3105337619781494,0.02668604999780655,-0.06931920349597931,0.12269130349159241,0.03384799510240555,0.12993666827678674,0.0734441876411438,0.15799251198768616,0.04545658081769943,69181.859375,29137.46875,40044.390625,68914.046875,28784.6484375,40129.40234375,0.0038711377419531345,0.012108818627893925,-0.0021229370031505823,0.38711377419531345,8.045135147869587,1.9744143342971803,7.519597860053182,1.964748296737671,1.8966270565986634,2.0277648773789405,1.8307790911197663,9.953806427791715,9.953806427791715,greedy,1.8307790911197663,0.0,hard_fault_cluster,0.03034276081663231,False
4,N3980,control0,1.0820032358169556,1.2900567887723446,1.2088821053504943,0.33028975978493685,0.838536912702024,1.4307382625804461,1.2900567887723446,1.2900567887723446,0.8484712462022866,0.1658058236360801,3,3,1,0.0,1.0,2,2,1,0.0,1.0820032358169556,0.6649237275123596,1.2862600356340408,1.0271610498428343,0.006649237275123596,0.37948232889175415,0.03613947331905365,1.1477727890014648,2.4446146488189697,-0.01443672925233841,-0.06939651072025299,0.04052305221557617,0.03613947331905365,0.9726412627100944,0.06880749762058258,0.15860168635845184,0.04599400609731674,68914.140625,28786.73828125,40127.3984375,69133.140625,28833.640625,40299.5,-0.0031778672710061073,-0.0016293039079755545,-0.004288879223167896,-0.31778672710061073,7.581812962889671,0.9626024715602397,7.056015562266111,0.9373073332011699,1.1233498647809028,1.2482475070655346,1.2900567887723446,11.24386321656406,11.24386321656406,greedy,1.2900567887723446,0.0,hard_fault_cluster,0.04067051387743886,False
5,N4577,observe,1.037164330482483,1.6942712568491698,2.206129217147827,0.23997081123292446,1.1012763169519604,1.7922218748111631,1.8052680107998171,1.824298410064137,0.6288554152173506,0.155760156614281,3,2,1,0.7126132662123335,0.8753772491750131,2,1,1,0.8347908479378463,1.037164330482483,0.6408736705780029,1.9428286787122486,2.911951684951782,0.006408736705780029,0.39174750447273254,0.031053269281983376,0.9608307480812073,2.315534830093384,0.27555423229932785,0.22808708250522614,0.32302138209342957,0.031053269281983376,-0.7135565223544837,0.06805143505334854,0.16092640161514282,0.04720332473516464,69132.7265625,28833.384765625,40299.34375,69703.4296875,29220.2578125,40483.171875,-0.008255179971456528,-0.01341753825545311,-0.004561566282063723,-0.8255179971456528,7.47707044519484,1.2655765737593172,6.973125240299851,1.3107279147207735,1.722376338019967,2.381654575485736,1.824298410064137,13.068161626628196,13.068161626628196,greedy,1.824298410064137,0.0,hard_fault_cluster,0.0002050861361771946,True
6,N3410,control0,0.991603672504425,1.8443294525891543,1.3610690236091614,0.4323893872648477,1.1988141441829503,1.8991711650692358,1.8443294525891543,1.8443294525891543,0.3747986668836,0.14632312578932835,3,3,1,0.0,0.603702026481635,2,2,1,0.0,0.991603672504425,0.6677095293998718,2.33906438536942,2.4099346876144407,0.006677095293998719,0.38403478264808655,0.029855715110898018,0.9021894335746765,2.4300215244293213,0.02152738720178604,-0.05362646281719208,0.09668123722076416,0.029855715110898018,0.13293118767440315,0.060883454978466034,0.15204842388629913,0.04232722148299217,69703.84375,29220.625,40483.21484375,68992.421875,28693.392578125,40299.03125,0.010206351056694984,0.018043160438537598,0.004549628589302301,1.0206351056694984,6.785910742357373,0.7124876292422413,6.262736808974296,0.5689687641337513,2.1476326078176498,2.232539425343275,1.8443294525891543,14.91249107921735,14.91249107921735,greedy,1.8443294525891543,0.0,hard_fault_cluster,0.011474713132171705,False
7,N5778,control0,0.9565672874450684,1.756812342479825,2.2206908583641054,0.46242946378886696,1.1419280226118862,1.86641125648795,1.756812342479825,1.756812342479825,0.7973273946665022,0.13745785575819444,3,3,1,0.0,1.0,2,2,1,0.0,0.9565672874450684,0.6788690686225891,2.1480300582945344,3.1358282208442683,0.006788690686225891,0.39509475231170654,0.031368277966976166,1.2014076709747314,2.4716994762420654,-0.009130768477916718,-0.09613226354122162,0.07787072658538818,0.031368277966976166,0.7770790475606917,0.06134885549545288,0.15567396581172943,0.04221207648515701,68992.7890625,28693.490234375,40299.30078125,69174.7578125,28768.4453125,40406.3125,-0.0026375039014965296,-0.0026122676208615303,-0.0026554237119853497,-0.26375039014965296,6.845122896134853,1.4239383107423782,6.312444886192679,1.3277868543565272,1.8633560955524442,2.8401802927255626,1.756812342479825,16.669303421697176,16.669303421697176,greedy,1.756812342479825,0.0,hard_fault_cluster,0.051761771125662624,False
8,N2900,control0,0.6167136430740356,1.260323949456215,2.2774313211441037,0.44977271497249605,0.8192105671465398,1.3286643818987078,1.260323949456215,1.260323949456215,0.5292386619434598,0.1291297052855784,3,3,1,0.0,0.7825376237130955,2,2,1,0.0,0.6167136430740356,0.6058351397514343,1.360615099593997,2.4495198309421538,0.0060583513975143435,0.42498672008514404,0.037990547716617584,0.9521066546440125,2.3914084434509277,-0.009200811386108398,-0.07900130748748779,0.060599684715270996,0.037990547716617584,1.9880568294972178,0.05599211901426315,0.13220363855361938,0.0417313277721405,69174.7109375,28768.3203125,40406.390625,69047.4296875,28579.69140625,40467.73828125,0.0018399968976154923,0.006556827109307051,-0.0015182661591097713,0.18399968976154923,6.243037588894367,0.787195460870862,5.760168323293328,0.7334593404084444,1.0621062956750393,2.6368509235605595,1.260323949456215,17.92962737115339,17.92962737115339,greedy,1.260323949456215,0.0,hard_fault_cluster,0.019719151478936346,False
9,N4143,control0,0.29607608914375305,2.1271615016460417,0.745506851375103,1.4916525357961652,1.3826549760699272,2.0670528394874963,2.1271615016460417,2.1271615016460417,-0.4955121492706071,0.1213061319425267,3,3,1,0.0,-1.0,2,2,1,0.0,0.29607608914375305,0.7671282291412354,5.062016246840357,5.015201091766357,0.007671282291412353,-0.036992400884628296,0.1098691001534462,0.10739945620298386,0.946510910987854,0.2671675309538841,0.5418128371238708,-0.0074777752161026,0.1098691001534462,5.654138608686626,0.038315776735544205,0.03475601226091385,0.01465904712677002,69046.828125,28579.20703125,40467.6171875,69053.640625,28551.70703125,40501.9375,-9.866492473520339e-05,0.000962238060310483,-0.0008480932447127998,-0.009866492473520339,4.708575002849102,-0.2565763518214226,4.050827005878091,-0.6423181220889091,1.8812283575534818,2.2279892167448994,2.1271615016460417,20.056788872799434,20.056788872799434,greedy,2.1271615016460417,0.0,hard_fault_cluster,0.03520636499254103,False
10,N4557,observe,0.41487574577331543,1.3332529481500386,1.1737495064735413,0.2213014107197523,0.8666144162975251,1.4053469442338913,1.3332529481500386,1.3332529481500386,0.632644517829215,0.11395656494618461,3,2,1,0.0,0.6667493353442583,2,1,1,0.0,0.41487574577331543,0.6878511309623718,1.25604425445199,1.1704772233963012,0.0068785113096237185,-0.036863118410110474,0.10336650907993317,0.6602258086204529,1.2642098665237427,0.5493878722190857,0.6618711948394775,0.43690454959869385,0.10336650907993317,0.502387312054634,0.03988343104720116,0.03453442454338074,0.015382558107376099,69053.78125,28552.02734375,40501.75390625,69523.4765625,28921.126953125,40602.3515625,-0.006801876705139875,-0.012927264906466007,-0.0024837851524353027,-0.6801876705139875,4.779560744762421,0.8200245124101639,4.186147514730692,0.6088678421080113,1.0241516560316086,0.9415796304494143,1.3332529481500386,21.390041820949474,21.390041820949474,greedy,1.3332529481500386,0.0,hard_fault_cluster,0.0003752814610958083,True
