[typed-five-r3/b20_C] [gmean] 2026-07-21T15:50:23 out_dir=autoresearch/loop-260720-0945/typed_winner_round8_five/b20_C
[typed-five-r3/b20_C] [gmean] 2026-07-21T15:50:23 budgets=iscas99__b20:616
[typed-five-r3/b20_C] [gmean] 2026-07-21T15:50:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b20_C] [gmean] 2026-07-21T15:50:23 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_typed_reliable_context
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] torch_deterministic=true
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b20_C/exact_candidate_nodes.txt nodes=19175
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.929140
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=1 node=N1762 type=control0 q_typed_reliable_context=6.339326 sequence=6.339326
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=2 node=N4805 type=control1 q_typed_reliable_context=1.783701 sequence=8.123027
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=3 node=N1911 type=control0 q_typed_reliable_context=1.830779 sequence=9.953806
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=4 node=N3980 type=control0 q_typed_reliable_context=1.290057 sequence=11.243863
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=5 node=N4134 type=control0 q_typed_reliable_context=1.822342 sequence=13.066205
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=6 node=N3410 type=control0 q_typed_reliable_context=2.021180 sequence=15.087385
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=7 node=N5778 type=control0 q_typed_reliable_context=1.545226 sequence=16.632610
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=8 node=N2900 type=control0 q_typed_reliable_context=1.233596 sequence=17.866206
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=9 node=N4149 type=control1 q_typed_reliable_context=2.156668 sequence=20.022874
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=10 node=N4176 type=observe q_typed_reliable_context=1.444937 sequence=21.467811
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=11 node=N4587 type=observe q_typed_reliable_context=1.557906 sequence=23.025717
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=12 node=N4175 type=observe q_typed_reliable_context=1.528998 sequence=24.554715
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=13 node=N4144 type=control0 q_typed_reliable_context=2.535340 sequence=27.090055
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=14 node=N1665 type=control1 q_typed_reliable_context=1.477814 sequence=28.567869
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=15 node=N4130 type=control0 q_typed_reliable_context=1.772837 sequence=30.340706
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=16 node=N4561 type=observe q_typed_reliable_context=1.385119 sequence=31.725825
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=17 node=N3995 type=control0 q_typed_reliable_context=1.264742 sequence=32.990567
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=18 node=N826 type=observe q_typed_reliable_context=1.179863 sequence=34.170430
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=19 node=N3408 type=control0 q_typed_reliable_context=1.849119 sequence=36.019549
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=20 node=N4161 type=observe q_typed_reliable_context=1.250295 sequence=37.269844
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=21 node=N3333 type=control0 q_typed_reliable_context=2.016048 sequence=39.285892
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=22 node=N4164 type=observe q_typed_reliable_context=1.112704 sequence=40.398596
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=23 node=N4162 type=observe q_typed_reliable_context=1.257866 sequence=41.656462
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=24 node=N4165 type=observe q_typed_reliable_context=1.298048 sequence=42.954509
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=25 node=N4166 type=observe q_typed_reliable_context=1.308434 sequence=44.262943
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=26 node=N4160 type=observe q_typed_reliable_context=1.336353 sequence=45.599295
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=27 node=N2682 type=control0 q_typed_reliable_context=0.974090 sequence=46.573386
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=28 node=N4147 type=observe q_typed_reliable_context=1.000183 sequence=47.573569
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=29 node=N4618 type=control1 q_typed_reliable_context=1.008974 sequence=48.582543
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=30 node=N4167 type=observe q_typed_reliable_context=0.970319 sequence=49.552862
[typed-five-r3/b20_C] [plan iscas99__b20] [plan] step=31 node=N4174 type=observe q_typed_reliable_context=1.104582 sequence=50.657443
