line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__aig_not_19909 /1 undetected,output,,__aig_not_19909,__aig_not_19909,1,undetected,__aig_not_19909,__aig_not_19909,__aig_not_19909,sa1,1
2,__aig_not_19905 /1 undetected,output,,__aig_not_19905,__aig_not_19905,1,undetected,__aig_not_19905,__aig_not_19905,__aig_not_19905,sa1,1
3,__aig_not_19903 /1 undetected,output,,__aig_not_19903,__aig_not_19903,1,undetected,__aig_not_19903,__aig_not_19903,__aig_not_19903,sa1,1
4,__aig_not_19901 /1 undetected,output,,__aig_not_19901,__aig_not_19901,1,undetected,__aig_not_19901,__aig_not_19901,__aig_not_19901,sa1,1
5,__aig_not_19899 /1 undetected,output,,__aig_not_19899,__aig_not_19899,1,undetected,__aig_not_19899,__aig_not_19899,__aig_not_19899,sa1,1
6,__aig_not_19897 /1 undetected,output,,__aig_not_19897,__aig_not_19897,1,undetected,__aig_not_19897,__aig_not_19897,__aig_not_19897,sa1,1
7,__aig_not_19895 /1 undetected,output,,__aig_not_19895,__aig_not_19895,1,undetected,__aig_not_19895,__aig_not_19895,__aig_not_19895,sa1,1
8,__aig_not_19893 /1 undetected,output,,__aig_not_19893,__aig_not_19893,1,undetected,__aig_not_19893,__aig_not_19893,__aig_not_19893,sa1,1
9,__buf_split_10565 /1 undetected,output,,__buf_split_10565,__buf_split_10565,1,undetected,__buf_split_10565,__buf_split_10565,__buf_split_10565,sa1,1
10,__buf_split_10566 /1 undetected,output,,__buf_split_10566,__buf_split_10566,1,undetected,__buf_split_10566,__buf_split_10566,__buf_split_10566,sa1,1
11,__buf_split_10567 /1 undetected,output,,__buf_split_10567,__buf_split_10567,1,undetected,__buf_split_10567,__buf_split_10567,__buf_split_10567,sa1,1
12,__buf_split_10568 /1 undetected,output,,__buf_split_10568,__buf_split_10568,1,undetected,__buf_split_10568,__buf_split_10568,__buf_split_10568,sa1,1
13,__buf_split_10569 /1 undetected,output,,__buf_split_10569,__buf_split_10569,1,undetected,__buf_split_10569,__buf_split_10569,__buf_split_10569,sa1,1
14,__buf_split_10571 /1 undetected,output,,__buf_split_10571,__buf_split_10571,1,undetected,__buf_split_10571,__buf_split_10571,__buf_split_10571,sa1,1
15,__aig_not_19873 /1 undetected,output,,__aig_not_19873,__aig_not_19873,1,undetected,__aig_not_19873,__aig_not_19873,__aig_not_19873,sa1,1
16,__aig_not_19871 /1 undetected,output,,__aig_not_19871,__aig_not_19871,1,undetected,__aig_not_19871,__aig_not_19871,__aig_not_19871,sa1,1
17,__aig_not_19869 /1 undetected,output,,__aig_not_19869,__aig_not_19869,1,undetected,__aig_not_19869,__aig_not_19869,__aig_not_19869,sa1,1
18,__aig_not_19867 /1 undetected,output,,__aig_not_19867,__aig_not_19867,1,undetected,__aig_not_19867,__aig_not_19867,__aig_not_19867,sa1,1
19,__aig_not_19865 /1 undetected,output,,__aig_not_19865,__aig_not_19865,1,undetected,__aig_not_19865,__aig_not_19865,__aig_not_19865,sa1,1
20,__aig_not_19863 /1 undetected,output,,__aig_not_19863,__aig_not_19863,1,undetected,__aig_not_19863,__aig_not_19863,__aig_not_19863,sa1,1
21,__aig_not_19861 /1 undetected,output,,__aig_not_19861,__aig_not_19861,1,undetected,__aig_not_19861,__aig_not_19861,__aig_not_19861,sa1,1
22,__aig_not_19859 /1 undetected,output,,__aig_not_19859,__aig_not_19859,1,undetected,__aig_not_19859,__aig_not_19859,__aig_not_19859,sa1,1
23,__aig_not_19857 /1 undetected,output,,__aig_not_19857,__aig_not_19857,1,undetected,__aig_not_19857,__aig_not_19857,__aig_not_19857,sa1,1
24,__aig_not_19855 /1 undetected,output,,__aig_not_19855,__aig_not_19855,1,undetected,__aig_not_19855,__aig_not_19855,__aig_not_19855,sa1,1
25,__aig_not_19853 /1 undetected,output,,__aig_not_19853,__aig_not_19853,1,undetected,__aig_not_19853,__aig_not_19853,__aig_not_19853,sa1,1
26,__buf_split_10545 /1 undetected,output,,__buf_split_10545,__buf_split_10545,1,undetected,__buf_split_10545,__buf_split_10545,__buf_split_10545,sa1,1
27,__buf_split_10546 /1 undetected,output,,__buf_split_10546,__buf_split_10546,1,undetected,__buf_split_10546,__buf_split_10546,__buf_split_10546,sa1,1
28,__buf_split_10547 /1 undetected,output,,__buf_split_10547,__buf_split_10547,1,undetected,__buf_split_10547,__buf_split_10547,__buf_split_10547,sa1,1
29,__buf_split_10548 /1 undetected,output,,__buf_split_10548,__buf_split_10548,1,undetected,__buf_split_10548,__buf_split_10548,__buf_split_10548,sa1,1
30,__buf_split_10549 /1 undetected,output,,__buf_split_10549,__buf_split_10549,1,undetected,__buf_split_10549,__buf_split_10549,__buf_split_10549,sa1,1
31,__buf_split_10550 /1 undetected,output,,__buf_split_10550,__buf_split_10550,1,undetected,__buf_split_10550,__buf_split_10550,__buf_split_10550,sa1,1
32,__buf_split_10551 /1 undetected,output,,__buf_split_10551,__buf_split_10551,1,undetected,__buf_split_10551,__buf_split_10551,__buf_split_10551,sa1,1
33,__buf_split_10552 /1 undetected,output,,__buf_split_10552,__buf_split_10552,1,undetected,__buf_split_10552,__buf_split_10552,__buf_split_10552,sa1,1
34,__buf_split_10553 /1 undetected,output,,__buf_split_10553,__buf_split_10553,1,undetected,__buf_split_10553,__buf_split_10553,__buf_split_10553,sa1,1
