line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_7516 /1 undetected,output,,__buf_split_7516,__buf_split_7516,1,undetected,__buf_split_7516,__buf_split_7516,__buf_split_7516,sa1,1
2,__aig_not_12750 /1 undetected,output,,__aig_not_12750,__aig_not_12750,1,undetected,__aig_not_12750,__aig_not_12750,__aig_not_12750,sa1,1
3,__buf_split_7514 /1 undetected,output,,__buf_split_7514,__buf_split_7514,1,undetected,__buf_split_7514,__buf_split_7514,__buf_split_7514,sa1,1
4,__aig_not_12747 /1 undetected,output,,__aig_not_12747,__aig_not_12747,1,undetected,__aig_not_12747,__aig_not_12747,__aig_not_12747,sa1,1
5,__aig_not_12743 /1 undetected,output,,__aig_not_12743,__aig_not_12743,1,undetected,__aig_not_12743,__aig_not_12743,__aig_not_12743,sa1,1
6,__buf_split_7031 /1 undetected,output,,__buf_split_7031,__buf_split_7031,1,undetected,__buf_split_7031,__buf_split_7031,__buf_split_7031,sa1,1
7,__aig_not_11916 /1 undetected,output,,__aig_not_11916,__aig_not_11916,1,undetected,__aig_not_11916,__aig_not_11916,__aig_not_11916,sa1,1
8,__buf_split_7029 /1 undetected,output,,__buf_split_7029,__buf_split_7029,1,undetected,__buf_split_7029,__buf_split_7029,__buf_split_7029,sa1,1
9,__aig_not_11913 /1 undetected,output,,__aig_not_11913,__aig_not_11913,1,undetected,__aig_not_11913,__aig_not_11913,__aig_not_11913,sa1,1
10,__aig_not_26 /1 undetected,output,,__aig_not_26,__aig_not_26,1,undetected,__aig_not_26,__aig_not_26,__aig_not_26,sa1,1
11,__buf_split_19 /1 undetected,output,,__buf_split_19,__buf_split_19,1,undetected,__buf_split_19,__buf_split_19,__buf_split_19,sa1,1
12,__buf_split_18 /1 undetected,output,,__buf_split_18,__buf_split_18,1,undetected,__buf_split_18,__buf_split_18,__buf_split_18,sa1,1
13,__aig_not_21 /1 undetected,output,,__aig_not_21,__aig_not_21,1,undetected,__aig_not_21,__aig_not_21,__aig_not_21,sa1,1
14,__aig_not_19 /1 undetected,output,,__aig_not_19,__aig_not_19,1,undetected,__aig_not_19,__aig_not_19,__aig_not_19,sa1,1
15,__buf_split_10 /1 undetected,output,,__buf_split_10,__buf_split_10,1,undetected,__buf_split_10,__buf_split_10,__buf_split_10,sa1,1
16,__buf_split_6 /1 undetected,output,,__buf_split_6,__buf_split_6,1,undetected,__buf_split_6,__buf_split_6,__buf_split_6,sa1,1
17,__buf_split_5 /1 undetected,output,,__buf_split_5,__buf_split_5,1,undetected,__buf_split_5,__buf_split_5,__buf_split_5,sa1,1
18,__tpi_cp_0___aig_not_3 /1 undetected,output,,__tpi_cp_0___aig_not_3,__tpi_cp_0___aig_not_3,1,undetected,__tpi_cp_0___aig_not_3,__tpi_cp_0___aig_not_3,__tpi_cp_0___aig_not_3,sa1,1
19,test_en /0 undetected,output,,test_en,test_en,0,undetected,test_en,test_en,test_en,sa0,1
20,__aig_not_1 /1 undetected,output,,__aig_not_1,__aig_not_1,1,undetected,__aig_not_1,__aig_not_1,__aig_not_1,sa1,1
