line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_op_0___buf_split_76559 /1 undetected,output,,__tpi_op_0___buf_split_76559,__tpi_op_0___buf_split_76559,1,undetected,__tpi_op_0___buf_split_76559,__tpi_op_0___buf_split_76559,__tpi_op_0___buf_split_76559,sa1,1
2,__buf_split_76724 /1 undetected,output,,__buf_split_76724,__buf_split_76724,1,undetected,__buf_split_76724,__buf_split_76724,__buf_split_76724,sa1,1
3,__buf_split_76562 /1 undetected,output,,__buf_split_76562,__buf_split_76562,1,undetected,__buf_split_76562,__buf_split_76562,__buf_split_76562,sa1,1
4,__buf_split_76559->new_n108284_ /1 undetected,input_edge,__buf_split_76559,new_n108284_,new_n108284_,1,undetected,new_n108284_,new_n108284_,new_n108284_,sa1,1
5,__buf_split_76380 /1 undetected,output,,__buf_split_76380,__buf_split_76380,1,undetected,__buf_split_76380,__buf_split_76380,__buf_split_76380,sa1,1
6,new_n108287_ /1 undetected,output,,new_n108287_,new_n108287_,1,undetected,new_n108287_,new_n108287_,new_n108287_,sa1,1
7,__buf_split_76560 /1 undetected,output,,__buf_split_76560,__buf_split_76560,1,undetected,__buf_split_76560,__buf_split_76560,__buf_split_76560,sa1,1
8,__buf_split_76559 /1 undetected,output,,__buf_split_76559,__buf_split_76559,1,undetected,__buf_split_76559,__buf_split_76559,__buf_split_76559,sa1,1
9,new_n108080_ /1 undetected,output,,new_n108080_,new_n108080_,1,undetected,new_n108080_,new_n108080_,new_n108080_,sa1,1
10,new_n108079_ /0 undetected,output,,new_n108079_,new_n108079_,0,undetected,new_n108079_,new_n108079_,new_n108079_,sa0,1
