node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_and_13376,1,0,0,0,1
__aig_not_13333,1,0,1,0,0
__aig_not_13335,1,0,1,0,0
__aig_not_13337,1,0,1,0,0
__aig_not_13341,1,0,1,0,0
__aig_not_13345,1,0,1,0,0
__aig_not_13349,1,0,1,0,0
__aig_not_13353,1,0,1,0,0
__aig_not_13357,1,0,1,0,0
__aig_not_13361,1,0,1,0,0
__aig_not_13377,1,0,1,0,0
__aig_not_13379,1,0,1,0,0
__aig_not_13381,1,0,1,0,0
__aig_not_13383,1,0,1,0,0
__aig_not_13385,1,0,1,0,0
__aig_not_13387,1,0,1,0,0
__buf_split_7247,1,0,1,0,0
__buf_split_7249,1,0,1,0,0
__buf_split_7250,1,0,1,0,0
__buf_split_7251,1,0,1,0,0
__buf_split_7252,1,0,1,0,0
__buf_split_7253,1,0,1,0,0
__buf_split_7254,1,0,1,0,0
__buf_split_7255,1,0,1,0,0
__buf_split_7256,1,0,1,0,0
__buf_split_7257,1,0,1,0,0
__buf_split_7258,1,0,1,0,0
__buf_split_7259,1,0,1,0,0
__buf_split_7260,1,0,1,0,0
__buf_split_7268,1,0,1,0,0
__buf_split_7269,1,0,1,0,0
__buf_split_7270,1,0,1,0,0
__buf_split_7271,1,0,1,0,0
__buf_split_7272,1,0,1,0,0
__buf_split_7273,1,0,1,0,0
