line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_2543 /1 undetected,output,,__buf_split_2543,__buf_split_2543,1,undetected,__buf_split_2543,__buf_split_2543,__buf_split_2543,sa1,1
2,__buf_split_2536 /1 undetected,output,,__buf_split_2536,__buf_split_2536,1,undetected,__buf_split_2536,__buf_split_2536,__buf_split_2536,sa1,1
3,__buf_split_2488 /1 undetected,output,,__buf_split_2488,__buf_split_2488,1,undetected,__buf_split_2488,__buf_split_2488,__buf_split_2488,sa1,1
4,__buf_split_2446 /1 undetected,output,,__buf_split_2446,__buf_split_2446,1,undetected,__buf_split_2446,__buf_split_2446,__buf_split_2446,sa1,1
5,new_n2405_ /1 undetected,output,,new_n2405_,new_n2405_,1,undetected,new_n2405_,new_n2405_,new_n2405_,sa1,1
6,__buf_split_2429 /1 undetected,output,,__buf_split_2429,__buf_split_2429,1,undetected,__buf_split_2429,__buf_split_2429,__buf_split_2429,sa1,1
7,__buf_split_2428 /1 undetected,output,,__buf_split_2428,__buf_split_2428,1,undetected,__buf_split_2428,__buf_split_2428,__buf_split_2428,sa1,1
8,__buf_split_2411 /1 undetected,output,,__buf_split_2411,__buf_split_2411,1,undetected,__buf_split_2411,__buf_split_2411,__buf_split_2411,sa1,1
9,__buf_split_2367 /1 undetected,output,,__buf_split_2367,__buf_split_2367,1,undetected,__buf_split_2367,__buf_split_2367,__buf_split_2367,sa1,1
10,__buf_split_2354 /1 undetected,output,,__buf_split_2354,__buf_split_2354,1,undetected,__buf_split_2354,__buf_split_2354,__buf_split_2354,sa1,1
11,__buf_split_2351 /1 undetected,output,,__buf_split_2351,__buf_split_2351,1,undetected,__buf_split_2351,__buf_split_2351,__buf_split_2351,sa1,1
12,__buf_split_2335 /1 undetected,output,,__buf_split_2335,__buf_split_2335,1,undetected,__buf_split_2335,__buf_split_2335,__buf_split_2335,sa1,1
13,pe2 /1 undetected,output,,pe2,pe2,1,undetected,pe2,pe2,pe2,sa1,1
14,new_n2039_ /1 undetected,output,,new_n2039_,new_n2039_,1,undetected,new_n2039_,new_n2039_,new_n2039_,sa1,1
15,new_n1921_ /1 undetected,output,,new_n1921_,new_n1921_,1,undetected,new_n1921_,new_n1921_,new_n1921_,sa1,1
16,new_n1920_ /1 undetected,output,,new_n1920_,new_n1920_,1,undetected,new_n1920_,new_n1920_,new_n1920_,sa1,1
17,new_n1919_ /1 undetected,output,,new_n1919_,new_n1919_,1,undetected,new_n1919_,new_n1919_,new_n1919_,sa1,1
18,__buf_split_1939 /1 undetected,output,,__buf_split_1939,__buf_split_1939,1,undetected,__buf_split_1939,__buf_split_1939,__buf_split_1939,sa1,1
19,new_n1918_ /1 undetected,output,,new_n1918_,new_n1918_,1,undetected,new_n1918_,new_n1918_,new_n1918_,sa1,1
20,new_n1916_ /1 undetected,output,,new_n1916_,new_n1916_,1,undetected,new_n1916_,new_n1916_,new_n1916_,sa1,1
21,new_n1878_ /1 undetected,output,,new_n1878_,new_n1878_,1,undetected,new_n1878_,new_n1878_,new_n1878_,sa1,1
22,new_n1877_ /1 undetected,output,,new_n1877_,new_n1877_,1,undetected,new_n1877_,new_n1877_,new_n1877_,sa1,1
23,new_n1876_ /1 undetected,output,,new_n1876_,new_n1876_,1,undetected,new_n1876_,new_n1876_,new_n1876_,sa1,1
24,__buf_split_1894 /1 undetected,output,,__buf_split_1894,__buf_split_1894,1,undetected,__buf_split_1894,__buf_split_1894,__buf_split_1894,sa1,1
25,__buf_split_1893 /1 undetected,output,,__buf_split_1893,__buf_split_1893,1,undetected,__buf_split_1893,__buf_split_1893,__buf_split_1893,sa1,1
26,__buf_split_1895 /1 undetected,output,,__buf_split_1895,__buf_split_1895,1,undetected,__buf_split_1895,__buf_split_1895,__buf_split_1895,sa1,1
27,new_n1869_ /1 undetected,output,,new_n1869_,new_n1869_,1,undetected,new_n1869_,new_n1869_,new_n1869_,sa1,1
28,new_n1865_ /1 undetected,output,,new_n1865_,new_n1865_,1,undetected,new_n1865_,new_n1865_,new_n1865_,sa1,1
29,__buf_split_1883 /1 undetected,output,,__buf_split_1883,__buf_split_1883,1,undetected,__buf_split_1883,__buf_split_1883,__buf_split_1883,sa1,1
30,__buf_split_1882 /1 undetected,output,,__buf_split_1882,__buf_split_1882,1,undetected,__buf_split_1882,__buf_split_1882,__buf_split_1882,sa1,1
31,new_n1864_ /1 undetected,output,,new_n1864_,new_n1864_,1,undetected,new_n1864_,new_n1864_,new_n1864_,sa1,1
32,new_n1855_ /1 undetected,output,,new_n1855_,new_n1855_,1,undetected,new_n1855_,new_n1855_,new_n1855_,sa1,1
33,new_n1832_ /1 undetected,output,,new_n1832_,new_n1832_,1,undetected,new_n1832_,new_n1832_,new_n1832_,sa1,1
34,new_n1794_ /1 undetected,output,,new_n1794_,new_n1794_,1,undetected,new_n1794_,new_n1794_,new_n1794_,sa1,1
35,__buf_split_1811 /1 undetected,output,,__buf_split_1811,__buf_split_1811,1,undetected,__buf_split_1811,__buf_split_1811,__buf_split_1811,sa1,1
36,new_n1790_ /1 undetected,output,,new_n1790_,new_n1790_,1,undetected,new_n1790_,new_n1790_,new_n1790_,sa1,1
37,new_n1785_ /1 undetected,output,,new_n1785_,new_n1785_,1,undetected,new_n1785_,new_n1785_,new_n1785_,sa1,1
38,new_n1744_ /1 undetected,output,,new_n1744_,new_n1744_,1,undetected,new_n1744_,new_n1744_,new_n1744_,sa1,1
39,__buf_split_1654 /1 undetected,output,,__buf_split_1654,__buf_split_1654,1,undetected,__buf_split_1654,__buf_split_1654,__buf_split_1654,sa1,1
40,__buf_split_1638 /1 undetected,output,,__buf_split_1638,__buf_split_1638,1,undetected,__buf_split_1638,__buf_split_1638,__buf_split_1638,sa1,1
41,__buf_split_1614 /1 undetected,output,,__buf_split_1614,__buf_split_1614,1,undetected,__buf_split_1614,__buf_split_1614,__buf_split_1614,sa1,1
42,__buf_split_1571 /1 undetected,output,,__buf_split_1571,__buf_split_1571,1,undetected,__buf_split_1571,__buf_split_1571,__buf_split_1571,sa1,1
43,__buf_split_889 /1 undetected,output,,__buf_split_889,__buf_split_889,1,undetected,__buf_split_889,__buf_split_889,__buf_split_889,sa1,1
