line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,new_n153125_->new_n153125__PO /1 undetected,input_edge,new_n153125_,new_n153125__PO,new_n153125__PO,1,undetected,new_n153125__PO,new_n153125__PO,new_n153125__PO,sa1,1
2,new_n153113_->new_n153113__PO /1 undetected,input_edge,new_n153113_,new_n153113__PO,new_n153113__PO,1,undetected,new_n153113__PO,new_n153113__PO,new_n153113__PO,sa1,1
3,new_n152924_->new_n152924__PO /0 undetected,input_edge,new_n152924_,new_n152924__PO,new_n152924__PO,0,undetected,new_n152924__PO,new_n152924__PO,new_n152924__PO,sa0,1
4,__buf_split_112326 /1 undetected,output,,__buf_split_112326,__buf_split_112326,1,undetected,__buf_split_112326,__buf_split_112326,__buf_split_112326,sa1,1
5,new_n153125_ /1 undetected,output,,new_n153125_,new_n153125_,1,undetected,new_n153125_,new_n153125_,new_n153125_,sa1,1
6,__buf_split_112325 /1 undetected,output,,__buf_split_112325,__buf_split_112325,1,undetected,__buf_split_112325,__buf_split_112325,__buf_split_112325,sa1,1
7,__tpi_cp_0___buf_split_112316 /1 undetected,output,,__tpi_cp_0___buf_split_112316,__tpi_cp_0___buf_split_112316,1,undetected,__tpi_cp_0___buf_split_112316,__tpi_cp_0___buf_split_112316,__tpi_cp_0___buf_split_112316,sa1,1
8,test_en /0 undetected,output,,test_en,test_en,0,undetected,test_en,test_en,test_en,sa0,1
9,new_n153113_ /1 undetected,output,,new_n153113_,new_n153113_,1,undetected,new_n153113_,new_n153113_,new_n153113_,sa1,1
10,new_n152924_ /0 undetected,output,,new_n152924_,new_n152924_,0,undetected,new_n152924_,new_n152924_,new_n152924_,sa0,1
