line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,new_n61217_->new_n61217__PO /1 undetected,input_edge,new_n61217_,new_n61217__PO,new_n61217__PO,1,undetected,new_n61217__PO,new_n61217__PO,new_n61217__PO,sa1,1
2,new_n61077_->new_n61077__PO /1 undetected,input_edge,new_n61077_,new_n61077__PO,new_n61077__PO,1,undetected,new_n61077__PO,new_n61077__PO,new_n61077__PO,sa1,1
3,new_n61076_->new_n61076__PO /0 undetected,input_edge,new_n61076_,new_n61076__PO,new_n61076__PO,0,undetected,new_n61076__PO,new_n61076__PO,new_n61076__PO,sa0,1
4,new_n10886_->new_n10886__PO /0 undetected,input_edge,new_n10886_,new_n10886__PO,new_n10886__PO,0,undetected,new_n10886__PO,new_n10886__PO,new_n10886__PO,sa0,1
5,__buf_split_51675 /1 undetected,output,,__buf_split_51675,__buf_split_51675,1,undetected,__buf_split_51675,__buf_split_51675,__buf_split_51675,sa1,1
6,__buf_split_51667 /1 undetected,output,,__buf_split_51667,__buf_split_51667,1,undetected,__buf_split_51667,__buf_split_51667,__buf_split_51667,sa1,1
7,new_n61077_ /1 undetected,output,,new_n61077_,new_n61077_,1,undetected,new_n61077_,new_n61077_,new_n61077_,sa1,1
8,new_n61217_ /1 undetected,output,,new_n61217_,new_n61217_,1,undetected,new_n61217_,new_n61217_,new_n61217_,sa1,1
9,new_n61214_ /1 undetected,output,,new_n61214_,new_n61214_,1,undetected,new_n61214_,new_n61214_,new_n61214_,sa1,1
10,new_n61212_ /1 undetected,output,,new_n61212_,new_n61212_,1,undetected,new_n61212_,new_n61212_,new_n61212_,sa1,1
11,new_n60990_ /1 undetected,output,,new_n60990_,new_n60990_,1,undetected,new_n60990_,new_n60990_,new_n60990_,sa1,1
12,__buf_split_51671 /1 undetected,output,,__buf_split_51671,__buf_split_51671,1,undetected,__buf_split_51671,__buf_split_51671,__buf_split_51671,sa1,1
13,new_n61210_ /1 undetected,output,,new_n61210_,new_n61210_,1,undetected,new_n61210_,new_n61210_,new_n61210_,sa1,1
14,new_n61208_ /1 undetected,output,,new_n61208_,new_n61208_,1,undetected,new_n61208_,new_n61208_,new_n61208_,sa1,1
15,__buf_split_51669 /1 undetected,output,,__buf_split_51669,__buf_split_51669,1,undetected,__buf_split_51669,__buf_split_51669,__buf_split_51669,sa1,1
16,__buf_split_51668 /1 undetected,output,,__buf_split_51668,__buf_split_51668,1,undetected,__buf_split_51668,__buf_split_51668,__buf_split_51668,sa1,1
17,__buf_split_51670 /1 undetected,output,,__buf_split_51670,__buf_split_51670,1,undetected,__buf_split_51670,__buf_split_51670,__buf_split_51670,sa1,1
18,__buf_split_51673 /1 undetected,output,,__buf_split_51673,__buf_split_51673,1,undetected,__buf_split_51673,__buf_split_51673,__buf_split_51673,sa1,1
19,new_n61076_ /0 undetected,output,,new_n61076_,new_n61076_,0,undetected,new_n61076_,new_n61076_,new_n61076_,sa0,1
20,__buf_split_51568 /1 undetected,output,,__buf_split_51568,__buf_split_51568,1,undetected,__buf_split_51568,__buf_split_51568,__buf_split_51568,sa1,1
21,new_n10886_ /0 undetected,output,,new_n10886_,new_n10886_,0,undetected,new_n10886_,new_n10886_,new_n10886_,sa0,1
22,__tpi_not_test_en /1 undetected,output,,__tpi_not_test_en,__tpi_not_test_en,1,undetected,__tpi_not_test_en,__tpi_not_test_en,__tpi_not_test_en,sa1,1
23,__buf_split_9320 /1 undetected,output,,__buf_split_9320,__buf_split_9320,1,undetected,__buf_split_9320,__buf_split_9320,__buf_split_9320,sa1,1
24,__buf_split_9319 /1 undetected,output,,__buf_split_9319,__buf_split_9319,1,undetected,__buf_split_9319,__buf_split_9319,__buf_split_9319,sa1,1
25,__buf_split_9321 /1 undetected,output,,__buf_split_9321,__buf_split_9321,1,undetected,__buf_split_9321,__buf_split_9321,__buf_split_9321,sa1,1
