line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_29794 /1 undetected,output,,__buf_split_29794,__buf_split_29794,1,undetected,__buf_split_29794,__buf_split_29794,__buf_split_29794,sa1,1
2,__aig_not_46081 /1 undetected,output,,__aig_not_46081,__aig_not_46081,1,undetected,__aig_not_46081,__aig_not_46081,__aig_not_46081,sa1,1
3,__aig_not_46073 /1 undetected,output,,__aig_not_46073,__aig_not_46073,1,undetected,__aig_not_46073,__aig_not_46073,__aig_not_46073,sa1,1
4,__buf_split_29780 /1 undetected,output,,__buf_split_29780,__buf_split_29780,1,undetected,__buf_split_29780,__buf_split_29780,__buf_split_29780,sa1,1
5,__buf_split_29764 /1 undetected,output,,__buf_split_29764,__buf_split_29764,1,undetected,__buf_split_29764,__buf_split_29764,__buf_split_29764,sa1,1
6,__aig_not_46041 /1 undetected,output,,__aig_not_46041,__aig_not_46041,1,undetected,__aig_not_46041,__aig_not_46041,__aig_not_46041,sa1,1
7,__aig_not_46038 /1 undetected,output,,__aig_not_46038,__aig_not_46038,1,undetected,__aig_not_46038,__aig_not_46038,__aig_not_46038,sa1,1
8,__aig_not_46047 /1 undetected,output,,__aig_not_46047,__aig_not_46047,1,undetected,__aig_not_46047,__aig_not_46047,__aig_not_46047,sa1,1
9,__aig_not_46118 /1 undetected,output,,__aig_not_46118,__aig_not_46118,1,undetected,__aig_not_46118,__aig_not_46118,__aig_not_46118,sa1,1
10,__aig_not_46063 /1 undetected,output,,__aig_not_46063,__aig_not_46063,1,undetected,__aig_not_46063,__aig_not_46063,__aig_not_46063,sa1,1
11,__buf_split_29775 /1 undetected,output,,__buf_split_29775,__buf_split_29775,1,undetected,__buf_split_29775,__buf_split_29775,__buf_split_29775,sa1,1
12,__aig_not_46035 /1 undetected,output,,__aig_not_46035,__aig_not_46035,1,undetected,__aig_not_46035,__aig_not_46035,__aig_not_46035,sa1,1
13,__buf_split_29761 /1 undetected,output,,__buf_split_29761,__buf_split_29761,1,undetected,__buf_split_29761,__buf_split_29761,__buf_split_29761,sa1,1
14,new_n21680 /1 undetected,output,,new_n21680,new_n21680,1,undetected,new_n21680,new_n21680,new_n21680,sa1,1
15,__aig_not_46030 /1 undetected,output,,__aig_not_46030,__aig_not_46030,1,undetected,__aig_not_46030,__aig_not_46030,__aig_not_46030,sa1,1
16,__buf_split_29758 /1 undetected,output,,__buf_split_29758,__buf_split_29758,1,undetected,__buf_split_29758,__buf_split_29758,__buf_split_29758,sa1,1
17,__aig_not_46029 /1 undetected,output,,__aig_not_46029,__aig_not_46029,1,undetected,__aig_not_46029,__aig_not_46029,__aig_not_46029,sa1,1
18,__buf_split_29757 /1 undetected,output,,__buf_split_29757,__buf_split_29757,1,undetected,__buf_split_29757,__buf_split_29757,__buf_split_29757,sa1,1
19,__buf_split_29754 /1 undetected,output,,__buf_split_29754,__buf_split_29754,1,undetected,__buf_split_29754,__buf_split_29754,__buf_split_29754,sa1,1
20,new_n21692 /1 undetected,output,,new_n21692,new_n21692,1,undetected,new_n21692,new_n21692,new_n21692,sa1,1
21,__aig_not_46054 /1 undetected,output,,__aig_not_46054,__aig_not_46054,1,undetected,__aig_not_46054,__aig_not_46054,__aig_not_46054,sa1,1
22,__buf_split_29770 /1 undetected,output,,__buf_split_29770,__buf_split_29770,1,undetected,__buf_split_29770,__buf_split_29770,__buf_split_29770,sa1,1
23,__aig_not_46053 /1 undetected,output,,__aig_not_46053,__aig_not_46053,1,undetected,__aig_not_46053,__aig_not_46053,__aig_not_46053,sa1,1
24,__buf_split_29769 /1 undetected,output,,__buf_split_29769,__buf_split_29769,1,undetected,__buf_split_29769,__buf_split_29769,__buf_split_29769,sa1,1
25,__buf_split_29768 /1 undetected,output,,__buf_split_29768,__buf_split_29768,1,undetected,__buf_split_29768,__buf_split_29768,__buf_split_29768,sa1,1
26,__aig_not_46010 /1 undetected,output,,__aig_not_46010,__aig_not_46010,1,undetected,__aig_not_46010,__aig_not_46010,__aig_not_46010,sa1,1
27,__buf_split_29748 /1 undetected,output,,__buf_split_29748,__buf_split_29748,1,undetected,__buf_split_29748,__buf_split_29748,__buf_split_29748,sa1,1
28,__aig_not_46012 /1 undetected,output,,__aig_not_46012,__aig_not_46012,1,undetected,__aig_not_46012,__aig_not_46012,__aig_not_46012,sa1,1
29,__aig_not_46007 /1 undetected,output,,__aig_not_46007,__aig_not_46007,1,undetected,__aig_not_46007,__aig_not_46007,__aig_not_46007,sa1,1
30,__buf_split_29746 /1 undetected,output,,__buf_split_29746,__buf_split_29746,1,undetected,__buf_split_29746,__buf_split_29746,__buf_split_29746,sa1,1
31,__aig_not_46014 /1 undetected,output,,__aig_not_46014,__aig_not_46014,1,undetected,__aig_not_46014,__aig_not_46014,__aig_not_46014,sa1,1
32,__aig_not_46005 /1 undetected,output,,__aig_not_46005,__aig_not_46005,1,undetected,__aig_not_46005,__aig_not_46005,__aig_not_46005,sa1,1
33,__aig_not_46016 /1 undetected,output,,__aig_not_46016,__aig_not_46016,1,undetected,__aig_not_46016,__aig_not_46016,__aig_not_46016,sa1,1
34,new_n21663 /1 undetected,output,,new_n21663,new_n21663,1,undetected,new_n21663,new_n21663,new_n21663,sa1,1
35,__aig_not_45999 /1 undetected,output,,__aig_not_45999,__aig_not_45999,1,undetected,__aig_not_45999,__aig_not_45999,__aig_not_45999,sa1,1
36,__buf_split_29741 /1 undetected,output,,__buf_split_29741,__buf_split_29741,1,undetected,__buf_split_29741,__buf_split_29741,__buf_split_29741,sa1,1
37,__aig_not_45998 /1 undetected,output,,__aig_not_45998,__aig_not_45998,1,undetected,__aig_not_45998,__aig_not_45998,__aig_not_45998,sa1,1
38,__aig_not_45995 /1 undetected,output,,__aig_not_45995,__aig_not_45995,1,undetected,__aig_not_45995,__aig_not_45995,__aig_not_45995,sa1,1
39,__aig_not_46001 /1 undetected,output,,__aig_not_46001,__aig_not_46001,1,undetected,__aig_not_46001,__aig_not_46001,__aig_not_46001,sa1,1
40,__buf_split_29736 /1 undetected,output,,__buf_split_29736,__buf_split_29736,1,undetected,__buf_split_29736,__buf_split_29736,__buf_split_29736,sa1,1
