line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_29812 /1 undetected,output,,__buf_split_29812,__buf_split_29812,1,undetected,__buf_split_29812,__buf_split_29812,__buf_split_29812,sa1,1
2,__aig_not_46100 /1 undetected,output,,__aig_not_46100,__aig_not_46100,1,undetected,__aig_not_46100,__aig_not_46100,__aig_not_46100,sa1,1
3,__buf_split_29794 /1 undetected,output,,__buf_split_29794,__buf_split_29794,1,undetected,__buf_split_29794,__buf_split_29794,__buf_split_29794,sa1,1
4,__aig_not_46081 /1 undetected,output,,__aig_not_46081,__aig_not_46081,1,undetected,__aig_not_46081,__aig_not_46081,__aig_not_46081,sa1,1
5,__aig_not_46083 /1 undetected,output,,__aig_not_46083,__aig_not_46083,1,undetected,__aig_not_46083,__aig_not_46083,__aig_not_46083,sa1,1
6,__aig_not_46076 /1 undetected,output,,__aig_not_46076,__aig_not_46076,1,undetected,__aig_not_46076,__aig_not_46076,__aig_not_46076,sa1,1
7,__aig_not_46073 /1 undetected,output,,__aig_not_46073,__aig_not_46073,1,undetected,__aig_not_46073,__aig_not_46073,__aig_not_46073,sa1,1
8,__buf_split_29783 /1 undetected,output,,__buf_split_29783,__buf_split_29783,1,undetected,__buf_split_29783,__buf_split_29783,__buf_split_29783,sa1,1
9,__buf_split_29781 /1 undetected,output,,__buf_split_29781,__buf_split_29781,1,undetected,__buf_split_29781,__buf_split_29781,__buf_split_29781,sa1,1
10,__buf_split_29780 /1 undetected,output,,__buf_split_29780,__buf_split_29780,1,undetected,__buf_split_29780,__buf_split_29780,__buf_split_29780,sa1,1
11,__aig_not_46070 /1 undetected,output,,__aig_not_46070,__aig_not_46070,1,undetected,__aig_not_46070,__aig_not_46070,__aig_not_46070,sa1,1
12,__aig_not_46067 /1 undetected,output,,__aig_not_46067,__aig_not_46067,1,undetected,__aig_not_46067,__aig_not_46067,__aig_not_46067,sa1,1
13,__aig_not_46065 /1 undetected,output,,__aig_not_46065,__aig_not_46065,1,undetected,__aig_not_46065,__aig_not_46065,__aig_not_46065,sa1,1
14,__aig_not_46045 /1 undetected,output,,__aig_not_46045,__aig_not_46045,1,undetected,__aig_not_46045,__aig_not_46045,__aig_not_46045,sa1,1
15,__buf_split_29765 /1 undetected,output,,__buf_split_29765,__buf_split_29765,1,undetected,__buf_split_29765,__buf_split_29765,__buf_split_29765,sa1,1
