node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_13979,1,0,1,0,0
__buf_split_13980,1,0,1,0,0
__buf_split_13981,1,0,1,0,0
__buf_split_13982,1,0,1,0,0
__buf_split_13983,1,0,1,0,0
__buf_split_13985,1,0,1,0,0
__buf_split_13986,1,0,1,0,0
__buf_split_13987,1,0,1,0,0
__buf_split_13988,1,0,1,0,0
__buf_split_13989,1,0,1,0,0
__buf_split_13992,1,0,1,0,0
__buf_split_15396,1,0,1,0,0
__buf_split_15408,1,0,1,0,0
__buf_split_15409,1,0,1,0,0
__buf_split_15410,1,0,1,0,0
__buf_split_15433,1,0,1,0,0
__buf_split_50673,1,0,1,0,0
__buf_split_50676,1,0,1,0,0
__buf_split_50677,1,0,1,0,0
new_n101529_,1,1,0,0,0
new_n101529__PO,1,0,0,1,0
new_n101530_,1,0,1,0,0
new_n101530__PO,1,0,0,0,1
new_n101534_,1,0,1,0,0
new_n48562_,1,0,1,0,0
new_n48563_,1,0,1,0,0
new_n48564_,1,0,1,0,0
new_n48565_,1,1,0,0,0
new_n48566_,1,0,1,0,0
new_n48570_,1,0,1,0,0
new_n48571_,1,0,1,0,0
new_n48572_,1,0,1,0,0
new_n48576_,1,0,1,0,0
new_n50718_,1,0,1,0,0
new_n50719_,1,1,0,0,0
new_n50730_,1,0,1,0,0
new_n50732_,1,0,1,0,0
new_n50734_,1,0,1,0,0
new_n50753_,1,1,0,0,0
new_n50753__PO,1,0,0,1,0
ys__n17526,1,1,0,0,0
ys__n17526_PO,1,0,0,1,0
