node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_313667,1,0,1,0,0
__aig_not_313669,1,0,1,0,0
__aig_not_324925,1,0,1,0,0
__aig_not_324928,1,0,1,0,0
__aig_not_325593,1,0,1,0,0
__aig_not_325596,1,0,1,0,0
__aig_not_326304,1,0,1,0,0
__aig_not_326307,1,0,1,0,0
__buf_split_231006,1,0,1,0,0
__buf_split_238514,1,0,1,0,0
__buf_split_238516,1,0,1,0,0
__buf_split_238969,1,0,1,0,0
__buf_split_238971,1,0,1,0,0
__buf_split_239450,1,0,1,0,0
__buf_split_239452,1,0,1,0,0
