line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,I1_8->I1_8_PO /0 undetected,input_edge,I1.8,I1_8_PO,I1_8_PO,0,undetected,I1_8_PO,I1_8_PO,I1_8_PO,sa0,1
2,I1_7->I1_7_PO /0 undetected,input_edge,I1.7,I1_7_PO,I1_7_PO,0,undetected,I1_7_PO,I1_7_PO,I1_7_PO,sa0,1
3,I1_6->I1_6_PO /0 undetected,input_edge,I1.6,I1_6_PO,I1_6_PO,0,undetected,I1_6_PO,I1_6_PO,I1_6_PO,sa0,1
4,I770_2 /1 undetected,output,,I770.2,I770.2,1,undetected,I770.2,I770.2,I770_2,sa1,1
5,I1_8 /0 undetected,output,,I1.8,I1.8,0,undetected,I1.8,I1.8,I1_8,sa0,1
6,I2_7 /1 undetected,output,,I2.7,I2.7,1,undetected,I2.7,I2.7,I2_7,sa1,1
7,__aig_and_357 /1 undetected,output,,__aig_and_357,__aig_and_357,1,undetected,__aig_and_357,__aig_and_357,__aig_and_357,sa1,1
8,__aig_not_356 /1 undetected,output,,__aig_not_356,__aig_not_356,1,undetected,__aig_not_356,__aig_not_356,__aig_not_356,sa1,1
9,__aig_not_355 /1 undetected,output,,__aig_not_355,__aig_not_355,1,undetected,__aig_not_355,__aig_not_355,__aig_not_355,sa1,1
10,__aig_not_354 /1 undetected,output,,__aig_not_354,__aig_not_354,1,undetected,__aig_not_354,__aig_not_354,__aig_not_354,sa1,1
11,I1_7 /0 undetected,output,,I1.7,I1.7,0,undetected,I1.7,I1.7,I1_7,sa0,1
12,I2_6 /1 undetected,output,,I2.6,I2.6,1,undetected,I2.6,I2.6,I2_6,sa1,1
13,__aig_and_343 /1 undetected,output,,__aig_and_343,__aig_and_343,1,undetected,__aig_and_343,__aig_and_343,__aig_and_343,sa1,1
14,__aig_not_342 /1 undetected,output,,__aig_not_342,__aig_not_342,1,undetected,__aig_not_342,__aig_not_342,__aig_not_342,sa1,1
15,__aig_not_341 /1 undetected,output,,__aig_not_341,__aig_not_341,1,undetected,__aig_not_341,__aig_not_341,__aig_not_341,sa1,1
16,__aig_not_340 /1 undetected,output,,__aig_not_340,__aig_not_340,1,undetected,__aig_not_340,__aig_not_340,__aig_not_340,sa1,1
17,I1_6 /0 undetected,output,,I1.6,I1.6,0,undetected,I1.6,I1.6,I1_6,sa0,1
18,__aig_and_329 /1 undetected,output,,__aig_and_329,__aig_and_329,1,undetected,__aig_and_329,__aig_and_329,__aig_and_329,sa1,1
19,__aig_not_328 /1 undetected,output,,__aig_not_328,__aig_not_328,1,undetected,__aig_not_328,__aig_not_328,__aig_not_328,sa1,1
20,__aig_not_327 /1 undetected,output,,__aig_not_327,__aig_not_327,1,undetected,__aig_not_327,__aig_not_327,__aig_not_327,sa1,1
