line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,GT_108_U6->GT_108_U6_PO /0 undetected,input_edge,GT_108_U6,GT_108_U6_PO,GT_108_U6_PO,0,undetected,GT_108_U6_PO,GT_108_U6_PO,GT_108_U6_PO,sa0,1
2,U707->U707_PO /1 undetected,input_edge,U707,U707_PO,U707_PO,1,undetected,U707_PO,U707_PO,U707_PO,sa1,1
3,U875 /1 undetected,output,,U875,U875,1,undetected,U875,U875,U875,sa1,1
4,SUB_110_U17 /1 undetected,output,,SUB_110_U17,SUB_110_U17,1,undetected,SUB_110_U17,SUB_110_U17,SUB_110_U17,sa1,1
5,SUB_110_U29 /1 undetected,output,,SUB_110_U29,SUB_110_U29,1,undetected,SUB_110_U29,SUB_110_U29,SUB_110_U29,sa1,1
6,__buf_split_812 /1 undetected,output,,__buf_split_812,__buf_split_812,1,undetected,__buf_split_812,__buf_split_812,__buf_split_812,sa1,1
7,__buf_split_811 /1 undetected,output,,__buf_split_811,__buf_split_811,1,undetected,__buf_split_811,__buf_split_811,__buf_split_811,sa1,1
8,SUB_110_U30 /1 undetected,output,,SUB_110_U30,SUB_110_U30,1,undetected,SUB_110_U30,SUB_110_U30,SUB_110_U30,sa1,1
9,__buf_split_813 /1 undetected,output,,__buf_split_813,__buf_split_813,1,undetected,__buf_split_813,__buf_split_813,__buf_split_813,sa1,1
10,SUB_110_U23 /1 undetected,output,,SUB_110_U23,SUB_110_U23,1,undetected,SUB_110_U23,SUB_110_U23,SUB_110_U23,sa1,1
11,__buf_split_265 /1 undetected,output,,__buf_split_265,__buf_split_265,1,undetected,__buf_split_265,__buf_split_265,__buf_split_265,sa1,1
12,U707 /1 undetected,output,,U707,U707,1,undetected,U707,U707,U707,sa1,1
13,GT_108_U6 /0 undetected,output,,GT_108_U6,GT_108_U6,0,undetected,GT_108_U6,GT_108_U6,GT_108_U6,sa0,1
14,__aig_not_1216 /1 undetected,output,,__aig_not_1216,__aig_not_1216,1,undetected,__aig_not_1216,__aig_not_1216,__aig_not_1216,sa1,1
15,__aig_not_1215 /1 undetected,output,,__aig_not_1215,__aig_not_1215,1,undetected,__aig_not_1215,__aig_not_1215,__aig_not_1215,sa1,1
16,__aig_and_1214 /1 undetected,output,,__aig_and_1214,__aig_and_1214,1,undetected,__aig_and_1214,__aig_and_1214,__aig_and_1214,sa1,1
17,GT_108_U9 /1 undetected,output,,GT_108_U9,GT_108_U9,1,undetected,GT_108_U9,GT_108_U9,GT_108_U9,sa1,1
18,__buf_split_1269 /1 undetected,output,,__buf_split_1269,__buf_split_1269,1,undetected,__buf_split_1269,__buf_split_1269,__buf_split_1269,sa1,1
19,__buf_split_1270 /1 undetected,output,,__buf_split_1270,__buf_split_1270,1,undetected,__buf_split_1270,__buf_split_1270,__buf_split_1270,sa1,1
20,__buf_split_797 /1 undetected,output,,__buf_split_797,__buf_split_797,1,undetected,__buf_split_797,__buf_split_797,__buf_split_797,sa1,1
