line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,new_n8505_ /1 undetected,output,,new_n8505_,new_n8505_,1,undetected,new_n8505_,new_n8505_,new_n8505_,sa1,1
2,new_n3652_ /1 undetected,output,,new_n3652_,new_n3652_,1,undetected,new_n3652_,new_n3652_,new_n3652_,sa1,1
3,__buf_split_5552 /1 undetected,output,,__buf_split_5552,__buf_split_5552,1,undetected,__buf_split_5552,__buf_split_5552,__buf_split_5552,sa1,1
4,__buf_split_5555 /1 undetected,output,,__buf_split_5555,__buf_split_5555,1,undetected,__buf_split_5555,__buf_split_5555,__buf_split_5555,sa1,1
5,new_n3654_ /1 undetected,output,,new_n3654_,new_n3654_,1,undetected,new_n3654_,new_n3654_,new_n3654_,sa1,1
6,__buf_split_2592 /1 undetected,output,,__buf_split_2592,__buf_split_2592,1,undetected,__buf_split_2592,__buf_split_2592,__buf_split_2592,sa1,1
7,__buf_split_2595 /1 undetected,output,,__buf_split_2595,__buf_split_2595,1,undetected,__buf_split_2595,__buf_split_2595,__buf_split_2595,sa1,1
8,new_n3651_ /0 undetected,output,,new_n3651_,new_n3651_,0,undetected,new_n3651_,new_n3651_,new_n3651_,sa0,1
9,new_n3650_ /1 undetected,output,,new_n3650_,new_n3650_,1,undetected,new_n3650_,new_n3650_,new_n3650_,sa1,1
10,__buf_split_2589 /1 undetected,output,,__buf_split_2589,__buf_split_2589,1,undetected,__buf_split_2589,__buf_split_2589,__buf_split_2589,sa1,1
11,new_n3562_ /1 undetected,output,,new_n3562_,new_n3562_,1,undetected,new_n3562_,new_n3562_,new_n3562_,sa1,1
12,new_n3560_ /1 undetected,output,,new_n3560_,new_n3560_,1,undetected,new_n3560_,new_n3560_,new_n3560_,sa1,1
13,new_n3558_ /1 undetected,output,,new_n3558_,new_n3558_,1,undetected,new_n3558_,new_n3558_,new_n3558_,sa1,1
14,new_n3556_ /1 undetected,output,,new_n3556_,new_n3556_,1,undetected,new_n3556_,new_n3556_,new_n3556_,sa1,1
15,new_n3554_ /1 undetected,output,,new_n3554_,new_n3554_,1,undetected,new_n3554_,new_n3554_,new_n3554_,sa1,1
16,new_n3552_ /1 undetected,output,,new_n3552_,new_n3552_,1,undetected,new_n3552_,new_n3552_,new_n3552_,sa1,1
17,__buf_split_2518 /1 undetected,output,,__buf_split_2518,__buf_split_2518,1,undetected,__buf_split_2518,__buf_split_2518,__buf_split_2518,sa1,1
18,new_n3534_ /1 undetected,output,,new_n3534_,new_n3534_,1,undetected,new_n3534_,new_n3534_,new_n3534_,sa1,1
19,__buf_split_2519 /1 undetected,output,,__buf_split_2519,__buf_split_2519,1,undetected,__buf_split_2519,__buf_split_2519,__buf_split_2519,sa1,1
20,__buf_split_2520 /1 undetected,output,,__buf_split_2520,__buf_split_2520,1,undetected,__buf_split_2520,__buf_split_2520,__buf_split_2520,sa1,1
21,__buf_split_2521 /1 undetected,output,,__buf_split_2521,__buf_split_2521,1,undetected,__buf_split_2521,__buf_split_2521,__buf_split_2521,sa1,1
22,__buf_split_2522 /1 undetected,output,,__buf_split_2522,__buf_split_2522,1,undetected,__buf_split_2522,__buf_split_2522,__buf_split_2522,sa1,1
23,__buf_split_2523 /1 undetected,output,,__buf_split_2523,__buf_split_2523,1,undetected,__buf_split_2523,__buf_split_2523,__buf_split_2523,sa1,1
24,__buf_split_2510 /1 undetected,output,,__buf_split_2510,__buf_split_2510,1,undetected,__buf_split_2510,__buf_split_2510,__buf_split_2510,sa1,1
25,__buf_split_2511 /1 undetected,output,,__buf_split_2511,__buf_split_2511,1,undetected,__buf_split_2511,__buf_split_2511,__buf_split_2511,sa1,1
