node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_24942,1,0,1,0,0
__aig_not_24945,1,0,1,0,0
__aig_not_26140,1,0,1,0,0
__aig_not_26143,1,0,1,0,0
__aig_not_29902,1,0,1,0,0
__aig_not_29905,1,0,1,0,0
__aig_not_31212,1,0,1,0,0
__aig_not_31215,1,0,1,0,0
__buf_split_14582,1,0,1,0,0
__buf_split_14584,1,0,1,0,0
__buf_split_15275,1,0,1,0,0
__buf_split_15277,1,0,1,0,0
__buf_split_17450,1,0,1,0,0
__buf_split_17452,1,0,1,0,0
__buf_split_18207,1,0,1,0,0
__buf_split_18209,1,0,1,0,0
__buf_split_5,1,0,1,0,0
__buf_split_6,1,0,1,0,0
