line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_205 /1 undetected,output,,__buf_split_205,__buf_split_205,1,undetected,__buf_split_205,__buf_split_205,__buf_split_205,sa1,1
2,__buf_split_204 /1 undetected,output,,__buf_split_204,__buf_split_204,1,undetected,__buf_split_204,__buf_split_204,__buf_split_204,sa1,1
3,__buf_split_199 /1 undetected,output,,__buf_split_199,__buf_split_199,1,undetected,__buf_split_199,__buf_split_199,__buf_split_199,sa1,1
4,__buf_split_198 /1 undetected,output,,__buf_split_198,__buf_split_198,1,undetected,__buf_split_198,__buf_split_198,__buf_split_198,sa1,1
5,__buf_split_193 /1 undetected,output,,__buf_split_193,__buf_split_193,1,undetected,__buf_split_193,__buf_split_193,__buf_split_193,sa1,1
6,__buf_split_192 /1 undetected,output,,__buf_split_192,__buf_split_192,1,undetected,__buf_split_192,__buf_split_192,__buf_split_192,sa1,1
7,__buf_split_187 /1 undetected,output,,__buf_split_187,__buf_split_187,1,undetected,__buf_split_187,__buf_split_187,__buf_split_187,sa1,1
8,__buf_split_186 /1 undetected,output,,__buf_split_186,__buf_split_186,1,undetected,__buf_split_186,__buf_split_186,__buf_split_186,sa1,1
9,__buf_split_181 /1 undetected,output,,__buf_split_181,__buf_split_181,1,undetected,__buf_split_181,__buf_split_181,__buf_split_181,sa1,1
10,__buf_split_180 /1 undetected,output,,__buf_split_180,__buf_split_180,1,undetected,__buf_split_180,__buf_split_180,__buf_split_180,sa1,1
11,__buf_split_175 /1 undetected,output,,__buf_split_175,__buf_split_175,1,undetected,__buf_split_175,__buf_split_175,__buf_split_175,sa1,1
12,__buf_split_174 /1 undetected,output,,__buf_split_174,__buf_split_174,1,undetected,__buf_split_174,__buf_split_174,__buf_split_174,sa1,1
13,__buf_split_171 /1 undetected,output,,__buf_split_171,__buf_split_171,1,undetected,__buf_split_171,__buf_split_171,__buf_split_171,sa1,1
14,__buf_split_170 /1 undetected,output,,__buf_split_170,__buf_split_170,1,undetected,__buf_split_170,__buf_split_170,__buf_split_170,sa1,1
15,__buf_split_167 /1 undetected,output,,__buf_split_167,__buf_split_167,1,undetected,__buf_split_167,__buf_split_167,__buf_split_167,sa1,1
16,__buf_split_166 /1 undetected,output,,__buf_split_166,__buf_split_166,1,undetected,__buf_split_166,__buf_split_166,__buf_split_166,sa1,1
17,__buf_split_163 /1 undetected,output,,__buf_split_163,__buf_split_163,1,undetected,__buf_split_163,__buf_split_163,__buf_split_163,sa1,1
18,__buf_split_162 /1 undetected,output,,__buf_split_162,__buf_split_162,1,undetected,__buf_split_162,__buf_split_162,__buf_split_162,sa1,1
19,__buf_split_117 /1 undetected,output,,__buf_split_117,__buf_split_117,1,undetected,__buf_split_117,__buf_split_117,__buf_split_117,sa1,1
20,__buf_split_116 /1 undetected,output,,__buf_split_116,__buf_split_116,1,undetected,__buf_split_116,__buf_split_116,__buf_split_116,sa1,1
21,__buf_split_111 /1 undetected,output,,__buf_split_111,__buf_split_111,1,undetected,__buf_split_111,__buf_split_111,__buf_split_111,sa1,1
22,__buf_split_110 /1 undetected,output,,__buf_split_110,__buf_split_110,1,undetected,__buf_split_110,__buf_split_110,__buf_split_110,sa1,1
23,__buf_split_105 /1 undetected,output,,__buf_split_105,__buf_split_105,1,undetected,__buf_split_105,__buf_split_105,__buf_split_105,sa1,1
24,__buf_split_104 /1 undetected,output,,__buf_split_104,__buf_split_104,1,undetected,__buf_split_104,__buf_split_104,__buf_split_104,sa1,1
25,__buf_split_99 /1 undetected,output,,__buf_split_99,__buf_split_99,1,undetected,__buf_split_99,__buf_split_99,__buf_split_99,sa1,1
26,__buf_split_98 /1 undetected,output,,__buf_split_98,__buf_split_98,1,undetected,__buf_split_98,__buf_split_98,__buf_split_98,sa1,1
27,__buf_split_95 /1 undetected,output,,__buf_split_95,__buf_split_95,1,undetected,__buf_split_95,__buf_split_95,__buf_split_95,sa1,1
28,__buf_split_94 /1 undetected,output,,__buf_split_94,__buf_split_94,1,undetected,__buf_split_94,__buf_split_94,__buf_split_94,sa1,1
29,__buf_split_91 /1 undetected,output,,__buf_split_91,__buf_split_91,1,undetected,__buf_split_91,__buf_split_91,__buf_split_91,sa1,1
30,__buf_split_90->__aig_and_115 /1 undetected,input_edge,__buf_split_90,__aig_and_115,__aig_and_115,1,undetected,__aig_and_115,__aig_and_115,__aig_and_115,sa1,1
31,__buf_split_87 /1 undetected,output,,__buf_split_87,__buf_split_87,1,undetected,__buf_split_87,__buf_split_87,__buf_split_87,sa1,1
32,__buf_split_86 /1 undetected,output,,__buf_split_86,__buf_split_86,1,undetected,__buf_split_86,__buf_split_86,__buf_split_86,sa1,1
33,__buf_split_83 /1 undetected,output,,__buf_split_83,__buf_split_83,1,undetected,__buf_split_83,__buf_split_83,__buf_split_83,sa1,1
34,__buf_split_82 /1 undetected,output,,__buf_split_82,__buf_split_82,1,undetected,__buf_split_82,__buf_split_82,__buf_split_82,sa1,1
35,__buf_split_79 /1 undetected,output,,__buf_split_79,__buf_split_79,1,undetected,__buf_split_79,__buf_split_79,__buf_split_79,sa1,1
36,__buf_split_78 /1 undetected,output,,__buf_split_78,__buf_split_78,1,undetected,__buf_split_78,__buf_split_78,__buf_split_78,sa1,1
