node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
I223,1,0,1,0,0
I286,1,0,1,0,0
I293,1,0,1,0,0
I314,1,0,1,0,0
I342,1,0,1,0,0
I349,1,0,1,0,0
II321,1,0,1,0,0
__aig_not_74,1,0,1,0,0
__aig_not_95,1,0,1,0,0
__buf_split_151,1,0,1,0,0
__buf_split_192,1,0,1,0,0
__buf_split_237,1,0,1,0,0
__buf_split_244,1,1,0,0,0
__buf_split_253,1,0,1,0,0
__buf_split_255,1,0,1,0,0
__buf_split_257,1,0,1,0,0
__buf_split_261,1,0,1,0,0
__buf_split_263,1,0,1,0,0
__buf_split_265,1,0,1,0,0
