line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__aig_not_8889 /1 undetected,output,,__aig_not_8889,__aig_not_8889,1,undetected,__aig_not_8889,__aig_not_8889,__aig_not_8889,sa1,1
2,__aig_not_8887 /1 undetected,output,,__aig_not_8887,__aig_not_8887,1,undetected,__aig_not_8887,__aig_not_8887,__aig_not_8887,sa1,1
3,__aig_not_8885 /1 undetected,output,,__aig_not_8885,__aig_not_8885,1,undetected,__aig_not_8885,__aig_not_8885,__aig_not_8885,sa1,1
4,__aig_not_8883 /1 undetected,output,,__aig_not_8883,__aig_not_8883,1,undetected,__aig_not_8883,__aig_not_8883,__aig_not_8883,sa1,1
5,__buf_split_4996 /1 undetected,output,,__buf_split_4996,__buf_split_4996,1,undetected,__buf_split_4996,__buf_split_4996,__buf_split_4996,sa1,1
6,__buf_split_4997 /1 undetected,output,,__buf_split_4997,__buf_split_4997,1,undetected,__buf_split_4997,__buf_split_4997,__buf_split_4997,sa1,1
7,__buf_split_4999 /1 undetected,output,,__buf_split_4999,__buf_split_4999,1,undetected,__buf_split_4999,__buf_split_4999,__buf_split_4999,sa1,1
8,__aig_not_8861 /1 undetected,output,,__aig_not_8861,__aig_not_8861,1,undetected,__aig_not_8861,__aig_not_8861,__aig_not_8861,sa1,1
9,__aig_not_8859 /1 undetected,output,,__aig_not_8859,__aig_not_8859,1,undetected,__aig_not_8859,__aig_not_8859,__aig_not_8859,sa1,1
10,__aig_not_8857 /1 undetected,output,,__aig_not_8857,__aig_not_8857,1,undetected,__aig_not_8857,__aig_not_8857,__aig_not_8857,sa1,1
11,__aig_not_8855 /1 undetected,output,,__aig_not_8855,__aig_not_8855,1,undetected,__aig_not_8855,__aig_not_8855,__aig_not_8855,sa1,1
12,__aig_not_8853 /1 undetected,output,,__aig_not_8853,__aig_not_8853,1,undetected,__aig_not_8853,__aig_not_8853,__aig_not_8853,sa1,1
13,__aig_not_8851 /1 undetected,output,,__aig_not_8851,__aig_not_8851,1,undetected,__aig_not_8851,__aig_not_8851,__aig_not_8851,sa1,1
14,__aig_not_8849 /1 undetected,output,,__aig_not_8849,__aig_not_8849,1,undetected,__aig_not_8849,__aig_not_8849,__aig_not_8849,sa1,1
15,__aig_not_8847 /1 undetected,output,,__aig_not_8847,__aig_not_8847,1,undetected,__aig_not_8847,__aig_not_8847,__aig_not_8847,sa1,1
16,__buf_split_4977 /1 undetected,output,,__buf_split_4977,__buf_split_4977,1,undetected,__buf_split_4977,__buf_split_4977,__buf_split_4977,sa1,1
17,__aig_not_8845 /1 undetected,output,,__aig_not_8845,__aig_not_8845,1,undetected,__aig_not_8845,__aig_not_8845,__aig_not_8845,sa1,1
18,__buf_split_4978 /1 undetected,output,,__buf_split_4978,__buf_split_4978,1,undetected,__buf_split_4978,__buf_split_4978,__buf_split_4978,sa1,1
19,__buf_split_4979 /1 undetected,output,,__buf_split_4979,__buf_split_4979,1,undetected,__buf_split_4979,__buf_split_4979,__buf_split_4979,sa1,1
20,__buf_split_4980 /1 undetected,output,,__buf_split_4980,__buf_split_4980,1,undetected,__buf_split_4980,__buf_split_4980,__buf_split_4980,sa1,1
21,__buf_split_4981 /1 undetected,output,,__buf_split_4981,__buf_split_4981,1,undetected,__buf_split_4981,__buf_split_4981,__buf_split_4981,sa1,1
22,__buf_split_4982 /1 undetected,output,,__buf_split_4982,__buf_split_4982,1,undetected,__buf_split_4982,__buf_split_4982,__buf_split_4982,sa1,1
23,__buf_split_4983 /1 undetected,output,,__buf_split_4983,__buf_split_4983,1,undetected,__buf_split_4983,__buf_split_4983,__buf_split_4983,sa1,1
