line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__aig_not_9147 /1 undetected,output,,__aig_not_9147,__aig_not_9147,1,undetected,__aig_not_9147,__aig_not_9147,__aig_not_9147,sa1,1
2,__aig_not_9145 /1 undetected,output,,__aig_not_9145,__aig_not_9145,1,undetected,__aig_not_9145,__aig_not_9145,__aig_not_9145,sa1,1
3,__aig_not_9143 /1 undetected,output,,__aig_not_9143,__aig_not_9143,1,undetected,__aig_not_9143,__aig_not_9143,__aig_not_9143,sa1,1
4,__aig_not_9141 /1 undetected,output,,__aig_not_9141,__aig_not_9141,1,undetected,__aig_not_9141,__aig_not_9141,__aig_not_9141,sa1,1
5,__aig_not_9139 /1 undetected,output,,__aig_not_9139,__aig_not_9139,1,undetected,__aig_not_9139,__aig_not_9139,__aig_not_9139,sa1,1
6,__aig_not_9137 /1 undetected,output,,__aig_not_9137,__aig_not_9137,1,undetected,__aig_not_9137,__aig_not_9137,__aig_not_9137,sa1,1
7,__aig_not_9135 /1 undetected,output,,__aig_not_9135,__aig_not_9135,1,undetected,__aig_not_9135,__aig_not_9135,__aig_not_9135,sa1,1
8,__aig_not_9133 /1 undetected,output,,__aig_not_9133,__aig_not_9133,1,undetected,__aig_not_9133,__aig_not_9133,__aig_not_9133,sa1,1
9,__aig_not_9131 /1 undetected,output,,__aig_not_9131,__aig_not_9131,1,undetected,__aig_not_9131,__aig_not_9131,__aig_not_9131,sa1,1
10,__aig_not_9129 /1 undetected,output,,__aig_not_9129,__aig_not_9129,1,undetected,__aig_not_9129,__aig_not_9129,__aig_not_9129,sa1,1
11,__aig_not_9127 /1 undetected,output,,__aig_not_9127,__aig_not_9127,1,undetected,__aig_not_9127,__aig_not_9127,__aig_not_9127,sa1,1
12,__aig_not_9125 /1 undetected,output,,__aig_not_9125,__aig_not_9125,1,undetected,__aig_not_9125,__aig_not_9125,__aig_not_9125,sa1,1
13,__aig_not_9123 /1 undetected,output,,__aig_not_9123,__aig_not_9123,1,undetected,__aig_not_9123,__aig_not_9123,__aig_not_9123,sa1,1
14,__aig_not_9121 /1 undetected,output,,__aig_not_9121,__aig_not_9121,1,undetected,__aig_not_9121,__aig_not_9121,__aig_not_9121,sa1,1
15,__aig_not_9119 /1 undetected,output,,__aig_not_9119,__aig_not_9119,1,undetected,__aig_not_9119,__aig_not_9119,__aig_not_9119,sa1,1
16,__aig_not_9117 /1 undetected,output,,__aig_not_9117,__aig_not_9117,1,undetected,__aig_not_9117,__aig_not_9117,__aig_not_9117,sa1,1
17,__aig_not_9115 /1 undetected,output,,__aig_not_9115,__aig_not_9115,1,undetected,__aig_not_9115,__aig_not_9115,__aig_not_9115,sa1,1
18,__aig_not_9113 /1 undetected,output,,__aig_not_9113,__aig_not_9113,1,undetected,__aig_not_9113,__aig_not_9113,__aig_not_9113,sa1,1
19,__aig_not_9111 /1 undetected,output,,__aig_not_9111,__aig_not_9111,1,undetected,__aig_not_9111,__aig_not_9111,__aig_not_9111,sa1,1
20,__aig_not_9109 /1 undetected,output,,__aig_not_9109,__aig_not_9109,1,undetected,__aig_not_9109,__aig_not_9109,__aig_not_9109,sa1,1
21,__aig_not_9107 /1 undetected,output,,__aig_not_9107,__aig_not_9107,1,undetected,__aig_not_9107,__aig_not_9107,__aig_not_9107,sa1,1
22,__aig_not_9105->__aig_and_9106 /1 undetected,input_edge,__aig_not_9105,__aig_and_9106,__aig_and_9106,1,undetected,__aig_and_9106,__aig_and_9106,__aig_and_9106,sa1,1
23,__buf_split_5108 /1 undetected,output,,__buf_split_5108,__buf_split_5108,1,undetected,__buf_split_5108,__buf_split_5108,__buf_split_5108,sa1,1
24,__buf_split_5109 /1 undetected,output,,__buf_split_5109,__buf_split_5109,1,undetected,__buf_split_5109,__buf_split_5109,__buf_split_5109,sa1,1
25,__buf_split_5110 /1 undetected,output,,__buf_split_5110,__buf_split_5110,1,undetected,__buf_split_5110,__buf_split_5110,__buf_split_5110,sa1,1
26,__buf_split_5111 /1 undetected,output,,__buf_split_5111,__buf_split_5111,1,undetected,__buf_split_5111,__buf_split_5111,__buf_split_5111,sa1,1
27,__buf_split_5112 /1 undetected,output,,__buf_split_5112,__buf_split_5112,1,undetected,__buf_split_5112,__buf_split_5112,__buf_split_5112,sa1,1
28,__buf_split_5113 /1 undetected,output,,__buf_split_5113,__buf_split_5113,1,undetected,__buf_split_5113,__buf_split_5113,__buf_split_5113,sa1,1
29,__buf_split_5114 /1 undetected,output,,__buf_split_5114,__buf_split_5114,1,undetected,__buf_split_5114,__buf_split_5114,__buf_split_5114,sa1,1
30,__buf_split_5115 /1 undetected,output,,__buf_split_5115,__buf_split_5115,1,undetected,__buf_split_5115,__buf_split_5115,__buf_split_5115,sa1,1
31,__buf_split_5116 /1 undetected,output,,__buf_split_5116,__buf_split_5116,1,undetected,__buf_split_5116,__buf_split_5116,__buf_split_5116,sa1,1
32,__buf_split_5117 /1 undetected,output,,__buf_split_5117,__buf_split_5117,1,undetected,__buf_split_5117,__buf_split_5117,__buf_split_5117,sa1,1
33,__buf_split_5118 /1 undetected,output,,__buf_split_5118,__buf_split_5118,1,undetected,__buf_split_5118,__buf_split_5118,__buf_split_5118,sa1,1
34,__buf_split_5119 /1 undetected,output,,__buf_split_5119,__buf_split_5119,1,undetected,__buf_split_5119,__buf_split_5119,__buf_split_5119,sa1,1
35,__buf_split_5120 /1 undetected,output,,__buf_split_5120,__buf_split_5120,1,undetected,__buf_split_5120,__buf_split_5120,__buf_split_5120,sa1,1
36,__buf_split_5121 /1 undetected,output,,__buf_split_5121,__buf_split_5121,1,undetected,__buf_split_5121,__buf_split_5121,__buf_split_5121,sa1,1
37,__buf_split_5122 /1 undetected,output,,__buf_split_5122,__buf_split_5122,1,undetected,__buf_split_5122,__buf_split_5122,__buf_split_5122,sa1,1
