node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_1,1,0,1,0,0
__aig_not_19,1,0,1,0,0
__aig_not_20430,1,0,1,0,0
__aig_not_20433,1,0,1,0,0
__aig_not_21,1,0,1,0,0
__aig_not_21512,1,0,1,0,0
__aig_not_21516,1,0,1,0,0
__aig_not_21519,1,0,1,0,0
__aig_not_26,1,0,1,0,0
__aig_not_3,1,0,1,0,0
__aig_not_64,1,0,1,0,0
__aig_not_67,1,0,1,0,0
__buf_split_10,1,0,1,0,0
__buf_split_11970,1,0,1,0,0
__buf_split_11972,1,0,1,0,0
__buf_split_12599,1,0,1,0,0
__buf_split_12601,1,0,1,0,0
__buf_split_18,1,0,1,0,0
__buf_split_19,1,0,1,0,0
__buf_split_47,1,0,1,0,0
__buf_split_49,1,0,1,0,0
