line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,new_n3093_ /1 undetected,output,,new_n3093_,new_n3093_,1,undetected,new_n3093_,new_n3093_,new_n3093_,sa1,1
2,__buf_split_2046 /1 undetected,output,,__buf_split_2046,__buf_split_2046,1,undetected,__buf_split_2046,__buf_split_2046,__buf_split_2046,sa1,1
3,__buf_split_2043 /1 undetected,output,,__buf_split_2043,__buf_split_2043,1,undetected,__buf_split_2043,__buf_split_2043,__buf_split_2043,sa1,1
4,new_n3057_ /1 undetected,output,,new_n3057_,new_n3057_,1,undetected,new_n3057_,new_n3057_,new_n3057_,sa1,1
5,new_n3053_ /1 undetected,output,,new_n3053_,new_n3053_,1,undetected,new_n3053_,new_n3053_,new_n3053_,sa1,1
6,__buf_split_2019 /1 undetected,output,,__buf_split_2019,__buf_split_2019,1,undetected,__buf_split_2019,__buf_split_2019,__buf_split_2019,sa1,1
7,new_n3108_ /1 undetected,output,,new_n3108_,new_n3108_,1,undetected,new_n3108_,new_n3108_,new_n3108_,sa1,1
8,__buf_split_2055 /1 undetected,output,,__buf_split_2055,__buf_split_2055,1,undetected,__buf_split_2055,__buf_split_2055,__buf_split_2055,sa1,1
9,new_n3051_ /1 undetected,output,,new_n3051_,new_n3051_,1,undetected,new_n3051_,new_n3051_,new_n3051_,sa1,1
10,__buf_split_2038 /1 undetected,output,,__buf_split_2038,__buf_split_2038,1,undetected,__buf_split_2038,__buf_split_2038,__buf_split_2038,sa1,1
11,new_n3050_ /0 undetected,output,,new_n3050_,new_n3050_,0,undetected,new_n3050_,new_n3050_,new_n3050_,sa0,1
12,__buf_split_2001 /1 undetected,output,,__buf_split_2001,__buf_split_2001,1,undetected,__buf_split_2001,__buf_split_2001,__buf_split_2001,sa1,1
