benchmark_id	state_id	candidate_strategy	candidate_count	finite_count	ok_count	positive_count	zero_count	negative_count	oracle_best_action	oracle_best_delta_tc	oracle_worst_action	oracle_worst_delta_tc	mean_delta_tc	base_test_coverage	base_fault_coverage
subckt_0001	initial	cached_stride	18	18	18	16	0	2	__aig_and_11368::observe	0.028530000000000055	__aig_and_11424::control0	-0.0014800000000000368	0.0034933333333333296	0.89925	0.89925
subckt_0001	initial	cached_hard_cone	18	18	18	18	0	0	__buf_split_551::control0	0.0040999999999999925	__buf_split_551::observe	0.0007500000000000284	0.002983333333333338	0.89925	0.89925
subckt_0001	initial	cached_random	18	18	18	14	0	4	__aig_and_11376::observe	0.03222999999999998	new_n5967::control0	-0.0014800000000000368	0.003489999999999993	0.89925	0.89925
subckt_0012	initial	cached_stride	18	18	18	17	0	1	__buf_split_1::observe	0.0006099999999999994	__buf_split_90::control1	-0.0017500000000000293	0.0002955555555555736	0.92562	0.92562
subckt_0012	initial	cached_hard_cone	18	18	18	18	0	0	__buf_split_1::observe	0.0006099999999999994	__buf_split_1::control0	0.00031000000000003247	0.00041000000000002146	0.92562	0.92562
subckt_0012	initial	cached_random	18	18	18	17	0	1	__buf_split_141::observe	0.0006099999999999994	__buf_split_90::control1	-0.0017500000000000293	0.00027888888888890874	0.92562	0.92562
subckt_0021	initial	cached_stride	18	18	18	13	0	5	I655::observe	0.00043999999999999595	I517::control1	-0.0021900000000001363	-0.00038833333333332387	0.95411	0.95411
subckt_0021	initial	cached_hard_cone	18	18	18	18	0	0	I655::observe	0.00043999999999999595	I655::control0	0.000220000000000109	0.00029333333333340467	0.95411	0.95411
subckt_0021	initial	cached_random	18	18	18	16	0	2	G261::observe	0.00043999999999999595	G261::control1	-0.0021900000000001363	2.5555555555599617e-05	0.95411	0.95411
subckt_0061	initial	cached_stride	18	18	18	18	0	0	__buf_split_1::observe	0.00016999999999989246	__buf_split_1::control0	8.999999999992347e-05	0.00011222222222213708	0.98872	0.98872
subckt_0061	initial	cached_hard_cone	18	18	18	18	0	0	__buf_split_1::observe	0.00016999999999989246	__buf_split_1::control0	8.999999999992347e-05	0.00011666666666657981	0.98872	0.98872
subckt_0061	initial	cached_random	18	18	18	18	0	0	376::observe	0.00016999999999989246	376::control0	8.999999999992347e-05	0.00011222222222213708	0.98872	0.98872
