benchmark_id	state_id	candidate_strategy	score_field	oracle_best_action	oracle_best_delta_tc	model_top1_action	model_top1_pred	model_top1_real_delta_tc	top1_regret	negative_top1
subckt_0335	initial	cached_stride	reward_pred	new_n7960_::observe	0.3374999999999999	new_n7960_::observe	0.35806989669799805	0.3374999999999999	0.0	0
subckt_0335	initial	cached_stride	guarded_reward	new_n7960_::observe	0.3374999999999999	__buf_split_5216::control1	0.25383472442626953	0.04235	0.2951499999999999	0
subckt_0335	initial	cached_stride	hard_reduction_total_pred	new_n7960_::observe	0.3374999999999999	new_n9128_::control0	0.10970756411552429	0.03373000000000004	0.3037699999999999	0
subckt_0335	initial	cached_stride	hybrid_pred	new_n7960_::observe	0.3374999999999999	new_n9128_::control0	11.531536683440208	0.03373000000000004	0.3037699999999999	0
subckt_0335	initial	cached_hard_cone	reward_pred	new_n7953_::observe	0.21885	new_n7924_::control1	0.36390870809555054	0.04235	0.1765	0
subckt_0335	initial	cached_hard_cone	guarded_reward	new_n7953_::observe	0.21885	__buf_split_5216::control1	0.25383472442626953	0.04235	0.1765	0
subckt_0335	initial	cached_hard_cone	hard_reduction_total_pred	new_n7953_::observe	0.21885	new_n7950_::observe	0.1079941987991333	0.20189999999999997	0.01695000000000002	0
subckt_0335	initial	cached_hard_cone	hybrid_pred	new_n7953_::observe	0.21885	new_n7950_::observe	11.350106626749039	0.20189999999999997	0.01695000000000002	0
subckt_0335	initial	cached_random	reward_pred	new_n9081_::observe	0.26969999999999994	new_n8076_::control1	0.36617863178253174	0.05096999999999996	0.21872999999999998	0
subckt_0335	initial	cached_random	guarded_reward	new_n9081_::observe	0.26969999999999994	new_n7966_::control1	0.2413272261619568	0.05096999999999996	0.21872999999999998	0
subckt_0335	initial	cached_random	hard_reduction_total_pred	new_n9081_::observe	0.26969999999999994	new_n9086_::control0	0.10743165016174316	0.03373000000000004	0.2359699999999999	0
subckt_0335	initial	cached_random	hybrid_pred	new_n9081_::observe	0.26969999999999994	new_n9086_::control0	11.298289135098457	0.03373000000000004	0.2359699999999999	0
subckt_0072	initial	cached_stride	reward_pred	new_n1871_::observe	0.24265000000000003	__buf_split_9::control0	0.4055350422859192	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	guarded_reward	new_n1871_::observe	0.24265000000000003	__buf_split_1324::control1	0.22955858707427979	0.02611999999999992	0.2165300000000001	0
subckt_0072	initial	cached_stride	hard_reduction_total_pred	new_n1871_::observe	0.24265000000000003	__buf_split_1319::control0	0.09333692491054535	0.041039999999999965	0.20161000000000007	0
