line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,N3904 /1 undetected,output,,N3904,N3904,1,undetected,N3904,N3904,N3904,sa1,1
2,N8809 /1 undetected,output,,N8809,N8809,1,undetected,N8809,N8809,N8809,sa1,1
3,N8730 /1 undetected,output,,N8730,N8730,1,undetected,N8730,N8730,N8730,sa1,1
4,N8808 /1 undetected,output,,N8808,N8808,1,undetected,N8808,N8808,N8808,sa1,1
5,N27779 /1 undetected,output,,N27779,N27779,1,undetected,N27779,N27779,N27779,sa1,1
6,N8628 /1 undetected,output,,N8628,N8628,1,undetected,N8628,N8628,N8628,sa1,1
7,N8545 /1 undetected,output,,N8545,N8545,1,undetected,N8545,N8545,N8545,sa1,1
8,N27657 /1 undetected,output,,N27657,N27657,1,undetected,N27657,N27657,N27657,sa1,1
9,N6068 /1 undetected,output,,N6068,N6068,1,undetected,N6068,N6068,N6068,sa1,1
10,N5960 /1 undetected,output,,N5960,N5960,1,undetected,N5960,N5960,N5960,sa1,1
11,N25205 /1 undetected,output,,N25205,N25205,1,undetected,N25205,N25205,N25205,sa1,1
12,N3911 /1 undetected,output,,N3911,N3911,1,undetected,N3911,N3911,N3911,sa1,1
13,N8807 /1 undetected,output,,N8807,N8807,1,undetected,N8807,N8807,N8807,sa1,1
14,N8761 /1 undetected,output,,N8761,N8761,1,undetected,N8761,N8761,N8761,sa1,1
15,N8806 /1 undetected,output,,N8806,N8806,1,undetected,N8806,N8806,N8806,sa1,1
16,N27781 /1 undetected,output,,N27781,N27781,1,undetected,N27781,N27781,N27781,sa1,1
17,N8626 /1 undetected,output,,N8626,N8626,1,undetected,N8626,N8626,N8626,sa1,1
18,N8578 /1 undetected,output,,N8578,N8578,1,undetected,N8578,N8578,N8578,sa1,1
19,N27663 /1 undetected,output,,N27663,N27663,1,undetected,N27663,N27663,N27663,sa1,1
20,N6066 /1 undetected,output,,N6066,N6066,1,undetected,N6066,N6066,N6066,sa1,1
21,N6008 /1 undetected,output,,N6008,N6008,1,undetected,N6008,N6008,N6008,sa1,1
22,N25213 /1 undetected,output,,N25213,N25213,1,undetected,N25213,N25213,N25213,sa1,1
23,N4705 /1 undetected,output,,N4705,N4705,1,undetected,N4705,N4705,N4705,sa1,1
24,N8189 /1 undetected,output,,N8189,N8189,1,undetected,N8189,N8189,N8189,sa1,1
25,N8259 /1 undetected,output,,N8259,N8259,1,undetected,N8259,N8259,N8259,sa1,1
26,N27479 /1 undetected,output,,N27479,N27479,1,undetected,N27479,N27479,N27479,sa1,1
27,N8180 /1 undetected,output,,N8180,N8180,1,undetected,N8180,N8180,N8180,sa1,1
28,N8258 /1 undetected,output,,N8258,N8258,1,undetected,N8258,N8258,N8258,sa1,1
29,N27421 /1 undetected,output,,N27421,N27421,1,undetected,N27421,N27421,N27421,sa1,1
30,N16889 /1 undetected,output,,N16889,N16889,1,undetected,N16889,N16889,N16889,sa1,1
31,N4712 /1 undetected,output,,N4712,N4712,1,undetected,N4712,N4712,N4712,sa1,1
32,N8188 /1 undetected,output,,N8188,N8188,1,undetected,N8188,N8188,N8188,sa1,1
33,N8257 /1 undetected,output,,N8257,N8257,1,undetected,N8257,N8257,N8257,sa1,1
34,N8241 /1 undetected,output,,N8241,N8241,1,undetected,N8241,N8241,N8241,sa1,1
35,N8211 /1 undetected,output,,N8211,N8211,1,undetected,N8211,N8211,N8211,sa1,1
36,N8256 /1 undetected,output,,N8256,N8256,1,undetected,N8256,N8256,N8256,sa1,1
37,N27423 /1 undetected,output,,N27423,N27423,1,undetected,N27423,N27423,N27423,sa1,1
38,N16881 /1 undetected,output,,N16881,N16881,1,undetected,N16881,N16881,N16881,sa1,1
39,N4716 /1 undetected,output,,N4716,N4716,1,undetected,N4716,N4716,N4716,sa1,1
40,N4711 /1 undetected,output,,N4711,N4711,1,undetected,N4711,N4711,N4711,sa1,1
41,N4715 /1 undetected,output,,N4715,N4715,1,undetected,N4715,N4715,N4715,sa1,1
42,N3897 /1 undetected,output,,N3897,N3897,1,undetected,N3897,N3897,N3897,sa1,1
43,N8813 /1 undetected,output,,N8813,N8813,1,undetected,N8813,N8813,N8813,sa1,1
44,N8728 /1 undetected,output,,N8728,N8728,1,undetected,N8728,N8728,N8728,sa1,1
45,N8812 /1 undetected,output,,N8812,N8812,1,undetected,N8812,N8812,N8812,sa1,1
46,N27777 /1 undetected,output,,N27777,N27777,1,undetected,N27777,N27777,N27777,sa1,1
47,N8630 /1 undetected,output,,N8630,N8630,1,undetected,N8630,N8630,N8630,sa1,1
48,N8543 /1 undetected,output,,N8543,N8543,1,undetected,N8543,N8543,N8543,sa1,1
49,N27655 /1 undetected,output,,N27655,N27655,1,undetected,N27655,N27655,N27655,sa1,1
50,N25203 /1 undetected,output,,N25203,N25203,1,undetected,N25203,N25203,N25203,sa1,1
51,N6071 /1 undetected,output,,N6071,N6071,1,undetected,N6071,N6071,N6071,sa1,1
52,N5957 /1 undetected,output,,N5957,N5957,1,undetected,N5957,N5957,N5957,sa1,1
53,N23186 /1 undetected,output,,N23186,N23186,1,undetected,N23186,N23186,N23186,sa1,1
54,N25979 /1 undetected,output,,N25979,N25979,1,undetected,N25979,N25979,N25979,sa1,1
55,N4698 /1 undetected,output,,N4698,N4698,1,undetected,N4698,N4698,N4698,sa1,1
56,N8263 /1 undetected,output,,N8263,N8263,1,undetected,N8263,N8263,N8263,sa1,1
57,N8178 /1 undetected,output,,N8178,N8178,1,undetected,N8178,N8178,N8178,sa1,1
58,N8262 /1 undetected,output,,N8262,N8262,1,undetected,N8262,N8262,N8262,sa1,1
59,N27419 /1 undetected,output,,N27419,N27419,1,undetected,N27419,N27419,N27419,sa1,1
60,N8742 /1 undetected,output,,N8742,N8742,1,undetected,N8742,N8742,N8742,sa1,1
61,N8815 /1 undetected,output,,N8815,N8815,1,undetected,N8815,N8815,N8815,sa1,1
62,N27833 /1 undetected,output,,N27833,N27833,1,undetected,N27833,N27833,N27833,sa1,1
63,N8726 /1 undetected,output,,N8726,N8726,1,undetected,N8726,N8726,N8726,sa1,1
64,N27775 /1 undetected,output,,N27775,N27775,1,undetected,N27775,N27775,N27775,sa1,1
65,N18716 /1 undetected,output,,N18716,N18716,1,undetected,N18716,N18716,N18716,sa1,1
66,N8632 /1 undetected,output,,N8632,N8632,1,undetected,N8632,N8632,N8632,sa1,1
